Date,2018-02-28,2017-02-28
Cash and cash equivalents,6252465.7321,2836876.3359
Short-term investments,0.0,0.0
Cash and short-term investments,6252465.7321,2836876.3359
Receivables,0.0,0.0
Inventories,242438.4735,0.0
Total current assets,6941700.1558,3197831.2977
Property Plant & Equipment Net,10207362.9283,6072030.5344
Goodwill and Intangible Assets,406931.4642,398854.9618
Long-term investments,0.0,0.0
Tax assets,152116.0436,46168.7023
Total non-current assets,13116275.7009,6470885.4962
Total assets,20057975.8567,9668716.7939
Payables,3818648.7539,854700.7634
Short-term debt,5471126.1682,6442.7481
Total current liabilities,9289774.9221,861143.5115
Long-term debt,90595.7944,13071.7557
Total debt,5561721.9626,19514.5038
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,90595.7944,13071.7557
Total liabilities,9380370.7165,874215.2672
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-12936200.9346,-2759524.4275
Total shareholders equity,10677605.1402,8794501.5267
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,0.0,0.0
