date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-2590000000.0,2171000000.0,2216000000.0,856000000.0,726000000.0,903000000.0,1384000000.0,1361000000.0,1094000000.0,966000000.0,505000000.0,579000000.0,437000000.0,365000000.0,285100000.0,217800000.0,130006000.0,59448000.0,65292000.0,44179000.0,77502000.0,-103300000.0
,depreciationAndAmortization,653000000.0,601000000.0,520000000.0,626000000.0,494000000.0,432000000.0,392000000.0,375000000.0,482000000.0,249000000.0,256000000.0,236000000.0,211000000.0,181000000.0,100400000.0,83500000.0,67241000.0,46821000.0,34068000.0,24307000.0,24523000.0,17300000.0
,deferredIncomeTax,-70000000.0,-46000000.0,132000000.0,16000000.0,-60000000.0,16000000.0,100000000.0,0.0,0.0,7000000.0,0.0,-9000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,15000000.0,34000000.0,79000000.0,41000000.0,60000000.0,27000000.0,98000000.0,116000000.0,101000000.0,110000000.0,98000000.0,68000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-158000000.0,-482000000.0,608000000.0,-139000000.0,46000000.0,138000000.0,-129000000.0,-411000000.0,124000000.0,-326000000.0,290000000.0,240000000.0,-308000000.0,-188900000.0,121000000.0,24415000.0,56430000.0,-34631000.0,-87236000.0,5811000.0,-54389000.0,-5700000.0
,accountsReceivables,1432000000.0,-1158000000.0,309000000.0,-511000000.0,-524000000.0,803000000.0,1177000000.0,-186000000.0,218000000.0,0.0,0.0,-744000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-304000000.0,-5000000.0,-75000000.0,605000000.0,-463000000.0,-90000000.0,-129000000.0,134000000.0,-180000000.0,518000000.0,-336000000.0,-319000000.0,-120000000.0,340000000.0,-324500000.0,-425100000.0,-405919000.0,-38941000.0,105944000.0,-117878000.0,-11954000.0,34800000.0
,accountsPayables,-1286000000.0,1151000000.0,-367000000.0,847000000.0,501000000.0,-829000000.0,-1315000000.0,126000000.0,-504000000.0,0.0,-210000000.0,602000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-405000000.0,77000000.0,-531000000.0,-392000000.0,-438000000.0,-576000000.0,-447000000.0,-36000000.0,-160000000.0,166000000.0,-124000000.0,-364000000.0,-56000000.0,132900000.0,11900000.0,-12515000.0,-68945000.0,-34314000.0,52922000.0,47111000.0,101500000.0
,otherNonCashItems,221000000.0,32000000.0,33000000.0,45000000.0,26000000.0,96000000.0,300000000.0,-3000000.0,127000000.0,996000000.0,13000000.0,-6000000.0,205000000.0,90000000.0,48200000.0,0.0,0.0,0.0,0.0,0.0,7663000.0,0.0
,netCashProvidedByOperatingActivites,1514000000.0,2504000000.0,2608000000.0,2499000000.0,726000000.0,1344000000.0,2004000000.0,1954000000.0,1240000000.0,2365000000.0,259000000.0,365000000.0,857000000.0,796000000.0,-275300000.0,24100000.0,103968000.0,68518000.0,173894000.0,-29953000.0,-33511000.0,-106200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-738000000.0,-1181000000.0,-1634000000.0,-1024000000.0,-1334000000.0,-2079000000.0,-1932000000.0,-1613000000.0,-1204000000.0,-657000000.0,-451000000.0,-469000000.0,-589000000.0,-548000000.0,-341000000.0,-164100000.0,-116944000.0,-65416000.0,-40590000.0,-21069000.0,-12603000.0,-189700000.0
,acquisitionsNet,-310000000.0,-50000000.0,0.0,-1280000000.0,-282000000.0,-105000000.0,-1098000000.0,-28000000.0,-2156000000.0,-1390000000.0,-407000000.0,-219000000.0,-709000000.0,-127000000.0,-1264000000.0,-30000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37000000.0,-9000000.0,-45900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,416000000.0,-10000000.0,1279000000.0,1129000000.0,644000000.0,-93000000.0,-108000000.0,121000000.0,-15000000.0,20000000.0,5000000.0,0.0,-55000000.0,-19000000.0,-4600000.0,-112500000.0,0.0,0.0,0.0,0.0,-657000.0,-100000.0
,netCashUsedForInvestingActivites,-1093000000.0,-1765000000.0,-813000000.0,-1570000000.0,-1273000000.0,-2530000000.0,-3296000000.0,-1653000000.0,-3392000000.0,-2020000000.0,-583000000.0,-660000000.0,-1339000000.0,-663000000.0,-1651000000.0,-297200000.0,-649198000.0,-225325000.0,-363781000.0,-249491000.0,211001000.0,-186100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-617000000.0,-1000000000.0,-901000000.0,-2040000000.0,-1381000000.0,-549000000.0,-366000000.0,-1384000000.0,-500000000.0,-1356000000.0,-175000000.0,-895000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,1664000000.0,796000000.0,1099000000.0,848000000.0,530000000.0,979000000.0,889000000.0,296000000.0,458000000.0,315000000.0,383000000.0,642800000.0,264200000.0,262132000.0,250341000.0,145046000.0,227549000.0,0.0,76500000.0
,commonStockRepurchased,-50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
