date,,2020-12-31_FY,2020-06-30_FY,2020-03-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-27_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-28000000.0,0.0,0.0,10000000.0,152000000.0,57000000.0,-4000000.0,68000000.0,-2000000.0,-7000000.0,114000000.0,219000000.0,61654000.0,101645000.0,139273000.0,130513000.0,105789000.0,59326000.0,34094000.0,-69225000.0,-33000000.0,-14334000.0,1030000.0,1255000.0,2300000.0,4600000.0,-8000000.0,2300000.0
,depreciationAndAmortization,224000000.0,0.0,0.0,221000000.0,218000000.0,215000000.0,207000000.0,198000000.0,211000000.0,210000000.0,195000000.0,193000000.0,189758000.0,202872000.0,0.0,0.0,0.0,0.0,52800000.0,400000.0,42400000.0,1600000.0,400000.0,700000.0,900000.0,900000.0,900000.0,2500000.0
,deferredIncomeTax,-10000000.0,-0.0,-0.0,-9000000.0,-31000000.0,-193000000.0,21000000.0,-104000000.0,4000000.0,28000000.0,15000000.0,30000000.0,19402000.0,32126000.0,70826000.0,5869000.0,20908000.0,17759000.0,-3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,29000000.0,0.0,0.0,25000000.0,24000000.0,18000000.0,16000000.0,18000000.0,17000000.0,15000000.0,17000000.0,18000000.0,17348000.0,14220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,30000000.0,36000000.0,-37000000.0,-7000000.0,-9000000.0,-63000000.0,-7000000.0,-205000000.0,89000000.0,361000000.0,-447000000.0,43000000.0,-126701000.0,-128348000.0,215464000.0,21140000.0,-39389000.0,109419000.0,6615000.0,207800000.0,635900000.0,-687300000.0,-4900000.0,16700000.0,1500000.0,-400000.0,5400000.0,-8900000.0
,accountsReceivables,-21000000.0,0.0,0.0,94000000.0,7000000.0,-27000000.0,-19000000.0,-12000000.0,-40000000.0,-9000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3233753000.0,57600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4927484000.0,34800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10996927000.0,36400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,6000000.0,39000000.0,3000000.0,40000000.0,47000000.0,56000000.0,119000000.0,126000000.0,331000000.0,242000000.0,-119000000.0,328000000.0,285000000.0,411701000.0,540049000.0,324585000.0,303445000.0,342834000.0,233415000.0,226800000.0,19000000.0,-616900000.0,70400000.0,75300000.0,58600000.0,57100000.0,57500000.0,52100000.0
,otherNonCashItems,-2000000.0,0.0,0.0,8000000.0,-5000000.0,-6000000.0,21000000.0,22000000.0,15000000.0,6000000.0,8000000.0,23000000.0,55503000.0,33398000.0,9566000.0,70953000.0,-5057000.0,9005000.0,-8900000.0,38900000.0,300000.0,-1600000.0,-8800000.0,200000.0,-300000.0,-2200000.0,-600000.0,-200000.0
,netCashProvidedByOperatingActivites,254000000.0,0.0,0.0,226000000.0,238000000.0,243000000.0,282000000.0,249000000.0,341000000.0,316000000.0,342000000.0,361000000.0,431045000.0,397238000.0,402607000.0,358098000.0,309247000.0,208038000.0,88100000.0,-38400000.0,0.0,-4700000.0,6600000.0,-6500000.0,-5200000.0,-11600000.0,-27100000.0,-4500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-162000000.0,-147000000.0,-147000000.0,-158000000.0,-206000000.0,-277000000.0,-359000000.0,-376000000.0,-216000000.0,-188000000.0,-126000000.0,-118000000.0,-114845000.0,-73619000.0,-104647000.0,-85748000.0,-54267000.0,-23527000.0,-3337655000.0,-100000.0,-18200000.0,-300000.0,-200000.0,-400000.0,-100000.0,-200000.0,0.0,-400000.0
,acquisitionsNet,0.0,-0.0,-0.0,2000000.0,-50000000.0,-16000000.0,-9000000.0,-72000000.0,-13000000.0,-57000000.0,-94000000.0,-10000000.0,-130000000.0,-266000000.0,-73000000.0,-110000000.0,0.0,-685000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,-8000000.0,-12000000.0,-15000000.0,-16724000.0,-16946000.0,-18577000.0,-622000.0,-774000.0,-3458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,11000000.0,5000000.0,12000000.0,13417000.0,6838000.0,20295000.0,15057000.0,10615000.0,30827000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,1000000.0,39000000.0,42000000.0,25000000.0,133000000.0,4000000.0,114000000.0,0.0,-7000000.0,-2000000.0,4000000.0,3000000.0,-18311000.0,-37869000.0,-12986000.0,1868000.0,5022000.0,4269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-176000000.0,39000000.0,42000000.0,-145000000.0,-139000000.0,-289000000.0,-254000000.0,-448000000.0,-235000000.0,-258000000.0,-224000000.0,-136000000.0,-275051000.0,-387240000.0,-189308000.0,-179910000.0,-66904000.0,-676879000.0,69800000.0,-10300000.0,-20000000.0,9400000.0,-5500000.0,-2400000.0,7500000.0,6200000.0,24900000.0,10400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
