date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,117000000.0,419000000.0,422000000.0,340200000.0,69000000.0,-191100000.0,-63600000.0,-48530000.0,-20339000.0,759000.0,4888000.0,1705000.0,3156000.0,2171000.0,3904000.0,-5815000.0,-3238000.0,203163.0,374115.0
,depreciationAndAmortization,766000000.0,739000000.0,716000000.0,658400000.0,643400000.0,364900000.0,98300000.0,20795000.0,2713000.0,1240000.0,1290000.0,1191000.0,1114000.0,-843000.0,1054000.0,1435000.0,1254000.0,179171.0,101764.0
,deferredIncomeTax,-81000000.0,46000000.0,45000000.0,-157700000.0,-20900000.0,-91900000.0,-30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,59000000.0,67000000.0,49000000.0,79200000.0,54500000.0,27900000.0,7500000.0,4746000.0,4398000.0,1180000.0,157000.0,172000.0,198000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,133000000.0,-291000000.0,-215800000.0,248800000.0,79200000.0,-589200000.0,779161000.0,-199068000.0,188837000.0,70756000.0,11344000.0,-3458000.0,647000.0,1703000.0,736000.0,-2372000.0,276678.0,2714791.0,33991.0
,accountsReceivables,-382000000.0,-67000000.0,-13000000.0,-320100000.0,-153700000.0,7800000.0,-143900000.0,-36975000.0,-13755000.0,1627000.0,-6618000.0,-5459000.0,-231000.0,-497000.0,-1022000.0,3118000.0,-502000.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,69000000.0,-120000000.0,35000000.0,140100000.0,1700000.0,-51300000.0,53900000.0,-8283000.0,-2585000.0,-191000.0,1987000.0,191000.0,250000.0,-142000.0,110000.0,-1157000.0,-78000.0,0.0,0.0
,otherWorkingCapital,217000000.0,84000000.0,375000000.0,590800000.0,342000000.0,262800000.0,852000000.0,72839000.0,271907000.0,83070000.0,12314000.0,970000.0,4428000.0,3781000.0,2078000.0,1342000.0,3714000.0,3437322.0,722531.0
,otherNonCashItems,0.0,42000000.0,15000000.0,31000000.0,24400000.0,16100000.0,11600000.0,7280000.0,1477000.0,759000.0,-84000.0,216000.0,3089000.0,2276000.0,290000.0,556000.0,-578000.0,38202.0,-135755.0
,netCashProvidedByOperatingActivites,885000000.0,791000000.0,1102000000.0,798600000.0,625400000.0,90800000.0,-21300000.0,-66302000.0,-24300000.0,6611000.0,1757000.0,-99000.0,7048000.0,4043000.0,3637000.0,1345000.0,-3034000.0,-91305.0,374115.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-526000000.0,-601000000.0,-551000000.0,-503800000.0,-483400000.0,-249000000.0,-44600000.0,-11585000.0,-6981000.0,-754000.0,-811000.0,-186000.0,-1109000.0,-574000.0,-966000.0,-658000.0,-1087000.0,-857570.0,-42339.0
,acquisitionsNet,0.0,0.0,0.0,0.0,548000000.0,-3887000000.0,-814000000.0,-459000000.0,-57000000.0,0.0,-1000000.0,-3000000.0,-11000000.0,-2000000.0,-2000000.0,-2000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-9700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26000.0,-72607.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0,0.0,0.0,32500.0
,otherInvestingActivites,0.0,188000000.0,151000000.0,79100000.0,77700000.0,60300000.0,300000.0,125000.0,0.0,0.0,2000.0,62000.0,28000.0,101000.0,-1555000.0,558000.0,0.0,-1880109.0,-5736.0
,netCashUsedForInvestingActivites,-357000000.0,-161000000.0,-400000000.0,-424700000.0,142000000.0,-4085400000.0,-858300000.0,-470254000.0,-64667000.0,-1191000.0,-809000.0,-3474000.0,-11780000.0,-2293000.0,-2516000.0,-1314000.0,-8858000.0,-4310829.0,79575.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-102000000.0,-2802000000.0,-2799000000.0,-2418000000.0,-2370600000.0,-1215600000.0,-205000000.0,0.0,-4258000.0,-4382000.0,-6446000.0,-1249000.0,-1049000.0,-160000.0,-1438000.0,-413000.0,-1166000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,287600000.0,0.0,1260000000.0,733800000.0,239496000.0,136961000.0,0.0,0.0,0.0,0.0,290000.0,0.0,-160000.0,11573000.0,0.0,0.0
,commonStockRepurchased,-114000000.0,-1347000000.0,-536000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107000.0,0.0,0.0,0.0
,dividendsPaid,0.0,-8000000.0,-8000000.0,-6600000.0,-5400000.0,-2800000.0,-2900000.0,-2972000.0,-3000000.0,-375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-291000000.0,294000000.0,-40800000.0,-26100000.0,-536200000.0,-6900000.0,-4086000.0,-1226000.0,451000.0,0.0,0.0,0.0,0.0,0.0,-413000.0,-256000.0,6427674.0,1420169.0
,netCashUsedProvidedByFinancingActivities,1136000000.0,-759000000.0,-620000000.0,-366400000.0,-680800000.0,3644900000.0,1502200000.0,305787000.0,267229000.0,68026000.0,-882000.0,2961000.0,5039000.0,-1029000.0,-1428000.0,-499000.0,10717000.0,6427674.0,1420169.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
