date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1808000000.0,1321000000.0,900000000.0,828000000.0,562000000.0,355000000.0,271000000.0,165099000.0,1859000.0,111218000.0,94836000.0,83671000.0,83497000.0,73402000.0,-43629000.0,55632000.0,44312000.0,33270000.0,25621000.0,12895000.0,7728000.0
,depreciationAndAmortization,1259000000.0,643000000.0,495000000.0,361000000.0,278000000.0,111000000.0,89000000.0,67420000.0,65866000.0,58327000.0,52000000.0,44004000.0,35414000.0,27807000.0,20600000.0,13069000.0,10014000.0,6448000.0,2565000.0,1847000.0,1034000.0
,deferredIncomeTax,-51000000.0,55000000.0,-129000000.0,-108000000.0,92000000.0,-17000000.0,-42000000.0,-2293000.0,-14438000.0,2031000.0,10317000.0,3696000.0,1286000.0,-10223000.0,-6692000.0,1786000.0,-1638000.0,772000.0,-574000.0,-37000.0,0.0
,stockBasedCompensation,281000000.0,177000000.0,145000000.0,135000000.0,148000000.0,71000000.0,48000000.0,36656000.0,25332000.0,18171000.0,13874000.0,14634000.0,15328000.0,15781000.0,14904000.0,4974000.0,650000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2195000000.0,7364000000.0,656000000.0,-371000000.0,-234000000.0,-158000000.0,-107052000.0,64540000.0,74115000.0,210822000.0,-8651000.0,-125139000.0,65826000.0,-104331000.0,5916000.0,35821000.0,40618000.0,-9645000.0,-43610000.0,40027000.0,4148000.0
,accountsReceivables,-52000000.0,-1076000000.0,-1173000000.0,-50000000.0,74000000.0,-360000000.0,-463000000.0,-142977000.0,-116558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22623000.0,15597000.0,-1987000.0,0.0
,otherWorkingCapital,575000000.0,7391000000.0,27000000.0,-629000000.0,-258000000.0,-24000000.0,134000000.0,241052000.0,176512000.0,102397000.0,-108425000.0,-99774000.0,25365000.0,-40461000.0,63870000.0,57954000.0,22133000.0,-18485000.0,-8840000.0,34770000.0,-5257000.0
,otherNonCashItems,0.0,0.0,0.0,-1000000.0,-5000000.0,-44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7534000.0,-265000.0,88268000.0,8525000.0,40370000.0,-1465000.0,79000.0,43000.0,548000.0
,netCashProvidedByOperatingActivites,5503000000.0,1483000000.0,1234000000.0,1489000000.0,1851000000.0,658000000.0,1223000000.0,382526000.0,278691000.0,261696000.0,168932000.0,248195000.0,221978000.0,202240000.0,195032000.0,74048000.0,99405000.0,55999000.0,39659000.0,30188000.0,13458000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83113000.0,-65156000.0,-53937000.0,-50318000.0,-26909000.0,-25009000.0,-19162000.0,-3918000.0,-3635000.0,-642000.0
,acquisitionsNet,0.0,-36000000.0,-2055000000.0,-50000000.0,-1297000000.0,-18000000.0,-136000000.0,-63000000.0,0.0,-4000000.0,-60000000.0,-39000000.0,-85000000.0,-36000000.0,-67000000.0,-55000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-7402000000.0,-2575000000.0,-3846000000.0,-2704000000.0,-2450000000.0,-1321000000.0,-1015000000.0,-790653000.0,-695687000.0,-318397000.0,-615506000.0,-791194000.0,-549652000.0,-642367000.0,-319322000.0,-150444000.0,-254358000.0,-435282000.0,-192371000.0,-25481000.0,-20260000.0
,salesMaturitiesOfInvestments,4921000000.0,1809000000.0,1991000000.0,1899000000.0,1656000000.0,669000000.0,406000000.0,579161000.0,589921000.0,267404000.0,570423000.0,642783000.0,546264000.0,456738000.0,286155000.0,176387000.0,243623000.0,319564000.0,127706000.0,25037000.0,7382000.0
,otherInvestingActivites,-22000000.0,0.0,0.0,12000000.0,0.0,7000000.0,0.0,0.0,0.0,0.0,4700000.0,0.0,0.0,14102000.0,-66772000.0,-55485000.0,-86739000.0,0.0,-595000.0,14740000.0,0.0
,netCashUsedForInvestingActivites,-6955000000.0,-1532000000.0,-4585000000.0,-1265000000.0,-2397000000.0,-813000000.0,-848000000.0,-342100000.0,-187910000.0,-129076000.0,-210607000.0,-270087000.0,-153921000.0,-225464000.0,-150257000.0,-56451000.0,-122483000.0,-140741000.0,-79679000.0,2666000.0,-14617000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4067000000.0,-17826000000.0,-4083000000.0,-1353000000.0,-6076000000.0,-1583000000.0,-1674000000.0,-41593000.0,-218234000.0,-416283000.0,-195728000.0,-616677000.0,-178491000.0,-187162000.0,0.0,0.0,0.0,-386000.0,0.0,-4000000.0,-2350000.0
,commonStockIssued,0.0,0.0,2779000000.0,0.0,0.0,0.0,0.0,15225000.0,0.0,0.0,104534000.0,0.0,0.0,0.0,0.0,0.0,0.0,82458000.0,10809000.0,41092000.0,0.0
,commonStockRepurchased,-626000000.0,-75000000.0,-71000000.0,-65000000.0,-63000000.0,-53000000.0,-29000000.0,-19779000.0,-12741000.0,-7809000.0,-3224000.0,-6304000.0,-23510000.0,-9541000.0,-7833000.0,0.0,0.0,0.0,0.0,-102000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7387000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
