date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8458000000.0,5104000000.0,2637000000.0,2237000000.0,1867000000.0,2094000000.0,2102000000.0,1476000000.0,1623000000.0,1327000000.0,1345000000.0,1302000000.0,292000000.0,1115000000.0,1155000000.0,1625000000.0,1438000000.0,668000000.0,-398000000.0,989000000.0,987000000.0,1774000000.0,1292000000.0,1086000000.0,1056000000.0,211000000.0,554000000.0,234000000.0,311000000.0,449000000.0,330000000.0,562000000.0
,depreciationAndAmortization,2802000000.0,3651000000.0,695000000.0,566000000.0,610000000.0,585000000.0,588000000.0,597000000.0,560000000.0,345000000.0,292000000.0,268000000.0,244000000.0,194000000.0,208000000.0,221000000.0,230000000.0,246000000.0,221000000.0,244000000.0,233000000.0,225000000.0,318000000.0,255000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-386000000.0,-313000000.0,-101000000.0,242000000.0,74000000.0,21000000.0,-22000000.0,197000000.0,134000000.0,242000000.0,190000000.0,319000000.0,-221000000.0,0.0,-23000000.0,394000000.0,-72000000.0,187000000.0,-41000000.0,203000000.0,-73000000.0,47000000.0,-123000000.0,71000000.0,126000000.0,-218000000.0,27000000.0,-479000000.0,-335000000.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3598000000.0,-48759000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2327000000.0
,accountsReceivables,-1266000000.0,-990000000.0,471000000.0,-19000000.0,805000000.0,-890000000.0,-758000000.0,259000000.0,-9000000.0,0.0,0.0,0.0,0.0,68000000.0,162000000.0,272000000.0,576000000.0,248000000.0,-100000000.0,-59000000.0,-784000000.0,-99000000.0,-487000000.0,650000000.0,-117000000.0,178000000.0,852000000.0,121000000.0,309000000.0,154000000.0,-352000000.0,-341000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,4237000000.0,1151000000.0,-510000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126000000.0,-106000000.0,-345000000.0,-1222000000.0,-38000000.0,2085000000.0,28000000.0,1744000000.0,1238000000.0,561000000.0,-337000000.0,-328000000.0,1139000000.0,-972000000.0,1536000000.0,581000000.0,149000000.0,1068000000.0,1334000000.0
,otherWorkingCapital,597000000.0,-48759000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,199000000.0,561000000.0,0.0,357000000.0,-10000000.0,92000000.0,-83000000.0,-2263000000.0,28000000.0,0.0,0.0,-313000000.0,471000000.0,-310000000.0,-688000000.0,-892000000.0,-629000000.0,119000000.0,-761000000.0,-504000000.0,-422000000.0,-27000000.0,-1252000000.0,-288000000.0,431000000.0,-1707000000.0,124000000.0,-1949000000.0,-777000000.0,-161000000.0,-1091000000.0,-1383000000.0
,netCashProvidedByOperatingActivites,10350000000.0,9485000000.0,3770000000.0,4086000000.0,4026000000.0,2717000000.0,1994000000.0,719000000.0,2350000000.0,1491000000.0,1743000000.0,745000000.0,1656000000.0,1342000000.0,642000000.0,718000000.0,1436000000.0,2308000000.0,1378000000.0,1086000000.0,1685000000.0,1817000000.0,627000000.0,1231000000.0,700000000.0,1104000000.0,475000000.0,1120000000.0,696000000.0,744000000.0,1011000000.0,1402000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1094000000.0,-1050000000.0,-528000000.0,-471000000.0,-461000000.0,-510000000.0,-473000000.0,-527000000.0,-408000000.0,-422000000.0,-300000000.0,-307000000.0,-257000000.0,-262000000.0,-136000000.0,-61000000.0,-38000000.0,-107000000.0,-303000000.0,0.0,0.0,-3450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-153000000.0,-24455000000.0,-209000000.0,-4000000.0,-99000000.0,0.0,-76000000.0,-3581000000.0,-102000000.0,-539000000.0,0.0,-1319000000.0,24000000.0,-6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-6689000000.0,-6035000000.0,-6826000000.0,-6693000000.0,-6889000000.0,-1183000000.0,-2115000000.0,-1930000000.0,-821000000.0,-4953000000.0,-2325000000.0,-2930000000.0,-3475000000.0,-3264000000.0,-4799000000.0,-5397000000.0,-14513000000.0,-19456000000.0,-15389000000.0,-10285000000.0,-9903000000.0,-11247000000.0,-14897000000.0,-14950000000.0,-23427000000.0,-32830000000.0,-28954000000.0,-32278000000.0,-26556000000.0,-26549000000.0,-26796000000.0,-30501000000.0
