Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,648000000.0,538000000.0,4482000000.0,5042000000.0,3815000000.0
Short-term investments,000000.0,000000.0,19000000.0,000000.0,2000000.0
Cash and short-term investments,000000.0,000000.0,19000000.0,000000.0,2000000.0
Receivables,2629000000.0,2299000000.0,17811000000.0,16829000000.0,16827000000.0
Inventories,4499000000.0,3460000000.0,14347000000.0,14661000000.0,13793000000.0
Total current assets,51694000000.0,49707000000.0,124745000000.0,111242000000.0,115485000000.0
Property, Plant & Equipment Net,18713000000.0,17104000000.0,62184000000.0,54532000000.0,56345000000.0
Goodwill and Intangible Assets,128000000,94000000,27007000000,22852000000,23680000000
Long-term investments,,,,,
Tax assets,9000000.0,22000000.0,1465000000.0,1063000000.0,1186000000.0
Total non-current assets,14175000000.0,12540000000.0,56651000000.0,41771000000.0,45597000000.0
Total assets,60549000000.0,56711000000.0,165748000000.0,152372000000.0,154736000000.0
Payables,3368000000.0,2900000000.0,15750000000.0,14351000000.0,13964000000.0
Short-term debt,2544000000.0,3493000000.0,4656000000.0,11866000000.0,13966000000.0
Total current liabilities,7312000000.0,7420000000.0,35955000000.0,40200000000.0,41517000000.0
Long-term debt,5263000000.0,3675000000.0,31337000000.0,21352000000.0,24215000000.0
Total debt,5263000000.0,3675000000.0,31337000000.0,21352000000.0,24215000000.0
Deferred revenue,,,,,
Tax Liabilities,8269000000.0,8381000000.0,11718000000.0,11076000000.0,10195000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,14175000000.0,12540000000.0,56651000000.0,41771000000.0,45597000000.0
Total liabilities,21487000000.0,19960000000.0,92606000000.0,81971000000.0,87114000000.0
Other comprehensive income,-113000000.0,-219000000.0,400000000.0,-2242000000.0,237000000.0
Retained earnings (deficit),29995000000.0,27790000000.0,63562000000.0,63463000000.0,58205000000.0
Total shareholders equity,39062000000.0,36751000000.0,73142000000.0,70401000000.0,67622000000.0
Investments,,,,,
Net Debt,7159000000,6630000000,31511000000,28176000000,34366000000
Other Assets,33122000000,31993000000,36603000000,36485000000,38390000000
Other Liabilities,1395000000,1121000000,16231000000,14438000000,13677000000
