date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2007-06-29_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1326000000.0,143000000.0,532581772.443536,775000000.0,677320642.520658,69543525.793063,-460421282.418871,-831637536.836077,-925506142.257328,-1780452942.40176,-1339323364.36472,107688780.189544,165600465.251527,2391000000.0,0.0
,depreciationAndAmortization,1117000000.0,1045000000.0,817673553.374188,814256619.144603,779355548.691019,890342425.140824,981322494.461097,1109899127.29489,1338599238.15756,1259561997.65843,1498102436.01803,1552506878.63039,1516719976.73742,1617000000.0,0.0
,deferredIncomeTax,52000000.0,162000000.0,227289842.123366,26476578.411405,149432388.601436,131791061.369701,273076045.875147,476690890.137718,474944108.184743,876794782.471287,365645982.678647,-807551207.581779,-1712852573.42251,-39000000.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,197000000.0,98000000.0,-54036671.66667,409368635.437882,532039153.602595,205040486.955233,104804726.530258,-313341741.311138,-159535104.733861,-52218383.456756,8109247.786175,-198639559.767655,90360569.93312,157000000.0,0.0
,accountsReceivables,25000000.0,-8000000.0,10532571.596046,76120162.93279,-210103096.764229,-195949451.526831,-221691863.243408,-167878096.091979,230266489.059226,-65003627.274229,-177511434.039379,308774075.206359,328729281.767956,0.0,0.0
,inventory,24000000.0,96000000.0,-151119505.508484,26782077.393075,-56664607.305583,-75218184.850282,-185648268.821408,-47285279.923484,109991976.505963,-41300647.163184,32112621.233254,298914704.983186,-12358243.675487,-109000000.0,0.0
,accountsPayables,20000000.0,-41000000.0,238127705.649732,185081466.395112,657338404.510001,417376964.12689,257531821.538729,124354145.253318,-33028752.151932,-32609554.455801,129666872.100944,-185111586.670743,-209508578.075022,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,887000000.0,782000000.0,636075736.822074,798625254.582485,821829871.032512,1204880670.02668,1262543985.40336,1435983330.40359,1476167106.79037,10917736.293572,1388789775.86039,1843549373.28034,923233498.109916,-25000000.0,0.0
,netCashProvidedByOperatingActivites,1578000000.0,1353000000.0,1350662381.72482,1584012219.95927,1885763379.41154,1105689945.89386,814001477.040706,97487508.933157,438098354.015252,465871300.000718,1770897531.54497,2655992051.36044,2273335271.88136,4178000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,-10753000000.0,0.0,-8872000000.0,0.0,0.0,-5597000000.0,-229703425.439762,0.0,0.0,-1544635068.33382,-2123000000.0,-2004000000.0
,acquisitionsNet,0.0,469000000.0,-26000000.0,1264000000.0,76000000.0,172000000.0,13000000.0,99000000.0,-68000000.0,100000000.0,93000000.0,1532000000.0,987000000.0,-13493000000.0,-13493000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1354000000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127720652.632262,0.0,207618493.748183,0.0,0.0
,otherInvestingActivites,51000000.0,5000000.0,2645863.396108,6517311.608961,-43391381.573867,-44354988.141121,14118771.449672,9057894.530797,365809009.682721,100989060.715543,127720652.632262,0.0,-163710380.924687,-107000000.0,0.0
,netCashUsedForInvestingActivites,88000000.0,-293000000.0,-798185751.822084,591089613.034623,-260734419.646305,-453046249.62941,-452140079.933968,-414206770.238829,-174024132.800511,-107166200.986906,-150994193.778585,474319779.883828,-855917417.854027,-17015000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4572000000.0,0.0,-471167212.460795,-2000967413.44196,-1788265503.12766,-654091313.370886,-754132455.797385,0.0,-1342883628.17726,0.0,-779704174.64076,-2737083460.71538,-269700494.329747,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969206920.458352,790099.337035,405462.389309,1830709263.22226,493893573.713289,600000000.0,0.0
,commonStockRepurchased,-83000000.0,-50000000.0,-77340622.347776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,-150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-509523117.185228,-608000000.0,0.0
,otherFinancingActivites,-1051000000.0,-391000000.0,-445827982.244221,-172352342.158859,-123947795.19654,-67806385.265342,168542834.18046,-205568148.758262,-18617622.085641,-82170331.051622,-1198303545.36313,-1980663405.68633,-790055248.618785,-56000000.0,0.0
,netCashUsedProvidedByFinancingActivities,-1496000000.0,-544000000.0,-994335817.052793,-2173319755.60081,-1912213298.32419,-721897698.636229,-585589621.616925,249859717.7775,-392294329.804554,328178533.719285,-1977602257.61458,-2839040048.9147,-1206309973.8296,11937000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-8000000.0,-37000000.0,51441690.258949,106415478.615071,107295930.187659,233934924.399644,48126004.604892,273962928.647587,-156107592.718095,-128498883.086846,-108582827.856888,-161724243.350657,147571968.595522,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
