date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,268254000.0,188932000.0,609915000.0,449228000.0,157047000.0,210086000.0,161760000.0,95643000.0,130510000.0,-299374000.0,422308000.0,300841000.0,191737000.0,153574696.84
,depreciationAndAmortization,0.0,17222000.0,26779000.0,47276000.0,33724000.0,29954000.0,45061000.0,44918000.0,41634000.0,53824000.0,52072000.0,28445000.0,9482000.0,3521048.56
,deferredIncomeTax,0.0,4475000.0,-18744000.0,9512000.0,-14736000.0,-1067000.0,-1318000.0,-3404000.0,-3000000.0,-16431000.0,0.0,0.0,-4175000.0,0.0
,stockBasedCompensation,0.0,393000.0,0.0,0.0,4937000.0,17653000.0,23598000.0,45317000.0,66878000.0,0.0,0.0,0.0,45659000.0,0.0
,changeInWorkingCapital,-11172000.0,-275598000.0,222554000.0,-78786000.0,25761000.0,69828000.0,67944000.0,9604000.0,-63907000.0,106204000.0,-77989000.0,-42647000.0,7947000.0,7904096.56
,accountsReceivables,0.0,-180030000.0,-1012000.0,-145315000.0,-269936000.0,-62410000.0,15811000.0,-12543000.0,-34410000.0,8819000.0,-61750000.0,-85639000.0,-58265000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,42858000.0,135356000.0,146693000.0,127319000.0,35270000.0,26337000.0,-4519000.0,-8202000.0,33686000.0,13793000.0,13071000.0,48415000.0,0.0
,otherWorkingCapital,0.0,1612000.0,-6291000.0,-2428000.0,2424000.0,15672000.0,7928000.0,4548000.0,2603000.0,0.0,-1450000.0,2835000.0,0.0,1110372.16
,otherNonCashItems,148878000.0,73723000.0,0.0,0.0,4937000.0,17653000.0,23598000.0,45317000.0,-2061000.0,-12500000.0,3686000.0,7831000.0,4380000.0,5047810.28
,netCashProvidedByOperatingActivites,402300000.0,178324000.0,523827000.0,152127000.0,87846000.0,281304000.0,261649000.0,185945000.0,157808000.0,491400000.0,366665000.0,259599000.0,254754000.0,167622365.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-19686000.0,-22765000.0,-20899000.0,-11885000.0,-6663000.0,-6209000.0,-36181000.0,-11624000.0,-20859000.0,-24398000.0,-47792000.0,-51828000.0,-5383843.96
,acquisitionsNet,0.0,1000000.0,0.0,-3000000.0,4000000.0,2000000.0,-10000000.0,0.0,0.0,54000000.0,-47000000.0,-48000000.0,-3000000.0,0.0
,purchasesOfInvestments,-7947662000.0,-7498701000.0,-11380198000.0,-11055424000.0,-9515500000.0,-2308956000.0,-546600000.0,-283900000.0,-40600000.0,-31830000.0,-61984000.0,-69670000.0,-616000.0,-197237.16
,salesMaturitiesOfInvestments,8287924000.0,7523257000.0,12488495000.0,11531556000.0,8825355000.0,994839000.0,118208000.0,32291000.0,71080000.0,0.0,0.0,189812000.0,1545000.0,0.0
,otherInvestingActivites,-14926000.0,-12597000.0,481850000.0,41452000.0,-16152000.0,173214000.0,51419000.0,-130235000.0,213507000.0,-334209000.0,-7220000.0,0.0,-179047000.0,68879599.32
,netCashUsedForInvestingActivites,325336000.0,11959000.0,1567585000.0,-23723000.0,-748758000.0,-1131551000.0,-445395000.0,-419308000.0,234914000.0,-46023000.0,-400021000.0,-256243000.0,-256055000.0,63298518.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8907000.0,-8923000.0,-1634000.0,0.0
,commonStockIssued,0.0,0.0,0.0,201087000.0,0.0,0.0,0.0,3350000.0,0.0,6937000.0,756062000.0,20315000.0,0.0,1250001459.12
,commonStockRepurchased,0.0,-484015000.0,-1569831000.0,0.0,0.0,-6276000.0,0.0,0.0,-9244000.0,-13722000.0,-37287000.0,0.0,0.0,0.0
,dividendsPaid,-388499000.0,-435072000.0,-326725000.0,-137216000.0,0.0,0.0,0.0,0.0,0.0,0.0,-80985000.0,-68558000.0,0.0,-140199095.36
,otherFinancingActivites,-250312000.0,126977000.0,228764000.0,-81259000.0,-217719000.0,-138950000.0,-11000000.0,3350000.0,-77800000.0,-128330000.0,-117715000.0,0.0,21210000.0,3462607.92
,netCashUsedProvidedByFinancingActivities,-638811000.0,-792106000.0,-1664506000.0,47558000.0,-216575000.0,-143708000.0,-7817000.0,3350000.0,-86696000.0,-129810000.0,511168000.0,-57166000.0,19576000.0,1112870497.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-4332000.0,19262000.0,-17773000.0,-10908000.0,2463000.0,6153000.0,6008000.0,-6982000.0,-2568000.0,-18291000.0,-10818000.0,1268000.0,-52660000.0,-21009410.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,84493000.0,-582561000.0,409133000.0,165054000.0,-875024000.0,-987802000.0,-185555000.0,-236995000.0,303458000.0,297276000.0,466994000.0,-52542000.0,-34385000.0,1322781971.16
