date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1999-01-02_FY,1997-12-27_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2588000000.0,1659000000.0,3110000000.0,1907000000.0,1975000000.0,2039000000.0,1728000000.0,1519000000.0,1497000000.0,602000000.0,1116000000.0,70000000.0,1249000000.0,1181000000.0,1115000000.0,958000000.0,-104000000.0,315000000.0,1205000000.0,1043000000.0,877000000.0,628000000.0,25000000.0,411000000.0,412000000.0,350000000.0,303000000.0,242200000.0
,depreciationAndAmortization,2747000000.0,2649000000.0,2465000000.0,2436000000.0,2340000000.0,2089000000.0,1948000000.0,1703000000.0,1652000000.0,1638000000.0,1600000000.0,1525000000.0,1442000000.0,1356000000.0,1272000000.0,1265000000.0,1256000000.0,1209000000.0,1087000000.0,1076000000.0,1008000000.0,961000000.0,33400000.0,430000000.0,380200000.0,343800000.0,311300000.0,293100000.0
,deferredIncomeTax,73000000.0,-56000000.0,-45000000.0,-694000000.0,201000000.0,317000000.0,73000000.0,72000000.0,176000000.0,31000000.0,37000000.0,222000000.0,341000000.0,-86000000.0,-60000000.0,-63000000.0,230000000.0,331000000.0,468000000.0,258000000.0,213000000.0,308000000.0,14200000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,185000000.0,155000000.0,154000000.0,151000000.0,141000000.0,165000000.0,155000000.0,107000000.0,82000000.0,81000000.0,79000000.0,83000000.0,0.0,87000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,490000000.0,118000000.0,-391000000.0,-560000000.0,559000000.0,-587000000.0,-617000000.0,1223000000.0,-1318000000.0,-1331000000.0,-185000000.0,159000000.0,1152000000.0,-749000000.0,-577000000.0,-320000000.0,38000000.0,75000000.0,-69000000.0,202000000.0,22000000.0,230000000.0,92000000.0,-216000000.0,57000000.0,98000000.0,-215100000.0,138000000.0
,accountsReceivables,-90000000.0,-36000000.0,-208000000.0,61000000.0,-110000000.0,-59000000.0,0.0,-8000000.0,-126000000.0,-63000000.0,-11000000.0,-21000000.0,0.0,-17000000.0,-90000000.0,-19000000.0,13000000.0,0.0,2000000.0,8000000.0,-65000000.0,-212000000.0,47000000.0,-56000000.0,-77000000.0,-36000000.0,-17000000.0,0.0
,inventory,7000000.0,-351000000.0,-354000000.0,-23000000.0,-382000000.0,-184000000.0,-147000000.0,-131000000.0,-78000000.0,-361000000.0,-88000000.0,-45000000.0,-148000000.0,-383000000.0,-173000000.0,-157000000.0,-236000000.0,-20000000.0,-62000000.0,-112000000.0,-128000000.0,-2138000000.0,-70000000.0,76000000.0,-92000000.0,-128000000.0,29000000.0,-51800000.0
,accountsPayables,330000000.0,342000000.0,213000000.0,158000000.0,16000000.0,440000000.0,135000000.0,3000000.0,58000000.0,82000000.0,315000000.0,54000000.0,0.0,185000000.0,256000000.0,-80000000.0,167000000.0,0.0,361000000.0,7000000.0,-145000000.0,-1148000000.0,67000000.0,-4000000.0,-132000000.0,-110000000.0,-114000000.0,0.0
,otherWorkingCapital,-2863000000.0,-3353000000.0,-3471000000.0,-3080000000.0,-2520000000.0,-3079000000.0,-2492000000.0,-1875000000.0,-3098000000.0,-1780000000.0,-449000000.0,-264000000.0,-423000000.0,-1575000000.0,-826000000.0,-249000000.0,71000000.0,33000000.0,-42000000.0,27000000.0,-175000000.0,-197000000.0,-427000000.0,-519000000.0,-303000000.0,-360000000.0,-458000000.0,-242900000.0
,otherNonCashItems,0.0,871000000.0,-1635000000.0,923000000.0,252000000.0,396000000.0,219000000.0,319000000.0,261000000.0,412000000.0,252000000.0,1377000000.0,331000000.0,345000000.0,303000000.0,211000000.0,1099000000.0,0.0,119000000.0,285000000.0,285000000.0,1000000.0,1000000.0,62200000.0,48900000.0,32700000.0,41500000.0,62300000.0
,netCashProvidedByOperatingActivites,6815000000.0,4664000000.0,4164000000.0,3413000000.0,4272000000.0,4917000000.0,4163000000.0,3380000000.0,2833000000.0,2658000000.0,3366000000.0,2922000000.0,2896000000.0,2581000000.0,2351000000.0,2192000000.0,2330000000.0,2215000000.0,3185000000.0,2347000000.0,2281000000.0,1558000000.0,-45500000.0,1142200000.0,853600000.0,477800000.0,798500000.0,750300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2865000000.0,-3128000000.0,-2967000000.0,-2809000000.0,-3699000000.0,-3349000000.0,-2831000000.0,-2330000000.0,-2062000000.0,-1898000000.0,-1919000000.0,-2297000000.0,-2149000000.0,-2126000000.0,-1683000000.0,-1306000000.0,-1634000000.0,-2000000000.0,-1891000000.0,-2139000000.0,-1623000000.0,-1701000000.0,-52500000.0,-923500000.0,-612200000.0,-733900000.0,-726100000.0,-534000000.0
,acquisitionsNet,0.0,327000000.0,-197000000.0,-16000000.0,-401000000.0,-168000000.0,-252000000.0,-2344000000.0,-122000000.0,-51000000.0,-7000000.0,-36000000.0,-80000000.0,-90000000.0,0.0,0.0,-25000000.0,0.0,-126000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-465000000.0,-2010000000.0,-1633000000.0,-1766000000.0,-703000000.0,0.0,-609000000.0,-1261000000.0,-1547000000.0,-545000000.0,-218000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50500000.0
,otherInvestingActivites,0.0,982000000.0,3988000000.0,1751000000.0,1991000000.0,650000000.0,23000000.0,750000000.0,1450000000.0,1588000000.0,510000000.0,224000000.0,-9000000.0,0.0,0.0,0.0,0.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84800000.0
