date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-256000000.0,380000000.0,289000000.0,234400000.0,24700000.0,169600000.0,173900000.0,370700000.0,378605000.0,345776000.0,14290000.0,69354000.0,163935000.0,-56823575.0,191571323.0,-119157090.0
,depreciationAndAmortization,278000000.0,287000000.0,213000000.0,214000000.0,193100000.0,164100000.0,154400000.0,142800000.0,130005000.0,90321000.0,86761000.0,86814000.0,84168000.0,71183752.0,54341377.0,25705072.0
,deferredIncomeTax,-30000000.0,24000000.0,59000000.0,-216500000.0,-84400000.0,-10400000.0,19200000.0,-93300000.0,-17254000.0,62688000.0,-770000.0,0.0,55846000.0,-56901929.0,86770299.0,0.0
,stockBasedCompensation,4000000.0,17000000.0,16000000.0,18800000.0,9300000.0,12800000.0,12300000.0,18400000.0,39096000.0,27173000.0,37244000.0,7935000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,75000000.0,55000000.0,-88000000.0,-126600000.0,79600000.0,85400000.0,205600000.0,-121100000.0,5340000.0,-203675000.0,65197000.0,-81615000.0,-267782000.0,142038803.0,-177270977.0,174711403.0
,accountsReceivables,31000000.0,-40000000.0,56000000.0,-27300000.0,-47500000.0,41000000.0,105700000.0,-30200000.0,-28132000.0,55435000.0,-34026000.0,-13057000.0,0.0,0.0,0.0,0.0
,inventory,9000000.0,-10000000.0,-9000000.0,-37600000.0,-7300000.0,39700000.0,197300000.0,1500000.0,108021000.0,-175543000.0,27666000.0,-126414000.0,97989000.0,-79568448.0,-7156975.0,1895473.0
,accountsPayables,-121000000.0,94000000.0,-23000000.0,88100000.0,-10400000.0,-14300000.0,-91800000.0,-38700000.0,-54445000.0,5805000.0,47938000.0,5650000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-4000000.0,-18000000.0,19000000.0,-600000.0,-21900000.0,-6300000.0,13900000.0,-400000.0,-7760000.0,5484000.0,3220000.0,13897000.0,-329395000.0,264760569.0,-146663425.0,-103372326.0
,otherNonCashItems,69000000.0,6000000.0,3000000.0,4800000.0,4800000.0,2800000.0,2800000.0,2900000.0,5025000.0,-1709000.0,-555000.0,644000.0,47037000.0,45355772.0,6631621.0,1272757.0
,netCashProvidedByOperatingActivites,90000000.0,747000000.0,620000000.0,166900000.0,267500000.0,536800000.0,640300000.0,440100000.0,762624000.0,278555000.0,225428000.0,85274000.0,83204000.0,145915136.0,186592309.0,82532142.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86458000.0,-268592539.0,-240225392.0,-45172134.0
,acquisitionsNet,0.0,0.0,0.0,-76500000.0,-69400000.0,0.0,0.0,0.0,0.0,-585987000.0,0.0,0.0,0.0,0.0,0.0,-685125669.0
,purchasesOfInvestments,-140000000.0,0.0,0.0,0.0,-18600000.0,0.0,-78300000.0,-18600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,19300000.0,68000000.0,0.0,24700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-283000000.0,-121000000.0,-100000000.0,-118500000.0,-132700000.0,-218600000.0,-218300000.0,-256400000.0,-210701000.0,-88422000.0,-31258000.0,-48292000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-423000000.0,-121000000.0,-100000000.0,-195000000.0,-201400000.0,-150600000.0,-296600000.0,-250300000.0,-210701000.0,-674409000.0,-31258000.0,-48292000.0,-86458000.0,-268592539.0,-240225392.0,-730297803.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-500000000.0,0.0,0.0,-1800000.0,-498000000.0,-1300000.0,-1200000.0,-244600000.0,-479733000.0,-7597000.0,-575971000.0,-96100000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,188300000.0,1403400000.0,0.0,0.0,0.0,0.0,0.0,399556188.0,20000000.0,237660000.0
,commonStockRepurchased,-7000000.0,-301000000.0,0.0,0.0,0.0,0.0,0.0,-500000.0,-305000.0,-3535000.0,-889000.0,-100000.0,0.0,-10600000.0,-250000000.0,0.0
,dividendsPaid,-121000000.0,-306000000.0,-238000000.0,-173700000.0,-173600000.0,-173700000.0,-434200000.0,-1237300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,983000000.0,-35000000.0,-96000000.0,-50400000.0,576200000.0,-199800000.0,-185000000.0,-164700000.0,435752000.0,595265000.0,545834000.0,87200000.0,-18332000.0,-277689308.0,260848819.0,474809185.0
,netCashUsedProvidedByFinancingActivities,355000000.0,-642000000.0,-334000000.0,-225900000.0,-95400000.0,-374800000.0,-432100000.0,-243700000.0,-44286000.0,584133000.0,-31026000.0,-9000000.0,-18332000.0,111266880.0,30848819.0,712469185.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
