Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,3085026.0,7498072.0,2887921.0,5187620.0,4301099.0,527110.0,447548.0,405341.0,207880.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3085026.0,7498072.0,2887921.0,5187620.0,4301099.0,527110.0,447548.0,405341.0,207880.0
Receivables,2181198.0,4838274.0,122910.0,171867.0,208486.0,893826.0,1084233.0,1021039.0,1077685.0
Inventories,15816.0,17589.0,6562.0,7080.0,11691.0,224351.0,326072.0,340782.0,247505.0
Total current assets,5579582.0,10834926.0,3376788.0,5432031.0,4738898.0,2227343.0,1997836.0,1935648.0,1588446.0
Property, Plant & Equipment Net,75634.0,94666.0,90461.0,150948.0,32420.0,78748.0,23736.0,32894.0,35168.0
Goodwill and Intangible Assets,18621925.0,14999173.0,14472419.0,13287557.0,12249743.0,12286086.0,501468.0,683715.0,676134.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,19022559.0,16877666.0,14562880.0,13438505.0,12586116.0,12364834.0,818185.0,716609.0,711302.0
Total assets,24602141.0,27712592.0,17939668.0,18870536.0,17325014.0,14592177.0,2816021.0,2652257.0,2299748.0
Payables,1710879.0,1150714.0,648638.0,359433.0,312728.0,889919.0,971097.0,1008460.0,948428.0
Short-term debt,1831847.0,0.0,0.0,410535.0,411008.0,516659.0,0.0,0.0,0.0
Total current liabilities,4607919.0,2793647.0,3856192.0,2606680.0,2224766.0,2718075.0,2098520.0,1629712.0,1251767.0
Long-term debt,2178198.0,4322643.0,1332004.0,0.0,0.0,0.0,962744.0,2143178.0,2339197.0
Total debt,4010045.0,4322643.0,1332004.0,410535.0,411008.0,516659.0,962744.0,2143178.0,2339197.0
Deferred revenue,4925756.0,5085383.0,3106608.0,958539.0,882577.0,485264.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7154451.0,9879099.0,4027950.0,2142272.0,1380000.0,378000.0,962744.0,2143178.0,2339197.0
Total liabilities,11762370.0,12672746.0,7884142.0,4748952.0,3604766.0,3096075.0,3061264.0,3772890.0,3590964.0
Other comprehensive income,-5118.0,-5118.0,-2758.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-50702486.0,-41551497.0,-36642761.0,-30429626.0,-23852654.0,-17424055.0,-10208024.0,-8135049.0,-6768156.0
Total shareholders equity,12839771.0,15039846.0,10055526.0,14121584.0,13720248.0,11496102.0,-245243.0,-1115267.0,-1291216.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,925019.0,-3175429.0,-1555917.0,-4777085.0,-3890091.0,-10451.0,515196.0,1737837.0,2131317.0
Other Assets,297542.0,-1519009.0,359395.0,65464.0,217622.0,582056.0,139983.0,168486.0,55376.0
Other Liabilities,1065193.0,1642933.0,3207554.0,1836712.0,1501030.0,1311497.0,1127423.0,621252.0,303339.0
