date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,213700000.0,278000000.0,963100000.0,788700000.0,515800000.0,596541000.0,506293000.0,496170000.0,422256000.0,315286000.0,193737000.0,143734000.0,217393000.0,164061000.0,189605000.0,138745000.0,102371000.0,67298000.0,26203000.0,-8232000.0,-21323000.0,-29841000.0,0.0
,depreciationAndAmortization,183800000.0,249300000.0,487300000.0,497600000.0,512100000.0,492140000.0,313082000.0,216119000.0,166876000.0,153153000.0,143226000.0,125409000.0,143810000.0,166632000.0,125040000.0,99707000.0,91398000.0,74561000.0,66475000.0,74204000.0,76144000.0,0.0,43766000.0
,deferredIncomeTax,-222800000.0,-186100000.0,16300000.0,-113800000.0,-30800000.0,-121342000.0,-13391000.0,42913000.0,102266000.0,47037000.0,19061000.0,17475000.0,27041000.0,-27729000.0,-27772000.0,-13475000.0,31154000.0,9701000.0,12282000.0,13499000.0,-13114000.0,0.0,0.0
,stockBasedCompensation,21300000.0,54800000.0,80800000.0,75100000.0,76500000.0,91381000.0,72462000.0,59183000.0,50497000.0,43486000.0,50094000.0,53702000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,282900000.0,-987000000.0,-1331200000.0,4199100000.0,514942000.0,2335565000.0,1620949000.0,1788978000.0,1347570000.0,484449000.0,2037854000.0,239785000.0,-137609000.0,-304938000.0,438373000.0,-62845000.0,-35725000.0,130942000.0,-72264000.0,1837000.0,31937000.0,0.0,0.0
,accountsReceivables,64900000.0,4100000.0,-93000000.0,-10300000.0,-95600000.0,8307000.0,-156003000.0,-33414000.0,-49219000.0,-32158000.0,-44040000.0,-2162000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,62100000.0,-255000000.0,-93700000.0,167400000.0,-35600000.0,67230000.0,125919000.0,-28011000.0,115114000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,60800000.0,12240700000.0,13227700000.0,14558900000.0,10359800000.0,9844858000.0,7509293000.0,5888344000.0,4099366000.0,2751796000.0,2267347000.0,229493000.0,-10292000.0,127317000.0,432255000.0,-6118000.0,56727000.0,92452000.0,-38490000.0,33774000.0,31937000.0,0.0,0.0
,otherNonCashItems,87600000.0,284400000.0,375600000.0,127100000.0,458900000.0,76264000.0,161431000.0,45973000.0,93332000.0,286748000.0,372855000.0,92389000.0,-20674000.0,130186000.0,35912000.0,-171008000.0,89386000.0,-92735000.0,4397000.0,0.0,0.0,0.0,-34455000.0
,netCashProvidedByOperatingActivites,1882700000.0,1217700000.0,2754900000.0,2609600000.0,2088400000.0,1705841000.0,1344159000.0,1003492000.0,1134190000.0,1011347000.0,902709000.0,358414000.0,451019000.0,571521000.0,468780000.0,109081000.0,353067000.0,125804000.0,127762000.0,169681000.0,87183000.0,251638000.0,9311000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49556000.0,-116652000.0,-100352000.0,-65900000.0,-48329000.0,-46955000.0,-42379000.0,-36637000.0,-33083000.0,0.0,0.0
,acquisitionsNet,0.0,4403000000.0,0.0,-946000000.0,0.0,-45000000.0,-1196000000.0,0.0,-464000000.0,-359000000.0,-117000000.0,-159000000.0,135000000.0,-426000000.0,-206000000.0,-141000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-40400000.0,-945000000.0,-89500000.0,-101400000.0,-1026500000.0,-281938000.0,-1078900000.0,-83172000.0,-814993000.0,-32795000.0,-239433000.0,-203686000.0,0.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,76500000.0,2121800000.0,1200900000.0,840200000.0,525200000.0,38700000.0,7227000.0,2852000.0,15651000.0,0.0,0.0,52354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,2032300000.0,-2591800000.0,-2783600000.0,-3856300000.0,-3354700000.0,-2882197000.0,-2310946000.0,-1403720000.0,-1291589000.0,-575337000.0,84904000.0,-524819000.0,-612544000.0,-144340000.0,-237053000.0,-124150000.0,-26475000.0,-158046000.0,-114333000.0,-66794000.0,8626000.0,-309451000.0,-145386000.0
,netCashUsedForInvestingActivites,1774300000.0,2860800000.0,-1872000000.0,-4288500000.0,-4063000000.0,-3362548000.0,-4737121000.0,-1619416000.0,-2671350000.0,-1040710000.0,-340784000.0,-888022000.0,-512518000.0,-694808000.0,-542972000.0,-330951000.0,-404297000.0,-256657000.0,-192603000.0,-192408000.0,-24457000.0,-309451000.0,-145386000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5416200000.0,-11200800000.0,-9764000000.0,-10661700000.0,-7152800000.0,-5602053000.0,-5769964000.0,-4968869000.0,-2179445000.0,-6281793000.0,-3446314000.0,-4000944000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,2800000.0,12400000.0,17600000.0,18400000.0,18400000.0,18003000.0,17063000.0,14090000.0,20696000.0,29412000.0,33854000.0,28864000.0,125105000.0,20892000.0,48831000.0,29106000.0,34528000.0,81438000.0,9529000.0,164283000.0,149000.0,0.0,0.0
