Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,901459.0,2010325.0,456502.0,994103.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,901459.0,2010325.0,456502.0,994103.0
Receivables,3634726.0,3089932.0,2943954.0,1131648.0
Inventories,4214316.0,4626569.0,4164116.0,3549778.0
Total current assets,9964658.0,10114832.0,8011608.0,6002976.0
Property, Plant & Equipment Net,226409.0,29752.0,60040.0,0.0
Goodwill and Intangible Assets,11075822.0,10308549.0,11015468.0,224653.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,11302529.0,10338593.0,11108770.0,235160.0
Total assets,21267187.0,20453425.0,19120378.0,6238136.0
Payables,7892738.0,6894675.0,8207943.0,5171069.0
Short-term debt,2683560.0,856449.0,3718132.0,1015072.0
Total current liabilities,12562831.0,11227755.0,12673215.0,6196829.0
Long-term debt,328000.0,0.0,4060785.0,0.0
Total debt,3011560.0,856449.0,7778917.0,1015072.0
Deferred revenue,938050.0,1127423.0,495603.0,0.0
Tax Liabilities,134964.0,175294.0,272123.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,736297.0,175294.0,4332908.0,0.0
Total liabilities,13299128.0,11403049.0,17006123.0,6196829.0
Other comprehensive income,-106419.0,-47848.0,-12918.0,0.0
Retained earnings (deficit),-19206271.0,-12028388.0,-5488822.0,-3426839.0
Total shareholders equity,7968059.0,9050376.0,2114255.0,41307.0
Investments,0.0,0.0,0.0,0.0
Net Debt,2110101.0,-1153876.0,7322415.0,20969.0
Other Assets,1214157.0,388006.0,447036.0,327447.0
Other Liabilities,1986533.0,3476631.0,747140.0,10688.0
