date,,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,otherInvestingActivites,293464000.0,25064000.0,49782000.0,46188000.0,55482000.0,5298000.0,352169000.0,145478000.0,89423000.0,57372000.0,0.0,-812000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4300000.0,500000.0,2500000.0,-4300000.0,2000000.0
,netCashUsedForInvestingActivites,-56471000.0,-123528000.0,-90347000.0,-48984000.0,-73546000.0,-57831000.0,-63100000.0,-120300000.0,-132100000.0,-146100000.0,-90800000.0,-102217000.0,-111900000.0,-5100000.0,-71537000.0,-70314000.0,-34086000.0,-18384000.0,-22470000.0,-37215000.0,-53233000.0,-75400000.0,-25100000.0,-44800000.0,-23200000.0,-21600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-132625000.0,-25007000.0,-1633000.0,-4747000.0,-1518000.0,-4561000.0,-1474000.0,-2296000.0,-1771000.0,-1137000.0,-41596000.0,-12571000.0,-1937000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,87000.0,0.0,0.0,0.0,0.0,0.0,412000.0,0.0,0.0,11237000.0,11464000.0,4453000.0,4351000.0,1914000.0,898000.0,3588000.0,3500000.0,0.0,0.0,115300000.0,0.0
,commonStockRepurchased,-256403000.0,-17876000.0,-50817000.0,-4126000.0,-46273000.0,0.0,-18200000.0,-135900000.0,-87900000.0,-37500000.0,500000.0,-60531000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,-3158000.0,-3958000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-42135000.0,-73594000.0,-76057000.0,-76503000.0,-76860000.0,-77005000.0,-68200000.0,-172800000.0,-74400000.0,-247100000.0,-41600000.0,-34019000.0,-26300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39600000.0,-53300000.0
,otherFinancingActivites,398662000.0,25403000.0,-920000.0,16032000.0,-5309000.0,85000.0,6984000.0,-2927000.0,5236000.0,20590000.0,0.0,7583000.0,0.0,0.0,10332000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-64165000.0,-96818000.0,-128737000.0,-69034000.0,-127979000.0,-79687000.0,-84800000.0,-318300000.0,-163000000.0,-277000000.0,-61800000.0,-99126000.0,-100000.0,-14200000.0,-19189000.0,-8219000.0,-8813000.0,-9175000.0,-7354000.0,-32914000.0,30333000.0,-11600000.0,-42500000.0,14200000.0,-51300000.0,-86500000.0
