date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,488500000.0,326500000.0,332200000.0,31399000.0,32187000.0,7987000.0,25343000.0,44273000.0,66836000.0,62492000.0,41245000.0
,depreciationAndAmortization,68800000.0,61600000.0,55700000.0,55476000.0,48520000.0,31589000.0,22028000.0,15623000.0,11564000.0,6989000.0,5696000.0
,deferredIncomeTax,-10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,191700000.0,174100000.0,162900000.0,137183000.0,122423000.0,95088000.0,58994000.0,43909000.0,30690000.0,19015000.0,9315000.0
,changeInWorkingCapital,-384500000.0,330900000.0,274903000.0,-19679000.0,117403000.0,41464000.0,227924000.0,72515000.0,-6736000.0,54930000.0,45545000.0
,accountsReceivables,-176400000.0,-96700000.0,-82000000.0,-38455000.0,-57875000.0,-66464000.0,-55888000.0,-22080000.0,-12120000.0,-23246000.0,-17784000.0
,inventory,-42200000.0,-48500000.0,-33400000.0,9423000.0,-43023000.0,-19088000.0,-32459000.0,-35093000.0,-11303000.0,-6034000.0,-5946000.0
,accountsPayables,37400000.0,7700000.0,14600000.0,13090000.0,39000.0,-2517000.0,18033000.0,10485000.0,961000.0,6801000.0,2437000.0
,otherWorkingCapital,910900000.0,1295400000.0,964500000.0,689597000.0,709276000.0,591873000.0,550409000.0,322485000.0,249970000.0,256706000.0,201776000.0
,otherNonCashItems,143400000.0,113600000.0,90000000.0,3780000.0,2644000.0,3391000.0,4140000.0,961000.0,881000.0,62492000.0,0.0
,netCashProvidedByOperatingActivites,1083700000.0,808000000.0,638900000.0,594405000.0,345708000.0,282547000.0,196582000.0,147384000.0,183866000.0,132842000.0,103383000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-125900000.0,-92200000.0,-53000000.0,-135312000.0,-67182000.0,-37358000.0,-32197000.0,-13877000.0,-22083000.0,-3624000.0,-3776000.0
,acquisitionsNet,-40000000.0,-35000000.0,-22000000.0,0.0,-22000000.0,-38000000.0,0.0,-8000000.0,-1000000.0,-3000000.0,0.0
,purchasesOfInvestments,-1079000000.0,-1332300000.0,-681800000.0,-669171000.0,-473608000.0,-459903000.0,-497084000.0,-552778000.0,-601087000.0,-516906000.0,-416376000.0
,salesMaturitiesOfInvestments,1171000000.0,956800000.0,621600000.0,727680000.0,488754000.0,534319000.0,499948000.0,427556000.0,441708000.0,356327000.0,136380000.0
,otherInvestingActivites,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0
,netCashUsedForInvestingActivites,-72800000.0,-502300000.0,-134900000.0,-76803000.0,-74123000.0,-967000.0,-29350000.0,-146734000.0,-182711000.0,-166826000.0,-283710000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4100000.0,-3700000.0,-10100000.0,0.0,-1626000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,22100000.0,49500000.0,86500000.0,75869000.0,44861000.0,67314000.0,55324000.0,25584000.0,38087000.0,0.0,0.0
,commonStockRepurchased,-1080100000.0,-145100000.0,-211800000.0,-446333000.0,-110828000.0,-60000000.0,-43977000.0,-33529000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-109500000.0,-96300000.0,-67200000.0,-45137000.0,-38266000.0,-28871000.0,-10598000.0,1522000.0,12069000.0,19829000.0,4909000.0
,netCashUsedProvidedByFinancingActivities,-1171600000.0,-195600000.0,-202600000.0,-415601000.0,-105859000.0,-21557000.0,749000.0,-6423000.0,50156000.0,39797000.0,34019000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,-600000.0,-1329000.0,-326000.0,-682000.0,709000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-160700000.0,110100000.0,301400000.0,102001000.0,165726000.0,260023000.0,167381000.0,-7102000.0,50985000.0,5131000.0,-145599000.0
,cashAtEndOfPeriod,1061800000.0,1222500000.0,1112400000.0,811004000.0,709003000.0,543277000.0,283254000.0,115873000.0,122975000.0,71990000.0,66859000.0
,cashAtBeginningOfPeriod,1222500000.0,1112400000.0,811000000.0,709003000.0,543277000.0,283254000.0,115873000.0,122975000.0,71990000.0,66859000.0,212458000.0
,operatingCashFlow,1083700000.0,808000000.0,638900000.0,594405000.0,345708000.0,282547000.0,196582000.0,147384000.0,183866000.0,132842000.0,103383000.0
,capitalExpenditure,-125900000.0,-92200000.0,-53000000.0,-135312000.0,-67182000.0,-37358000.0,-32197000.0,-13877000.0,-22083000.0,-3624000.0,-3776000.0
,freeCashFlow,957800000.0,715800000.0,585900000.0,459093000.0,278526000.0,245189000.0,164385000.0,133507000.0,161783000.0,129218000.0,99607000.0
