Date,2016-12,2015-12,2014-12,2013-12,2012-12
Cash and cash equivalents,30000000.0,83000000.0,110000000.0,215000000.0,627000000.0
Short-term investments,224000000.0,630000000.0,1047000000.0,1809000000.0,1054000000.0
Cash and short-term investments,224000000.0,630000000.0,1047000000.0,1809000000.0,1054000000.0
Receivables,723000000.0,1395000000.0,1440000000.0,1910000000.0,2915000000.0
Inventories,,,,,
Total current assets,1810000000.0,2444000000.0,2515000000.0,2503000000.0,1852000000.0
Property, Plant & Equipment Net,24000000.0,49000000.0,49000000.0,36000000.0,47000000.0
Goodwill and Intangible Assets,28000000,77000000,76000000,106000000,230000000
Long-term investments,800000000.0,968000000.0,968000000.0,1120000000.0,000000.0
Tax assets,,,,,
Total non-current assets,1006000000.0,1616000000.0,1880000000.0,2309000000.0,3647000000.0
Total assets,5210000000.0,6760000000.0,7206000000.0,8183000000.0,9071000000.0
Payables,,,,,
Short-term debt,984000000.0,1062000000.0,1054000000.0,1154000000.0,1159000000.0
Total current liabilities,2276000000.0,2049000000.0,2271000000.0,2683000000.0,2880000000.0
Long-term debt,654000000.0,1089000000.0,1532000000.0,1905000000.0,2758000000.0
Total debt,654000000.0,1089000000.0,1532000000.0,1905000000.0,2758000000.0
Deferred revenue,,,,,
Tax Liabilities,100000000.0,16000000.0,35000000.0,57000000.0,81000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1006000000.0,1616000000.0,1880000000.0,2309000000.0,3647000000.0
Total liabilities,3282000000.0,3665000000.0,4151000000.0,4992000000.0,6526000000.0
Other comprehensive income,82000000.0,381000000.0,394000000.0,523000000.0,37000000.0
Retained earnings (deficit),-862000000.0,000000.0,000000.0,000000.0,-227000000.0
Total shareholders equity,1928000000.0,3095000000.0,3055000000.0,3191000000.0,2545000000.0
Investments,800000000.0,968000000.0,968000000.0,1120000000.0,000000.0
Net Debt,1608000000,2068000000,2476000000,2844000000,3290000000
Other Assets,3380000000,3551000000,3499000000,2950000000,4133000000
Other Liabilities,1461000000,1334000000,1347000000,1540000000,2016000000
