date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,1999-12-25_FY,1998-12-26_FY,1997-12-27_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-319000000.0,99000000.0,104000000.0,181000000.0,529000000.0,8000000.0,-354000000.0,-20000000.0,-77000000.0,95694000.0,-45000000.0,-596000000.0,-1479000000.0,396000000.0,503000000.0,273792000.0,336000000.0,276000000.0,311000000.0,201000000.0,49000000.0,258000000.0,233000000.0,160000000.0,129000000.0,132000000.0,105000000.0,63400000.0,39200000.0,14400000.0,9700000.0,5900000.0,3100000.0
,depreciationAndAmortization,189000000.0,204000000.0,192000000.0,159000000.0,181000000.0,253000000.0,277000000.0,209000000.0,203200000.0,211410000.0,208300000.0,224100000.0,254100000.0,281400000.0,279000000.0,268098000.0,269200000.0,248300000.0,200700000.0,199400000.0,205700000.0,168600000.0,140900000.0,97000000.0,82500000.0,64800000.0,49600000.0,30400000.0,20800000.0,15300000.0,6600000.0,2800000.0,1000000.0
,deferredIncomeTax,9000000.0,100000000.0,40000000.0,137000000.0,-231000000.0,1000000.0,-1000000.0,8000000.0,700000.0,-14999000.0,15600000.0,325900000.0,-108100000.0,-1000000.0,-15800000.0,-109946000.0,10900000.0,33100000.0,-10000000.0,200000.0,-81800000.0,-400000.0,-38200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,41000000.0,33000000.0,27000000.0,28000000.0,40000000.0,44000000.0,38000000.0,38000000.0,13579000.0,13895000.0,20840000.0,33316000.0,39561000.0,37738000.0,39889000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-91000000.0,-145000000.0,-327000000.0,-117000000.0,-375000000.0,76000000.0,-233000000.0,823800000.0,-46495000.0,12195000.0,-93600000.0,281400000.0,-245600000.0,269700000.0,-588711000.0,-236489000.0,-1600000.0,81700000.0,513000000.0,-86100000.0,103700000.0,-562300000.0,366600000.0,189000000.0,-15200000.0,221700000.0,-124400000.0,-11700000.0,-71400000.0,-72000000.0,-18200000.0,-26600000.0,0.0
,accountsReceivables,36000000.0,26000000.0,37000000.0,70000000.0,55000000.0,60000000.0,66000000.0,59000000.0,64930000.0,0.0,57824000.0,80178000.0,140058000.0,109798000.0,85610000.0,0.0,87927000.0,118282000.0,9900000.0,114800000.0,-46800000.0,-128100000.0,-226500000.0,-93000000.0,-21500000.0,-113800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,36000000.0,19000000.0,-2000000.0,160000000.0,56000000.0,-139000000.0,-1000000.0,-34000000.0,52733000.0,53902000.0,-87724000.0,80178000.0,140058000.0,109798000.0,85610000.0,-49096000.0,87927000.0,118282000.0,-46100000.0,161300000.0,16100000.0,-178500000.0,15400000.0,50700000.0,-66100000.0,-322400000.0,-272900000.0,-150200000.0,-118400000.0,-107100000.0,-77600000.0,-58200000.0,0.0
,accountsPayables,-513000000.0,-532000000.0,140000000.0,-252000000.0,0.0,-206000000.0,-20000000.0,-39000000.0,-131547000.0,0.0,-69144000.0,15408000.0,-178554000.0,-176921000.0,287999000.0,0.0,226595000.0,-80911000.0,-113000000.0,76000000.0,102300000.0,-211700000.0,-158900000.0,-86700000.0,59600000.0,-231700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,262000000.0,353000000.0,498000000.0,825000000.0,942000000.0,1317000000.0,1241000000.0,1474000000.0,650200000.0,696695000.0,684500000.0,778100000.0,496700000.0,742300000.0,472600000.0,1061311000.0,1297800000.0,1299400000.0,1217700000.0,704700000.0,790800000.0,687100000.0,1249400000.0,882800000.0,693800000.0,709000000.0,487300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,92000000.0,106000000.0,56000000.0,81000000.0,167000000.0,269000000.0,-227000000.0,87500000.0,25016000.0,119500000.0,137900000.0,1613700000.0,90400000.0,80200000.0,0.0,89300000.0,192300000.0,136100000.0,167400000.0,250000000.0,149000000.0,106600000.0,76400000.0,58400000.0,39100000.0,-100000.0,100000.0,1400000.0,600000.0,100000.0,600000.0,0.0
,netCashProvidedByOperatingActivites,485000000.0,366000000.0,627000000.0,458000000.0,370000000.0,126000000.0,155000000.0,-107000000.0,179300000.0,199667000.0,203100000.0,296400000.0,468300000.0,411400000.0,827100000.0,635870000.0,645900000.0,651700000.0,701900000.0,747200000.0,316500000.0,373200000.0,660000000.0,386400000.0,113000000.0,26000000.0,46100000.0,82200000.0,-11400000.0,-41700000.0,-1600000.0,-17300000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-65000000.0,-150000000.0,-187000000.0,-141000000.0,0.0,-163000000.0,-123000000.0,-137000000.0,-120260000.0,0.0,-169452000.0,-130800000.0,-330100000.0,-460600000.0,-343400000.0,-260773000.0,-410800000.0,8425000.0,-202200000.0,-207300000.0,-267700000.0,-396000000.0,-255000000.0,-94200000.0,-176900000.0,-219900000.0,-171800000.0,-102400000.0,-62500000.0,-53900000.0,-36300000.0,-24500000.0,0.0
,acquisitionsNet,-30000000.0,-22000000.0,-81000000.0,-875000000.0,23000000.0,-9000000.0,43000000.0,457000000.0,0.0,-73000000.0,-32738000.0,0.0,-102752000.0,-48036000.0,-248319000.0,0.0,-7900000.0,-918966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-40000000.0,-39000000.0,-56000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-961450000.0,-2037015000.0,-67975000.0,6435000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
