date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,37467000.0,57002000.0,41193000.0,21695000.0,66729000.0,-14974000.0
,depreciationAndAmortization,6483000.0,14126000.0,11208000.0,8267000.0,8063000.0,8780000.0
,deferredIncomeTax,-9101000.0,-882000.0,15442000.0,16604000.0,-61503000.0,0.0
,stockBasedCompensation,2579000.0,1673000.0,1514000.0,1497000.0,899000.0,1045000.0
,changeInWorkingCapital,30832000.0,-18495000.0,-7450000.0,-11674000.0,-11549000.0,-9042000.0
,accountsReceivables,3908000.0,-3097000.0,-160000.0,-799000.0,-503000.0,-978000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,29495000.0,130000.0,1608000.0,-1121000.0,1355000.0,-4521000.0
,otherWorkingCapital,46508000.0,-4690724000.0,-4178424000.0,-2829040000.0,3121955000.0,2316682000.0
,otherNonCashItems,20602000.0,9412000.0,48479000.0,13453000.0,-5603000.0,3311000.0
,netCashProvidedByOperatingActivites,109023000.0,29314000.0,79935000.0,2115000.0,-26221000.0,-43473000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3915000.0,-4267000.0,-2578000.0,-2538000.0,-5948000.0,-4019000.0
,acquisitionsNet,0.0,4000000.0,20000000.0,0.0,-11000000.0,0.0
,purchasesOfInvestments,-977827000.0,-549871000.0,-206046000.0,-53480000.0,-616963000.0,-977266000.0
,salesMaturitiesOfInvestments,645614000.0,319859000.0,107586000.0,97647000.0,766136000.0,773615000.0
,otherInvestingActivites,15436000.0,1852000.0,9967000.0,19320000.0,13418000.0,38439000.0
,netCashUsedForInvestingActivites,-886355000.0,-250562000.0,-369399000.0,-36897000.0,-271326000.0,-188933000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-9804282000.0,-8461635000.0,-5868487000.0,-3009650000.0,-6255464000.0,-1905500000.0
,commonStockIssued,3626000.0,580000.0,203000.0,76829000.0,49592000.0,0.0
,commonStockRepurchased,-1668000.0,0.0,0.0,-15005000.0,0.0,0.0
,dividendsPaid,-6494000.0,-783000.0,-783000.0,-11277000.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,780015000.0,180125000.0,352975000.0,46598000.0,299196000.0,120637000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2683000.0,-41123000.0,63511000.0,11816000.0,1649000.0,-111769000.0
,cashAtEndOfPeriod,83420000.0,80737000.0,121860000.0,58349000.0,46533000.0,44884000.0
,cashAtBeginningOfPeriod,80737000.0,121860000.0,58349000.0,46533000.0,44884000.0,156653000.0
,operatingCashFlow,109023000.0,29314000.0,79935000.0,2115000.0,-26221000.0,-43473000.0
,capitalExpenditure,-3915000.0,2990000.0,7051000.0,13898000.0,17306000.0,38563000.0
,freeCashFlow,105108000.0,25047000.0,77357000.0,-423000.0,-32169000.0,-47492000.0
