Date,2018-12-31,2017-12-31
Depreciation & Amortization,43000000000.0,49000000000.0
Stock-based compensation,,
Operating Cash Flow,10000000.0,11000000.0
Capital Expenditure,-2000000000.0,-18000000000.0
Acquisitions and disposals,,
Investment purchases and sales,,
Investing Cash flow,-2000000000.0,-18000000000.0
Issuance (repayment) of debt,,
Issuance (buybacks) of shares,,
Dividend payments,,
Financing Cash Flow,-5000000.0,-9000000.0
Effect of forex changes on cash,,
Net cash flow / Change in cash,5000000.0,2000000.0
Free Cash Flow,,
Net Cash/Marketcap,,
