date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-5797462000.0,1878887000.0,1811042000.0,1625133000.0,1283388000.0,665783000.0,764146000.0,473692000.0,18287000.0,607421000.0,547467000.0,162421000.0,573722000.0,603405000.0,633922000.0,715956000.0
,depreciationAndAmortization,1279254000.0,1245942000.0,1033697000.0,951194000.0,894915000.0,827008000.0,772445000.0,754711000.0,730493000.0,702426000.0,643716000.0,568214000.0,520353000.0,483066000.0,421645000.0,402069000.0
,deferredIncomeTax,-8791000.0,7745000.0,-2679000.0,1730000.0,2608000.0,-10001000.0,-44437000.0,0.0,28488000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,39779000.0,75930000.0,46061000.0,69459000.0,32659000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1331268000.0,-920147000.0,-1922885000.0,-253940000.0,-237491000.0,-407641000.0,262472000.0,-132545000.0,-1079737000.0,331073000.0,-706788000.0,-25751000.0,-350384000.0,23960000.0,241308000.0,44315000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122682000.0,-38855000.0,-19349000.0
,inventory,27077000.0,-8533000.0,-23849000.0,2424000.0,-1679000.0,1197000.0,26254000.0,-4321000.0,-1645000.0,-18423000.0,-20274000.0,-11295000.0,-140000.0,-19424000.0,-7441000.0,2457000.0
,accountsPayables,-133815000.0,75281000.0,91737000.0,36780000.0,29564000.0,-25278000.0,-40651000.0,18957000.0,36602000.0,56755000.0,-15507000.0,16424000.0,22322000.0,23398000.0,-29671000.0,-3741000.0
,otherWorkingCapital,-1643560000.0,-6790268000.0,-5870121000.0,-3947236000.0,-3693296000.0,-3455805000.0,-3048164000.0,-3310636000.0,-3178091000.0,-2098354000.0,-2429427000.0,-1722639000.0,-1696888000.0,-1346504000.0,-1370464000.0,-1611772000.0
,otherNonCashItems,123153000.0,110369000.0,38559000.0,27983000.0,48504000.0,-32273000.0,21479000.0,7163000.0,43494000.0,646834000.0,150578000.0,49738000.0,-3690000.0,1810000.0,17902000.0,0.0
,netCashProvidedByOperatingActivites,-3731653000.0,3716366000.0,3479139000.0,2874566000.0,2516690000.0,1946366000.0,1743759000.0,1412068000.0,1381734000.0,1455739000.0,1663019000.0,844881000.0,1071255000.0,1268694000.0,948506000.0,1111360000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1965131000.0,-3024663000.0,-3660028000.0,-564138000.0,-2494363000.0,-1613340000.0,-1811398000.0,-763777000.0,-1291499000.0,-1173626000.0,-2187189000.0,-2477549000.0,-2223534000.0,-1317381000.0,-1180579000.0,-429898000.0
,acquisitionsNet,0.0,0.0,-916000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-553000000.0,0.0
,purchasesOfInvestments,-161335000.0,-68836000.0,-98074000.0,0.0,-213202000.0,-178597000.0,-68098000.0,-17338000.0,-10886000.0,-110660000.0,-91325000.0,0.0,0.0,0.0,0.0,-56500000.0
,salesMaturitiesOfInvestments,15874000.0,7621000.0,76529000.0,63224000.0,0.0,0.0,0.0,0.0,0.0,16307000.0,0.0,110830000.0,269815000.0,0.0,0.0,56500000.0
,otherInvestingActivites,4839000.0,20041000.0,122507000.0,67718000.0,-8172000.0,105125000.0,77713000.0,27203000.0,29251000.0,-1586000.0,-9404000.0,273945000.0,-22607000.0,146823000.0,-15187000.0,340872000.0
,netCashUsedForInvestingActivites,-2178566000.0,-3091406000.0,-4489158000.0,-213592000.0,-2724892000.0,-1742975000.0,-1770378000.0,-824538000.0,-1263323000.0,-924565000.0,-2287918000.0,-2274457000.0,-1977249000.0,-1170558000.0,-1849078000.0,-89026000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11682768000.0,-29673355000.0,-10928961000.0,-7835087000.0,-6365570000.0,-4118553000.0,-3724218000.0,-2856481000.0,-2216701000.0,-2179046000.0,-1600265000.0,-1009624000.0,-1011419000.0,-1815944000.0,-1795777000.0,-1564715000.0
,commonStockIssued,1431375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000.0,23026000.0,21996000.0
,commonStockRepurchased,0.0,-99582000.0,-575039000.0,-224998000.0,-299960000.0,-200000000.0,-236074000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164582000.0,-249122000.0
,dividendsPaid,-326421000.0,-602674000.0,-527494000.0,-437455000.0,-346487000.0,-280212000.0,-198952000.0,-143629000.0,-117707000.0,-21707000.0,0.0,0.0,-128045000.0,-98298000.0,-124460000.0,-118764000.0
,otherFinancingActivites,-385403000.0,-62606000.0,-95723000.0,-47747000.0,-84992000.0,-65500000.0,-48113000.0,-56105000.0,-418829000.0,-73593000.0,-89195000.0,4103000.0,-4369000.0,-3758000.0,7585000.0,-4922000.0
,netCashUsedProvidedByFinancingActivities,9349788000.0,-670371000.0,1198073000.0,-2675796000.0,243809000.0,-253512000.0,17480000.0,-576626000.0,-179617000.0,-676515000.0,756960000.0,1312206000.0,1083386000.0,36611000.0,879707000.0,-1525527000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
