Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,76100000.0,76000000.0,71100000.0,71000000.0,74200000.0,74000000.0,59200000.0,59000000.0,47100000.0,47000000.0,141700000.0,114100000.0,109800000.0,60404000.0,1065687000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,76100000.0,,71100000.0,,74200000.0,,59200000.0,,47100000.0,,141700000.0,114100000.0,109800000.0,60404000.0,1065687000.0
Receivables,443300000.0,443000000.0,448700000.0,449000000.0,461900000.0,462000000.0,451300000.0,451000000.0,496300000.0,566000000.0,615400000.0,645200000.0,665400000.0,637738000.0,467988000.0
Inventories,619500000.0,620000000.0,620200000.0,620000000.0,549400000.0,549000000.0,525900000.0,526000000.0,575800000.0,576000000.0,648500000.0,661900000.0,646000000.0,673863000.0,399067000.0
Total current assets,2336400000.0,2336000000.0,2462800000.0,2463000000.0,2550200000.0,2550000000.0,2370800000.0,2371000000.0,2323000000.0,2327000000.0,2605700000.0,2660700000.0,2771400000.0,2818912000.0,1923357000.0
Property, Plant & Equipment Net,1250300000.0,1250000000.0,1318100000.0,1318000000.0,1283800000.0,1284000000.0,1206300000.0,1206000000.0,1142900000.0,1143000000.0,1284300000.0,1351300000.0,1440900000.0,1540753000.0,1157193000.0
Goodwill and Intangible Assets,966600000.0,966000000,995000000.0,995000000,1184000000.0,1184000000,1099300000.0,1100000000,1131700000.0,1132000000,1242800000.0,1235500000.0,1270900000.0,1213813000.0,732151000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current assets,1653500000.0,1654000000.0,1832600000.0,1833000000.0,1879900000.0,1880000000.0,1693300000.0,1693000000.0,1696400000.0,1701000000.0,1823500000.0,1901800000.0,2056300000.0,1683140000.0,1552167000.0
Total assets,3571000000.0,3571000000.0,3699900000.0,3700000000.0,3715700000.0,3716000000.0,3489800000.0,3490000000.0,3610800000.0,3615000000.0,4110200000.0,4185700000.0,4320400000.0,4285831000.0,3928705000.0
Payables,515900000.0,516000000.0,477200000.0,477000000.0,378000000.0,378000000.0,334800000.0,335000000.0,268200000.0,272000000.0,362800000.0,382100000.0,415800000.0,548042000.0,380017000.0
Short-term debt,12000000.0,12000000.0,21000000.0,21000000.0,17300000.0,17000000.0,35400000.0,35000000.0,31300000.0,31000000.0,14900000.0,8900000.0,15100000.0,2947000.0,31322000.0
Total current liabilities,701600000.0,702000000.0,666100000.0,666000000.0,576100000.0,576000000.0,589100000.0,589000000.0,481400000.0,481000000.0,601900000.0,643000000.0,682000000.0,675259000.0,524855000.0
Long-term debt,1348600000.0,1349000000.0,1542400000.0,1542000000.0,1527800000.0,1528000000.0,1353900000.0,1354000000.0,1311600000.0,1316000000.0,1421400000.0,1417600000.0,1554800000.0,1283525000.0,1227514000.0
Total debt,1360600000.0,1349000000.0,1563400000.0,1542000000.0,1545100000.0,1528000000.0,1389300000.0,1354000000.0,1342900000.0,1316000000.0,1436300000.0,1426500000.0,1569900000.0,1286472000.0,1258836000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,200000000.0,167000000.0,184000000.0,154000000.0,250900000.0,220000000.0,207600000.0,172000000.0,246700000.0,223000000.0,302100000.0,232600000.0,199400000.0,179535000.0,158204000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1653500000.0,1654000000.0,1832600000.0,1833000000.0,1879900000.0,1880000000.0,1693300000.0,1693000000.0,1696400000.0,1701000000.0,1823500000.0,1901800000.0,2056300000.0,1683140000.0,1552167000.0
Total liabilities,2355100000.0,2355000000.0,2498700000.0,2499000000.0,2456000000.0,2456000000.0,2282400000.0,2282000000.0,2177800000.0,2182000000.0,2425400000.0,2544800000.0,2738300000.0,2358399000.0,2077022000.0
Other comprehensive income,-525500000.0,-526000000.0,-394500000.0,-394000000.0,-447800000.0,-448000000.0,-509900000.0,-510000000.0,-291700000.0,-292000000.0,-98700000.0,-112900000.0,-90700000.0,91117000.0,72457000.0
Retained earnings (deficit),2456700000.0,2457000000.0,2324800000.0,2325000000.0,2341700000.0,2342000000.0,2216000000.0,2216000000.0,2086800000.0,2087000000.0,2005100000.0,1900900000.0,1832900000.0,1751908000.0,1649804000.0
Total shareholders equity,1215900000.0,1216000000.0,1201200000.0,1201000000.0,1259700000.0,1260000000.0,1207400000.0,1207000000.0,1433000000.0,1433000000.0,1684800000.0,1640900000.0,1582100000.0,1879623000.0,1803732000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Debt,1284500000.0,1285000000,1492300000.0,1492000000,1470900000.0,1471000000,1330100000.0,1330000000,1295800000.0,1300000000,1294600000.0,1312400000.0,1460100000.0,1226068000.0,193149000.0
Other Assets,95700000.0,120000000,97100000.0,150000000,80000000.0,82000000,82600000.0,65000000,168600000.0,53000000,98900000.0,103800000.0,127800000.0,94914000.0,72606000.0
Other Liabilities,173700000.0,184000000,167900000.0,201000000,180800000.0,202000000,218900000.0,257000000,181900000.0,229000000,224200000.0,252000000.0,251100000.0,124270000.0,113516000.0
