date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,373000000.0,421000000.0,996000000.0,1304000000.0,398859000.0,646010000.0,678523000.0,610425000.0,385555000.0,258966000.0,221393000.0,52995000.0,-29543000.0,114729000.0,194559000.0,226817000.0,120722000.0,14756000.0,-7062000.0
,depreciationAndAmortization,773000000.0,713000000.0,641000000.0,601000000.0,377666000.0,245757000.0,208486000.0,157808000.0,144541000.0,131397000.0,128732000.0,123199000.0,111926000.0,104274000.0,87112000.0,82697000.0,83172000.0,88180000.0,88018000.0
,deferredIncomeTax,146000000.0,54000000.0,62000000.0,-534000000.0,98053000.0,38138000.0,52263000.0,88283000.0,-5793000.0,14114000.0,14153000.0,31207000.0,-13879000.0,5286000.0,13852000.0,45745000.0,65188000.0,7112000.0,-4716000.0
,stockBasedCompensation,29000000.0,25000000.0,22000000.0,23000000.0,14193000.0,10196000.0,9261000.0,6966000.0,6127000.0,6391000.0,6164000.0,5638000.0,4178000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,619000000.0,-158000000.0,163000000.0,270767000.0,-427314000.0,178440000.0,229883000.0,-108679000.0,-38658000.0,239179000.0,450570000.0,115111000.0,-64222000.0,123048000.0,-69139000.0,175291000.0,224008000.0,38722000.0,-107155000.0
,accountsReceivables,-161000000.0,59000000.0,-58000000.0,-40000000.0,50291000.0,62722000.0,33161000.0,-14830000.0,6450000.0,-45766000.0,-33478000.0,5667000.0,148852000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,29000000.0,112000000.0,-123000000.0,-32000000.0,-61985000.0,99430000.0,51087000.0,-46633000.0,91479000.0,-40749000.0,-80611000.0,-41450000.0,199904000.0,-71595000.0,-47275000.0,-20054000.0,-119056000.0,-9894000.0,-42639000.0
,accountsPayables,67000000.0,-89000000.0,-100000000.0,86000000.0,11950000.0,-21604000.0,-97237000.0,13820000.0,-12725000.0,20311000.0,25644000.0,67044000.0,-202865000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2120000000.0,1501000000.0,1659000000.0,1496000000.0,1225233000.0,1652547000.0,1474107000.0,1244224000.0,1352903000.0,1391561000.0,1152382000.0,701812000.0,586701000.0,650923000.0,527875000.0,597014000.0,421723000.0,197715000.0,158993000.0
,otherNonCashItems,0.0,1000000.0,-20000000.0,-3000000.0,2109000.0,-18679000.0,1948000.0,1850000.0,1514000.0,-10067000.0,917000.0,1970000.0,15282000.0,3293000.0,4910000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,1297000000.0,1301000000.0,1409000000.0,1538000000.0,833852000.0,1078836000.0,1032376000.0,752729000.0,624054000.0,362296000.0,283284000.0,235522000.0,186089000.0,62166000.0,237184000.0,318447000.0,150781000.0,78087000.0,-21326000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-525000000.0,-787000000.0,-702000000.0,-577000000.0,-628483000.0,-491426000.0,-431104000.0,-679358000.0,-391190000.0,-176843000.0,-81269000.0,-99769000.0,-172561000.0,-135725000.0,-136258000.0,-85760000.0,-52710000.0,-44931000.0,-43587000.0
,acquisitionsNet,0.0,-314000000.0,0.0,-13000000.0,-2438000000.0,16000000.0,-611000000.0,-178000000.0,0.0,0.0,0.0,-6000000.0,0.0,8000000.0,-236000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-66000000.0,-155422000.0,-605098000.0,-117332000.0,-374070000.0,-127834000.0,-30265000.0,-10177000.0,0.0,0.0,-308000.0,-221084000.0,-1867000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,657727000.0,46652000.0,340214000.0,252519000.0,48086000.0,251000.0,9494000.0,0.0,0.0,0.0,216510000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,9000000.0,16000000.0,4000000.0,1207000.0,49000.0,46104000.0,318000.0,1663000.0,1443000.0,11171000.0,2880000.0,609000.0,2995000.0,-28052000.0,0.0,2785000.0,3350000.0,4901000.0
,netCashUsedForInvestingActivites,-509000000.0,-1954000000.0,-754000000.0,-652000000.0,-2562800000.0,-1006176000.0,-773205000.0,-1002238000.0,-466971000.0,-202785000.0,-80275000.0,-103186000.0,-171952000.0,-124805000.0,-404336000.0,-87590000.0,-79963000.0,-41581000.0,-38686000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-18000000.0,-1179000000.0,-957000000.0,-138046000.0,-73615000.0,0.0,0.0,-250000000.0,0.0,0.0,0.0,-852812000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,63000000.0,0.0,111000000.0,0.0,0.0,286088000.0,0.0,0.0,0.0,0.0,0.0,0.0,328000.0,1849000.0,1184000.0,192652000.0,0.0,0.0
,commonStockRepurchased,-54000000.0,-30000000.0,-106000000.0,0.0,-67406000.0,-162459000.0,-52630000.0,-32918000.0,-10784000.0,-2518000.0,0.0,0.0,0.0,0.0,0.0,0.0,-11485000.0,0.0,0.0
,dividendsPaid,-137000000.0,-132000000.0,-120000000.0,-103000000.0,-96560000.0,-91551000.0,-77656000.0,-55236000.0,-285521000.0,-18265000.0,-16014000.0,-14510000.0,-13456000.0,-11778000.0,-8802000.0,-6342000.0,-1379000.0,0.0,0.0
,otherFinancingActivites,0.0,-57000000.0,-36000000.0,131000000.0,-203786000.0,-13210000.0,3314000.0,5449000.0,94212000.0,51530000.0,193967000.0,36648000.0,65613000.0,45180000.0,-4329000.0,0.0,0.0,-14102000.0,-3377000.0
