date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-7642000000.0,-6837000000.0,1660000000.0,1407000000.0,888000000.0,1450000000.0,828000000.0,830000000.0,858000000.0,1113000000.0,1234000000.0,1338000000.0,1006000000.0,991000000.0,917000000.0,4504000000.0,420000000.0,-874000000.0,1099000000.0,-3364000000.0,-73000000.0,719000000.0,716000000.0
,depreciationAndAmortization,3234000000.0,3036000000.0,2854000000.0,2755000000.0,2612000000.0,2433000000.0,2077000000.0,2272000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-2948000000.0,-2532000000.0,1254000000.0,1030000000.0,693000000.0,690000000.0,1075000000.0,648000000.0,544000000.0,756000000.0,809000000.0,590000000.0,55000000.0,-285000000.0,-659000000.0,2607000000.0,190000000.0,-521000000.0,-409000000.0,-767000000.0,-754000000.0,-107000000.0,-159000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-867000000.0,10927000000.0,-56000000.0,-1557000000.0,-1066000000.0,-1198000000.0,-1003000000.0,596000000.0,-117000000.0,-751000000.0,-814000000.0,-840000000.0,-556000000.0,126000000.0,383000000.0,670000000.0,-702000000.0,-2291000000.0,3847000000.0,-670000000.0,694000000.0,39000000.0,8000000.0
,accountsReceivables,-104000000.0,-121000000.0,67000000.0,-473000000.0,-177000000.0,13000000.0,-152000000.0,-40000000.0,-288000000.0,-44000000.0,156000000.0,-87000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-80000000.0,-73000000.0,-18000000.0,-24000000.0,37000000.0,-22000000.0,-10000000.0,-24000000.0,-63000000.0,-43000000.0,109000000.0,-59000000.0,-41000000.0,32000000.0,-60000000.0,-12000000.0,-17000000.0,36000000.0,-70000000.0,41000000.0,73000000.0,-161000000.0,-4000000.0
,accountsPayables,516000000.0,409000000.0,173000000.0,180000000.0,-55000000.0,-61000000.0,113000000.0,-4000000.0,65000000.0,48000000.0,-40000000.0,-140000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1120000000.0,-1255000000.0,-128000000.0,-1355000000.0,-871000000.0,-1128000000.0,-954000000.0,664000000.0,272000000.0,-745000000.0,-1221000000.0,-394000000.0,-511000000.0,453000000.0,47000000.0,590000000.0,83000000.0,-777000000.0,1396000000.0,143000000.0,267000000.0,76000000.0,-139000000.0
,otherNonCashItems,13039000000.0,158000000.0,265000000.0,774000000.0,626000000.0,302000000.0,450000000.0,536000000.0,326000000.0,47000000.0,-120000000.0,-75000000.0,192000000.0,151000000.0,0.0,-912000000.0,84000000.0,-216000000.0,260000000.0,-404000000.0,957000000.0,1609000000.0,2014000000.0
,netCashProvidedByOperatingActivites,4816000000.0,4752000000.0,5977000000.0,4409000000.0,3753000000.0,3677000000.0,3427000000.0,4882000000.0,3739000000.0,3206000000.0,3039000000.0,2749000000.0,2546000000.0,2714000000.0,2409000000.0,2350000000.0,2502000000.0,534000000.0,5300000000.0,-776000000.0,2287000000.0,2301000000.0,2618000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6313000000.0,-6514000000.0,-5641000000.0,-5709000000.0,-5173000000.0,-4833000000.0,-5207000000.0,-4624000000.0,-4038000000.0,-3802000000.0,-3958000000.0,-3628000000.0,-2769000000.0,-2402000000.0,-1804000000.0,-1559000000.0,-1698000000.0,-3032000000.0,-2665000000.0,-1758000000.0,-1584000000.0,-1619000000.0,-1822000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1032000000.0,-1485000000.0,-1323000000.0,-1352000000.0,-1392000000.0,-1334000000.0,-1604000000.0,-1189000000.0,-1963000000.0,-1456000000.0,-1414000000.0,-1684000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75000000.0
,salesMaturitiesOfInvestments,956000000.0,1412000000.0,1291000000.0,1295000000.0,1268000000.0,1336000000.0,1619000000.0,1133000000.0,1928000000.0,1405000000.0,0.0,1635000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,11000000.0,23000000.0,23000000.0,240000000.0,86000000.0,117000000.0,85000000.0,154000000.0,87000000.0,-4000000.0,2036000000.0,25000000.0,82000000.0,-42000000.0,367000000.0,-1888000000.0,-112000000.0,482000000.0,-235000000.0,373000000.0,453000000.0,48000000.0,21000000.0
,netCashUsedForInvestingActivites,-6378000000.0,-6564000000.0,-5650000000.0,-5526000000.0,-5211000000.0,-4714000000.0,-5107000000.0,-4526000000.0,-3986000000.0,-3857000000.0,-3336000000.0,-3652000000.0,-2666000000.0,-2427000000.0,-1398000000.0,-3412000000.0,-1761000000.0,-2550000000.0,-2900000000.0,-970000000.0,-117000000.0,-2244000000.0,-1771000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-350000000.0,-2502000000.0,-2785000000.0,-169000000.0,-300000000.0,-1732000000.0,-861000000.0,-1744000000.0,-1712000000.0,-1471000000.0,-1579000000.0,-1591000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
