Date,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30
Cash and cash equivalents,3254700.0,5449000.0,318200.0,432100.0,1240600.0,1273600.0,7700.0,73600.0
Short-term investments,0.0,159500.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3254700.0,5608500.0,318200.0,432100.0,1240600.0,1273600.0,7700.0,73600.0
Receivables,63300.0,6500.0,5100.0,11800.0,9300.0,26600.0,12400.0,19200.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1641200.0,401900.0,110200.0,18900.0,28000.0,38300.0,43600.0,41300.0
Property, Plant & Equipment Net,110800.0,120700.0,9500.0,1700.0,8700.0,16800.0,20000.0,32700.0
Goodwill and Intangible Assets,1503300.0,60200.0,87100.0,13100.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,195900.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,699900.0,3400.0,36100.0,3598800.0,1480900.0,6000.0,5000.0,10200.0
Total assets,5151800.0,6096100.0,512100.0,567100.0,1336100.0,1402200.0,125300.0,370000.0
Payables,346900.0,736900.0,426600.0,852000.0,868900.0,2493200.0,3086700.0,1740600.0
Short-term debt,1300.0,32800.0,57500.0,2400.0,3500.0,7200.0,7392800.0,4269100.0
Total current liabilities,1165400.0,1545300.0,1540500.0,1804800.0,1616800.0,3556200.0,13195000.0,11781300.0
Long-term debt,589800.0,3400.0,36100.0,2765800.0,1478300.0,6000.0,5000.0,10200.0
Total debt,591100.0,36200.0,93600.0,2768200.0,1481800.0,13200.0,7397800.0,4279300.0
Deferred revenue,159700.0,45900.0,45900.0,45900.0,45900.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,699900.0,3400.0,36100.0,3598800.0,1480900.0,6000.0,5000.0,10200.0
Total liabilities,1865300.0,1548700.0,1576600.0,5403600.0,3097700.0,3562200.0,13200000.0,11791500.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-85245300.0,-75646600.0,-68533800.0,-62592900.0,-59213500.0,-56550700.0,-45643300.0,-42236500.0
Total shareholders equity,4020900.0,4547400.0,-1064500.0,-4836500.0,-1761600.0,-2160000.0,-13074700.0,-11421500.0
Investments,0.0,355400.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-2663600.0,-5572300.0,-224600.0,2336100.0,241200.0,-1260400.0,7390100.0,4205700.0
Other Assets,192600.0,79200.0,78600.0,104300.0,58200.0,63700.0,61600.0,235900.0
Other Liabilities,817200.0,775600.0,1056400.0,950400.0,744400.0,1055800.0,2715500.0,5771600.0
