date,,2019-12-28_FY,2018-12-29_FY,2018-02-21_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,1999-12-25_FY,1998-12-26_FY,1997-12-27_FY,1996-12-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,694734000.0,535881000.0,822848000.0,406299000.0,506778000.0,479058000.0,466077000.0,432000000.0,388000000.0,367661000.0,326000000.0,311000000.0,239000000.0,212000000.0,161000000.0,151326000.0,117000000.0,138000000.0,118000000.0,87000000.0,57000000.0,50000000.0,16000000.0,-2000000.0,29000000.0
,depreciationAndAmortization,184942000.0,143630000.0,193072000.0,133855000.0,169780000.0,159127000.0,152238000.0,128000000.0,125300000.0,115896000.0,101200000.0,81500000.0,78100000.0,73900000.0,64900000.0,60345000.0,51300000.0,36800000.0,28300000.0,35600000.0,33800000.0,28300000.0,20000000.0,15700000.0,12600000.0
,deferredIncomeTax,-4057000.0,-36007000.0,485000.0,-1773000.0,-30069000.0,-6241000.0,4699000.0,-11500000.0,10100000.0,-19319000.0,-6100000.0,-26200000.0,-6000000.0,-9200000.0,1300000.0,2792000.0,6600000.0,6000000.0,200000.0,300000.0,-1300000.0,0.0,200000.0,-3900000.0,2900000.0
,stockBasedCompensation,44920000.0,36240000.0,42294000.0,0.0,58246000.0,44614000.0,45876000.0,35527000.0,37313000.0,42730000.0,29910000.0,25924000.0,25429000.0,22553000.0,19464000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,231740000.0,-300652000.0,0.0,234911000.0,-61969000.0,-48952000.0,-150945000.0,52300000.0,230832000.0,-332000.0,-126000000.0,244800000.0,-25800000.0,73500000.0,-25595000.0,123495000.0,99500000.0,33100000.0,114300000.0,66400000.0,-4900000.0,24800000.0,90700000.0,26500000.0,182500000.0
,accountsReceivables,12612000.0,-147499000.0,9370000.0,-268668000.0,-1904000.0,-120001000.0,-81441000.0,45110000.0,73925000.0,36204000.0,76129000.0,4747000.0,6255000.0,1384000.0,2872000.0,0.0,3820000.0,-98800000.0,-4600000.0,8000000.0,16400000.0,-50000000.0,-53400000.0,-77500000.0,-116000000.0
,inventory,14702000.0,-84784000.0,-175059000.0,-268053000.0,-104787000.0,-194869000.0,-71899000.0,48087000.0,193585000.0,-44155000.0,21307000.0,-19242000.0,-68360000.0,-15946000.0,-41958000.0,6484000.0,-28614000.0,-62700000.0,-31900000.0,-14700000.0,9100000.0,-15600000.0,-42000000.0,-47200000.0,-84300000.0
,accountsPayables,160851000.0,241646000.0,88886000.0,-145763000.0,0.0,212611000.0,43490000.0,67063000.0,115863000.0,0.0,26917000.0,-29834000.0,89580000.0,13572000.0,-11883000.0,0.0,67873000.0,-35000000.0,20000000.0,-46700000.0,-17500000.0,-29100000.0,-31900000.0,-17300000.0,-55600000.0
,otherWorkingCapital,1188133000.0,956393000.0,1257045000.0,1257045000.0,1022134000.0,1084103000.0,1133055000.0,1284000000.0,1231700000.0,1000868000.0,1001200000.0,1127200000.0,882400000.0,908200000.0,834700000.0,860295000.0,736800000.0,637300000.0,604200000.0,489900000.0,423500000.0,428400000.0,403600000.0,312900000.0,286400000.0
,otherNonCashItems,-270425000.0,154102000.0,0.0,242965000.0,11611000.0,71163000.0,80388000.0,86600000.0,63400000.0,6352000.0,45300000.0,37800000.0,45600000.0,59000000.0,50500000.0,0.0,26000000.0,14700000.0,12400000.0,19200000.0,13700000.0,6200000.0,18700000.0,11300000.0,1100000.0
,netCashProvidedByOperatingActivites,675171000.0,681188000.0,545515000.0,543177000.0,615461000.0,615500000.0,592504000.0,664200000.0,408100000.0,554625000.0,395500000.0,398000000.0,384800000.0,270300000.0,235300000.0,265141000.0,182600000.0,132500000.0,134700000.0,190900000.0,153000000.0,56500000.0,2700000.0,-41900000.0,-15000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-76219000.0,-90637000.0,-81501000.0,-62404000.0,-70179000.0,-71684000.0,-82116000.0,-60215000.0,-51237000.0,-45176000.0,-39000000.0,-51627000.0,-50870000.0,-56821000.0,-67000000.0,-50829000.0,-37837000.0,-39000000.0,-47500000.0,-46100000.0,-29700000.0,-34500000.0,-33500000.0,-21900000.0,-16000000.0
,acquisitionsNet,-655879000.0,-61570000.0,-288673000.0,-181000000.0,-229000000.0,-171861000.0,-424283000.0,-182363000.0,-220238000.0,-149000000.0,-399575000.0,-56648000.0,-128470000.0,-206182000.0,-199880000.0,-68000000.0,-132375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-200000000.0,-0.0,0.0,0.0,-299852000.0,-299989000.0,-300251000.0,-299883000.0,0.0,-57735000.0,0.0,-35925000.0,-115066000.0,-222036000.0,-111945000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,3250000.0,0.0,0.0,2600000.0,26984000.0,0.0,0.0,0.0,3280000.0,31749000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,97683000.0,0.0,0.0,-17668000.0,111505000.0,-137784000.0,93861000.0,81516000.0,-4090000.0,-331669000.0,0.0,0.0,0.0,0.0,36372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-424373000.0,-192954000.0,-342276000.0,-342276000.0,-316422000.0,-260031000.0,-516639000.0,-266600000.0,-269600000.0,-196069000.0,-388000000.0,-98600000.0,-168000000.0,-235300000.0,-180400000.0,-162866000.0,-171800000.0,-127000000.0,-142800000.0,-55100000.0,-46200000.0,-164100000.0,-48700000.0,-70300000.0,-54500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
