date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-80407000.0,-183314000.0,9694000.0,67430000.0,47429000.0,167896000.0,139851000.0,114656000.0,79225000.0,54982000.0,28619000.0,-24723000.0,41221000.0,47482000.0,37067000.0,21870000.0,27008000.0,27492000.0,2971000.0,23589000.0,-17097000.0,11000000.0,3300000.0
,depreciationAndAmortization,52088000.0,56914000.0,60809000.0,68697000.0,65622000.0,56587000.0,48040000.0,40095000.0,30459000.0,0.0,18772000.0,21354000.0,19980000.0,15692000.0,12549000.0,13838000.0,9763000.0,8619000.0,8359000.0,12835000.0,11757000.0,4800000.0,2000000.0
,deferredIncomeTax,36160000.0,-25790000.0,-21503000.0,-10456000.0,33093000.0,-11603000.0,-1350000.0,-7403000.0,1642000.0,7685000.0,4046000.0,-2599000.0,3496000.0,10877000.0,5048000.0,-644000.0,3968000.0,7864000.0,-237000.0,7301000.0,4373000.0,3500000.0,600000.0
,stockBasedCompensation,13078000.0,9932000.0,11177000.0,9658000.0,12688000.0,12197000.0,12448000.0,13010000.0,8290000.0,9031000.0,955000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-57973000.0,-310512000.0,94855000.0,-8919000.0,-27372000.0,191139000.0,78397000.0,55043000.0,45618000.0,25414000.0,-37625000.0,-34134000.0,48202000.0,24090000.0,50092000.0,-5607000.0,46625000.0,12382000.0,-21370000.0,2562000.0,70850000.0,18900000.0,-6900000.0
,accountsReceivables,33856000.0,21194000.0,-24841000.0,27675000.0,-12886000.0,-31846000.0,967000.0,-47751000.0,-4316000.0,-22545000.0,4593000.0,-7889000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,33236000.0,20648000.0,-45036000.0,-20968000.0,-15739000.0,-21097000.0,-22775000.0,-28342000.0,-5597000.0,-5677000.0,5856000.0,-26623000.0,-31335000.0,-9793000.0,-9841000.0,496000.0,-11436000.0,-2742000.0,-9179000.0,848000.0,-8607000.0,-4000000.0,-2200000.0
,accountsPayables,-31569000.0,-16972000.0,49286000.0,6806000.0,-40665000.0,13606000.0,18980000.0,45764000.0,12489000.0,0.0,-15225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,260657000.0,318630000.0,629142000.0,534287000.0,543206000.0,570578000.0,379439000.0,301042000.0,245999000.0,200381000.0,174967000.0,212592000.0,246726000.0,198524000.0,174434000.0,124342000.0,129949000.0,83324000.0,70942000.0,92312000.0,89750000.0,18900000.0,0.0
,otherNonCashItems,3906000.0,1225000.0,-2434000.0,459000.0,8491000.0,-1148000.0,-1851000.0,2773000.0,-14531000.0,-2157000.0,8813000.0,30000.0,765000.0,5338000.0,4243000.0,0.0,0.0,0.0,0.0,0.0,5637000.0,0.0,200000.0
,netCashProvidedByOperatingActivites,151166000.0,41269000.0,107222000.0,216624000.0,206575000.0,185482000.0,184768000.0,120962000.0,121960000.0,58658000.0,71030000.0,21625000.0,24486000.0,66431000.0,52544000.0,34973000.0,30801000.0,21941000.0,22592000.0,22841000.0,10564000.0,8300000.0,600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-60893000.0,-77128000.0,-70891000.0,-63120000.0,-77284000.0,-51217000.0,-41611000.0,-72877000.0,-20427000.0,-11490000.0,-11428000.0,-12990000.0,-122017000.0,-149260000.0,-98959000.0,-9890000.0,-9918000.0,-9157000.0,-21341000.0,-13474000.0,-4298000.0,-96200000.0,-25200000.0
,acquisitionsNet,16000000.0,7000000.0,-12000000.0,-20000000.0,-157000000.0,-105000000.0,-177000000.0,-337000000.0,-257000000.0,-45000000.0,-51000000.0,-3000000.0,-99000000.0,-130000000.0,-84000000.0,-11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271000.0,0.0,0.0,0.0,0.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,2851000.0,4377000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,7145000.0,738000.0,6419000.0,0.0,0.0,8288000.0,3110000.0,6934000.0,0.0,0.0,16267000.0,2025000.0,-1911000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-45128000.0,-69983000.0,-82521000.0,-76245000.0,-234345000.0,-151300000.0,-206236000.0,-406136000.0,-270664000.0,-55483000.0,-62758000.0,3205000.0,-116092000.0,-139708000.0,-100559000.0,-20988000.0,-60652000.0,-66685000.0,-34909000.0,-50658000.0,-7388000.0,-96200000.0,-25200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-609959000.0,-361962000.0,-404966000.0,-200731000.0,-308070000.0,-54853000.0,-7228000.0,0.0,-460000.0,-22000.0,-33488000.0,-47204000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2416000.0,18407000.0,15104000.0,5241000.0,19808000.0,624000.0,1071000.0,13685000.0,9354000.0,3800000.0,23100000.0
