Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,26388366.0131,32044208.7542,55785393.0842
Short-term investments,10037581.6993,0.0,0.0
Cash and short-term investments,36425947.7124,32044208.7542,55785393.0842
Receivables,495228.7582,954478.1145,535617.9253
Inventories,0.0,0.0,0.0
Total current assets,38846241.8301,35416666.6667,57801612.6531
Property Plant & Equipment Net,5171405.2288,5179629.6296,5549480.5396
Goodwill and Intangible Assets,131699.3464,290808.0808,412870.2124
Long-term investments,0.0,0.0,0.0
Tax assets,6274.5098,16666.6667,153015.9715
Total non-current assets,7491045.7516,7093063.9731,7290835.7885
Total assets,46337287.5817,42509730.6397,65092448.4416
Payables,6740784.3137,3149528.6195,3522685.6877
Short-term debt,1503267.9739,1548821.5488,1432966.3514
Total current liabilities,11251241.8301,6500134.6801,5869530.1597
Long-term debt,12026470.5882,2228181.8182,2172429.8341
Total debt,13529738.5621,3777003.367,3605396.1855
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,13216895.4248,2767710.4377,3290463.6378
Total liabilities,24468137.2549,9267845.1178,9159993.7975
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-29739934.6405,-29430505.0505,-25574879.8263
Total shareholders equity,21869150.3268,33241885.5219,55932454.6441
Investments,10037581.6993,0.0,0.0
Net Debt,,,
Other Assets,,,
Other Liabilities,3007189.5425,1801784.5118,913878.1206
