date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2100000.0,-700000.0,1800000.0,300000.0,0.0,0.0,0.0,0.0,0.0,-23000.0,-48000.0,-9000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,371800000.0,-690700000.0,695600000.0,347000000.0,8400000.0,14300000.0,28600000.0,35100000.0,5500000.0,-2336000.0,1312000.0,-9123000.0,-10415000.0,4948000.0,-19079998.0,10017856.0
,cashAtEndOfPeriod,818200000.0,446400000.0,1137100000.0,441500000.0,94500000.0,86100000.0,71800000.0,43200000.0,8100000.0,2553000.0,4889000.0,3577000.0,12700000.0,23115000.0,18167066.0,37247064.0
,cashAtBeginningOfPeriod,446400000.0,1137100000.0,441500000.0,94500000.0,86100000.0,71800000.0,43200000.0,8100000.0,2600000.0,4889000.0,3577000.0,12700000.0,23115000.0,18167000.0,37247064.0,27229208.0
,operatingCashFlow,475600000.0,314500000.0,123200000.0,92000000.0,56200000.0,49000000.0,23600000.0,2400000.0,-33100000.0,-30126000.0,-42676000.0,-39389000.0,-37451000.0,-33207000.0,-43734840.0,-22553785.0
,capitalExpenditure,-199000000.0,-180000000.0,-67100000.0,-66000000.0,-55700000.0,-33300000.0,-16200000.0,-7900000.0,-9500000.0,-8006000.0,-6860000.0,-2992000.0,-2492000.0,-3443000.0,-3352106.0,-4676606.0
,freeCashFlow,276600000.0,134500000.0,56100000.0,26000000.0,500000.0,15700000.0,7400000.0,-5500000.0,-42600000.0,-38132000.0,-49536000.0,-42381000.0,-39943000.0,-36650000.0,-47086946.0,-27230391.0
