date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,468200000.0,374900000.0,426500000.0,401700000.0,186820000.0,205023000.0,189714000.0,175999000.0,157395000.0,139406000.0,99396000.0,106451000.0,115288000.0
,depreciationAndAmortization,158500000.0,176600000.0,204000000.0,192200000.0,44455000.0,46355000.0,40000000.0,34602000.0,31573000.0,34184000.0,29960000.0,27725000.0,25656000.0
,deferredIncomeTax,-30900000.0,-37200000.0,-47700000.0,-238400000.0,-8845000.0,-8282000.0,-290000.0,-7145000.0,-495000.0,940000.0,21000.0,1367000.0,-206000.0
,stockBasedCompensation,21700000.0,21800000.0,35100000.0,52600000.0,14503000.0,12181000.0,15577000.0,20823000.0,12348000.0,12618000.0,20801000.0,0.0,0.0
,changeInWorkingCapital,843400000.0,238200000.0,-12900000.0,-44502000.0,15081000.0,-40321000.0,-30961000.0,50644000.0,13364000.0,76277000.0,100207000.0,-309386000.0,23044000.0
,accountsReceivables,-90000000.0,50300000.0,-70300000.0,-20600000.0,-7367000.0,-4847000.0,-8498000.0,-4222000.0,-8088000.0,168000.0,-7309000.0,-959000.0,-676000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,59400000.0,-25700000.0,46800000.0,10300000.0,19841000.0,1550000.0,5888000.0,5516000.0,1113000.0,5784000.0,-3334000.0,-8155000.0,14226000.0
,otherWorkingCapital,820900000.0,326000000.0,87800000.0,100700000.0,145202000.0,130121000.0,170442000.0,201403000.0,150759000.0,137395000.0,61118000.0,-39089000.0,270297000.0
,otherNonCashItems,-30600000.0,4800000.0,6400000.0,4600000.0,-1399000.0,0.0,0.0,0.0,0.0,139406000.0,0.0,85000.0,86000.0
,netCashProvidedByOperatingActivites,1458800000.0,632800000.0,534700000.0,374400000.0,229563000.0,245278000.0,262657000.0,224380000.0,200535000.0,203129000.0,134913000.0,112766000.0,164945000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-47400000.0,-35100000.0,-36300000.0,-37500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-352000000.0,0.0,0.0,-1414000000.0,-14000000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-234600000.0,-108800000.0,-168000000.0,-140000000.0,-23326000.0,-35386000.0,-1987000.0,-2532000.0,-2911000.0,-1250000.0,-7990000.0,0.0,0.0
,salesMaturitiesOfInvestments,202500000.0,128000000.0,178700000.0,155100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0
,otherInvestingActivites,500000.0,0.0,0.0,0.0,-421000.0,-1735000.0,3000.0,8000.0,0.0,112000.0,-998000.0,26157000.0,-21908000.0
,netCashUsedForInvestingActivites,-430500000.0,-15900000.0,-25600000.0,-1436500000.0,-84386000.0,-79421000.0,-52138000.0,-31197000.0,-32977000.0,-30281000.0,-32544000.0,-10340000.0,-64119000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-225000000.0,-350000000.0,-364000000.0,-700000000.0,0.0,-4040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301238000.0,0.0,0.0
,commonStockRepurchased,-349100000.0,-167900000.0,-161800000.0,-26100000.0,-64617000.0,-135345000.0,-176660000.0,-51426000.0,-52872000.0,-46990000.0,-299190000.0,0.0,0.0
,dividendsPaid,-170600000.0,-150000000.0,-130300000.0,-118100000.0,-78538000.0,-73431000.0,-110830000.0,-58369000.0,-114025000.0,-40372000.0,0.0,0.0,0.0
,otherFinancingActivites,-6700000.0,-4300000.0,-56600000.0,-2000000.0,-6977000.0,1285000.0,3557000.0,2356000.0,0.0,-4339000.0,-434358000.0,-119000.0,-828000.0
,netCashUsedProvidedByFinancingActivities,-201700000.0,-662900000.0,-371600000.0,1099700000.0,-150132000.0,-211531000.0,-283933000.0,-107439000.0,-166897000.0,-91701000.0,-432310000.0,-119000.0,-828000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1600000.0,200000.0,-5900000.0,8600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,828200000.0,-45800000.0,131600000.0,46200000.0,-4955000.0,-45674000.0,-73414000.0,85744000.0,661000.0,81147000.0,-329941000.0,102307000.0,99998000.0
,cashAtEndOfPeriod,1057500000.0,229300000.0,275100000.0,143500000.0,97298000.0,102253000.0,147927000.0,221341000.0,135597000.0,134936000.0,53789000.0,383730000.0,281423000.0
,cashAtBeginningOfPeriod,229300000.0,275100000.0,143500000.0,97300000.0,102253000.0,147927000.0,221341000.0,135597000.0,134936000.0,53789000.0,383730000.0,281423000.0,181425000.0
,operatingCashFlow,1458800000.0,632800000.0,534700000.0,374400000.0,229563000.0,245278000.0,262657000.0,224380000.0,200535000.0,203129000.0,134913000.0,112766000.0,164945000.0
