Date,2019-06-30,2018-12-31,2018-06-30,2017-06-30
Cash and cash equivalents,21867289.0,4489.0,2572000.0,5316000.0
Short-term investments,0.0,0.0,,
Cash and short-term investments,21867289.0,4489.0,2572000.0,5316000.0
Receivables,1577708.0,0.0,254000.0,95000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,24522671.0,20985.0,3018000.0,5764000.0
Property Plant & Equipment Net,0.0,0.0,,
Goodwill and Intangible Assets,0.0,0.0,,
Long-term investments,0.0,58451942.0,,
Tax assets,85455.0,1618.0,,
Total non-current assets,0.0,58453560.0,,
Total assets,24522671.0,58474545.0,3018000.0,5764000.0
Payables,1317566.0,314387.0,550000.0,1106000.0
Short-term debt,0.0,0.0,,
Total current liabilities,2442503.0,391738.0,1394000.0,2652000.0
Long-term debt,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,,
Deferred revenue,624387.0,0.0,,
Tax Liabilities,0.0,77351.0,,
Deposit Liabilities,0.0,0.0,,
Total non-current liabilities,85455.0,53082804.0,,
Total liabilities,2442503.0,53474542.0,1394000.0,2652000.0
Other comprehensive income,47325421,0.0,,
Retained earnings (deficit),-25246312.0,-31515.0,-12940000.0,-10451000.0
Total shareholders equity,22080168.0,5000003.0,-12840000.0,-10351000.0
Investments,0.0,58451942.0,,
Net Debt,-21867289.0,-4489.0,,
Other Assets,0.0,16496.0,191731.0,
Other Liabilities,-85455.0,77351.0,,
