Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,,,81845000000.0,,63692000000.0,,42905000000.0,51613000000.0,42288000000.0
Stock-based compensation,,,,,,,,,
Operating Cash Flow,,,,,,,,,
Capital Expenditure,-129000000.0,-134000000.0,,-156000000.0,,-25000000.0,,,
Acquisitions and disposals,,,,,,,,,
Investment purchases and sales,,,0,,0,,-516000000,0,0
Investing Cash flow,,,-87155000000.0,,1589074000000.0,,-33845000000.0,-106810000000.0,-277704000000.0
Issuance (repayment) of debt,,,,,,,,,
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,1303000000.0,-2115000000.0,349602000000.0,-2036000000.0,874784000000.0,732000000.0,-410813000000.0,515980000000.0,649518000000.0
Effect of forex changes on cash,130000000.0,134000000.0,86761000000.0,9000000.0,6176000000.0,0.0,-7187000000.0,32301000000.0,000000.0
Net cash flow / Change in cash,449000000.0,-1604000000.0,-1041655000000.0,2207000000.0,1491136000000.0,-38000000.0,-212274000000.0,103110000000.0,594456000000.0
Free Cash Flow,,,,,,,,,
Net Cash/Marketcap,,,,,,,,,
