date,,2020-11-30_FY,2019-11-30_FY,2018-11-30_FY,2017-11-30_FY,2016-11-30_FY,2015-11-30_FY,2014-11-30_FY,2013-11-30_FY,2012-11-30_FY,2011-11-30_FY,2010-11-30_FY,2009-11-30_FY,2008-11-30_FY,2007-11-30_FY,2006-11-30_FY,2005-11-30_FY,2004-11-30_FY,2003-11-30_FY,2002-11-30_FY,2001-11-30_FY,2000-11-30_FY,1999-11-30_FY,1998-11-30_FY,1997-11-30_FY,1996-11-30_FY,1995-11-30_FY,1994-11-30_FY,1993-11-30_FY,1992-11-30_FY,1991-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-10236000000.0,2990000000.0,3152000000.0,2606000000.0,2779000000.0,1757000000.0,1236000000.0,1078000000.0,1298000000.0,1912000000.0,1978000000.0,1790000000.0,2330000000.0,2408000000.0,2279000000.0,2257000000.0,1854000000.0,1194000000.0,1015941000.0,926200000.0,965458000.0,1027240000.0,835885000.0,666050000.0,566302000.0,451091000.0,381765000.0,318200000.0,276600000.0,85000000.0
,depreciationAndAmortization,2241000000.0,2160000000.0,2017000000.0,1846000000.0,1738000000.0,1626000000.0,1635000000.0,1588000000.0,1527000000.0,1522000000.0,1416000000.0,1309000000.0,1249000000.0,1101000000.0,988000000.0,902000000.0,812000000.0,585000000.0,382343000.0,372224000.0,287667000.0,243658000.0,200668000.0,167287000.0,144987000.0,128433000.0,110595000.0,-93300000.0,-88800000.0,-85200000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,105000000.0,46000000.0,65000000.0,63000000.0,55000000.0,55000000.0,52000000.0,42000000.0,39000000.0,46000000.0,43000000.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-3186000000.0,-89000000.0,225000000.0,-1821000000.0,-878000000.0,913000000.0,-635000000.0,736000000.0,-726000000.0,-282000000.0,-1062000000.0,682000000.0,1153000000.0,-1864000000.0,-443000000.0,329000000.0,-2123000000.0,-695346000.0,-966402000.0,1644560000.0,-552535000.0,151557000.0,-314717000.0,-78308000.0,-33477000.0,-13824000.0,-28308000.0,-132800000.0,24100000.0,-3500000.0
,accountsReceivables,0.0,0.0,-58000000.0,6000000.0,-22000000.0,4000000.0,75000000.0,-128000000.0,-15000000.0,0.0,106000000.0,0.0,0.0,-94000000.0,93000000.0,-56000000.0,9000000.0,-72000000.0,-5452000.0,-7134000.0,-15132000.0,-3300000.0,100000.0,-21200000.0,-4400000.0,-12700000.0,-2900000.0,-1500000.0,-3900000.0,-1200000.0
,inventory,77000000.0,79000000.0,-67000000.0,-49000000.0,1000000.0,5000000.0,1000000.0,19000000.0,-16000000.0,-54000000.0,-12000000.0,10000000.0,-8000000.0,-57000000.0,-5000000.0,-15000000.0,-73000000.0,-17000000.0,1667000.0,8455000.0,-8205000.0,-8570000.0,-3913000.0,-1689000.0,-4461000.0,-3698000.0,-7877000.0,-5600000.0,2500000.0,-3600000.0
,accountsPayables,-165000000.0,34000000.0,-24000000.0,21000000.0,109000000.0,36000000.0,9000000.0,79000000.0,-24000000.0,67000000.0,-36000000.0,74000000.0,-66000000.0,86000000.0,-42000000.0,66000000.0,-22000000.0,34000000.0,-12011000.0,-63227000.0,58133000.0,27300000.0,18800000.0,22000000.0,-5500000.0,3500000.0,5400000.0,9900000.0,-5400000.0,-400000.0
,otherWorkingCapital,-2703000000.0,-7068000000.0,-6979000000.0,-7204000000.0,-5383000000.0,-4505000000.0,-5418000000.0,-4783000000.0,-5519000000.0,-4793000000.0,-4511000000.0,-3449000000.0,-4131000000.0,-5284000000.0,-3420000000.0,-2977000000.0,-3306000000.0,-1183000000.0,-487654000.0,478748000.0,-1165812000.0,-613277000.0,-764834000.0,-450117000.0,-371809000.0,-338332000.0,-324508000.0,-296200000.0,-163400000.0,-187500000.0
,otherNonCashItems,170000000.0,41000000.0,-6000000.0,51000000.0,73000000.0,40000000.0,35000000.0,35000000.0,61000000.0,1960000000.0,-15000000.0,37000000.0,-37000000.0,90000000.0,87000000.0,57000000.0,37000000.0,28000000.0,108973000.0,0.0,27949000.0,122832000.0,15000.0,-20819000.0,-8093000.0,-19000.0,-20089000.0,186600000.0,197900000.0,186600000.0
,netCashProvidedByOperatingActivites,-6301000000.0,5475000000.0,5549000000.0,5322000000.0,5134000000.0,4545000000.0,3430000000.0,2834000000.0,2999000000.0,3766000000.0,3818000000.0,3342000000.0,3391000000.0,4069000000.0,3633000000.0,3410000000.0,3216000000.0,1933000000.0,1469032000.0,1238936000.0,1279535000.0,1329724000.0,1091840000.0,877580000.0,741523000.0,587206000.0,537136000.0,479800000.0,394300000.0,344400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3620000000.0,-5429000000.0,-3749000000.0,-2944000000.0,-3062000000.0,-2294000000.0,-2583000000.0,-2149000000.0,-2332000000.0,-2696000000.0,-3579000000.0,-3380000000.0,-3353000000.0,-3312000000.0,-2480000000.0,-1977000000.0,-3586000000.0,-2516000000.0,-1986482000.0,-826568000.0,-1054698000.0,-872984000.0,-1150413000.0,-497657000.0,-901905000.0,-483901000.0,-594789000.0,-712800000.0,-120800000.0,-116700000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-339000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-6000000.0,-39000000.0,-203000000.0,-291000000.0,-219000000.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,-4000000.0,-2098000000.0,-18000000.0,-935000000.0,-772000000.0,0.0,0.0,0.0,0.0,-13255000.0,-48000.0,-38378000.0,0.0,0.0,0.0,0.0,-54600000.0,-56400000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,11000000.0,2078000000.0,6000000.0,943000000.0,1216000000.0,42000000.0,2213000.0,531225000.0,0.0,0.0,4100000.0,2748000.0,37710000.0,19720000.0,15249000.0,22400000.0,0.0,0.0
