date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200000.0,0.0,3000000.0,100400000.0,7200000.0,0.0,0.0
,commonStockRepurchased,-76100000.0,-233100000.0,-134500000.0,-222300000.0,-39100000.0,-95500000.0,-174600000.0,-152100000.0,-3000000.0,-118000000.0,0.0,0.0,0.0,0.0,-45700000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-9600000.0,160700000.0,483400000.0,-156000000.0,630300000.0,104200000.0,34400000.0,165500000.0,0.0,0.0,0.0,0.0,0.0,1900000.0,1000000.0,1000000.0,-1600000.0,-900000.0,22400000.0,-14900000.0
,netCashUsedProvidedByFinancingActivities,-86200000.0,-102400000.0,341700000.0,-385500000.0,571200000.0,-1300000.0,-140600000.0,-300000.0,-13900000.0,-120400000.0,-166000000.0,151300000.0,811300000.0,-37800000.0,-21000000.0,75700000.0,-28300000.0,35600000.0,22000000.0,-16000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,15900000.0,-187900000.0,92500000.0,-446400000.0,552900000.0,-41200000.0,-81200000.0,20200000.0,112000000.0,22000000.0,41000000.0,-18000000.0,12000000.0,-2000000.0,-2400000.0,-34200000.0,17500000.0,27200000.0,0.0,0.0
,cashAtEndOfPeriod,112000000.0,96100000.0,284000000.0,191500000.0,637900000.0,85000000.0,126200000.0,207000000.0,187000000.0,75000000.0,53000000.0,12000000.0,30000000.0,18600000.0,20600000.0,23000000.0,57200000.0,39700000.0,12500000.0,0.0
,cashAtBeginningOfPeriod,96100000.0,284000000.0,191500000.0,637900000.0,85000000.0,126200000.0,207400000.0,-20200000.0,75000000.0,53000000.0,12000000.0,30000000.0,18000000.0,20600000.0,23000000.0,57200000.0,39700000.0,12500000.0,0.0,0.0
,operatingCashFlow,471600000.0,435200000.0,627100000.0,412300000.0,354000000.0,382200000.0,401500000.0,374100000.0,350000000.0,346000000.0,240000000.0,261000000.0,296000000.0,148600000.0,104600000.0,114800000.0,114100000.0,83400000.0,57500000.0,45300000.0
,capitalExpenditure,-474200000.0,-399500000.0,-274700000.0,-207100000.0,-185200000.0,-221400000.0,-219900000.0,-168700000.0,-166000000.0,-157000000.0,-164000000.0,-199000000.0,-170000000.0,-82000000.0,-70200000.0,-197800000.0,-35800000.0,-113800000.0,-64800000.0,-29300000.0
,freeCashFlow,-2600000.0,35700000.0,352400000.0,205200000.0,168800000.0,160800000.0,181600000.0,205400000.0,184000000.0,189000000.0,76000000.0,62000000.0,126000000.0,66600000.0,34400000.0,-83000000.0,78300000.0,-30400000.0,-7300000.0,16000000.0
