Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,3741627.0,6970926.0,9000000.0,1731364.0,2000000.0,11742489.0,12000000.0,7013556.0,7000000.0,4292122.0,4000000.0,1492871.0
Short-term investments,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,1360767.0,1000000.0,0.0,000000.0,0.0
Cash and short-term investments,3741627.0,6970926.0,000000.0,1731364.0,000000.0,11742489.0,000000.0,8374323.0,1000000.0,4292122.0,000000.0,1492871.0
Receivables,182464.0,5692479.0,4000000.0,2865707.0,2000000.0,8155264.0,2000000.0,264192.0,0000000.0,0.0,000000.0,2385.0
Inventories,0.0,0.0,4000000.0,2047163.0,2000000.0,1546463.0,2000000.0,1619778.0,2000000.0,0.0,000000.0,0.0
Total current assets,29105144.0,92667541.0,76000000.0,8594773.0,39000000.0,24821129.0,38000000.0,13164486.0,29000000.0,5254833.0,4000000.0,1501256.0
Property, Plant & Equipment Net,2050000.0,11001273.0,76000000.0,38382391.0,38000000.0,37142578.0,37000000.0,27949347.0,28000000.0,3532659.0,4000000.0,21874.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0000000.0,0.0,000000.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current assets,2050000.0,11001273.0,1000000.0,38708147.0,23000000.0,37631211.0,23000000.0,28885939.0,28000000.0,4021292.0,3000000.0,21874.0
Total assets,31155144.0,103668814.0,104000000.0,47302920.0,47000000.0,62452340.0,63000000.0,42050425.0,42000000.0,9276125.0,9000000.0,1523130.0
Payables,15181502.0,11828201.0,20000000.0,2453551.0,4000000.0,1112812.0,2000000.0,1947371.0,2000000.0,677030.0,1000000.0,176705.0
Short-term debt,7916188.0,0.0,7000000.0,2789166.0,2000000.0,3512052.0,3000000.0,1230442.0,1000000.0,615365.0,0000000.0,0.0
Total current liabilities,34561236.0,30988052.0,30000000.0,9745897.0,10000000.0,8468361.0,9000000.0,6342063.0,6000000.0,2515995.0,3000000.0,392442.0
Long-term debt,0.0,0.0,1000000.0,22504091.0,22000000.0,23223089.0,22000000.0,27727143.0,26000000.0,2721114.0,000000.0,0.0
Total debt,7916188.0,0.0,1000000.0,25293257.0,22000000.0,26735141.0,22000000.0,28957585.0,26000000.0,3336479.0,000000.0,0.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,0.0,0.0,1000000.0,22504091.0,23000000.0,23223089.0,23000000.0,27727143.0,28000000.0,2721114.0,3000000.0,0.0
Total liabilities,34561236.0,30988052.0,31000000.0,32249988.0,32000000.0,31691450.0,32000000.0,34069206.0,34000000.0,5237109.0,5000000.0,392442.0
Other comprehensive income,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,25749.0,0000000.0,0.0
Retained earnings (deficit),-159274536.0,-71407466.0,-71000000.0,-44460589.0,-44000000.0,-26535341.0,-27000000.0,-13140590.0,-13000000.0,-5998208.0,-6000000.0,-2422046.0
Total shareholders equity,-3406092.0,72680762.0,73000000.0,15052932.0,15000000.0,30760890.0,31000000.0,7981219.0,8000000.0,4039016.0,4000000.0,1130688.0
Investments,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,1360767.0,0000000.0,0.0,000000.0,0.0
Net Debt,4174561.0,-6970926.0,-1000000,23561893.0,22000000,14992652.0,13000000,20583262.0,20000000,-955643.0,-4000000,-1492871.0
Other Assets,25181053.0,80004136.0,7000000,1950539.0,1000000,3376913.0,7000000,2906193.0,1000000,962711.0,0,6000.0
Other Liabilities,11463546.0,19159851.0,0,4503180.0,0,3843497.0,0,3164250.0,0,1223600.0,3000000,215737.0
