date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2016000000.0,1742000000.0,1650000000.0,1492000000.0,1768000000.0,1599000000.0,1465000000.0,1357000000.0,1176000000.0,993000000.0,855000000.0,227000000.0,-73000000.0,2475000000.0,990000000.0,404000000.0,176000000.0,1540000000.0,1365000000.0,974000000.0,1181000000.0,726000000.0,796000000.0,399400000.0,459300000.0,402900000.0,371500000.0
,depreciationAndAmortization,741000000.0,647000000.0,494000000.0,481000000.0,438000000.0,423000000.0,388000000.0,358000000.0,349000000.0,332000000.0,357000000.0,365000000.0,404000000.0,442000000.0,488000000.0,490000000.0,456000000.0,391000000.0,359000000.0,520000000.0,488000000.0,400000000.0,251000000.0,199100000.0,139900000.0,135100000.0,120600000.0
,deferredIncomeTax,40000000.0,84000000.0,-39000000.0,396000000.0,68000000.0,178000000.0,127000000.0,184000000.0,96000000.0,178000000.0,16000000.0,42000000.0,103000000.0,12000000.0,60000000.0,36000000.0,-71000000.0,90000000.0,176000000.0,-67000000.0,175000000.0,32000000.0,79000000.0,-157100000.0,-20800000.0,34700000.0,48000000.0
,stockBasedCompensation,290000000.0,252000000.0,193000000.0,149000000.0,109000000.0,88000000.0,93000000.0,18000000.0,26000000.0,21000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,210000000.0,-621000000.0,-290000000.0,498000000.0,-534000000.0,-1014000000.0,-141000000.0,92000000.0,490000000.0,-262000000.0,943000000.0,-170000000.0,-563000000.0,1676000000.0,-626000000.0,759000000.0,340000000.0,11000000.0,-53000000.0,334000000.0,555000000.0,722000000.0,-1946500000.0,-2800000.0,82700000.0,55900000.0,-24600000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,241000000.0,120000000.0,23000000.0,87000000.0,55000000.0,-125000000.0,45000000.0,106000000.0,-210000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,401000000.0,389000000.0,1010000000.0,1300000000.0,802000000.0,1336000000.0,2350000000.0,2491000000.0,2399000000.0,1909000000.0,2171000000.0,1228000000.0,1398000000.0,1961000000.0,285000000.0,911000000.0,152000000.0,-188000000.0,-199000000.0,-146000000.0,-480000000.0,-1035000000.0,-1757000000.0,189500000.0,192300000.0,109600000.0,53700000.0
,otherNonCashItems,-23000000.0,-27000000.0,-295000000.0,-481000000.0,-312000000.0,-220000000.0,-133000000.0,24000000.0,-44000000.0,0.0,0.0,11000000.0,574000000.0,71000000.0,116000000.0,0.0,0.0,0.0,0.0,0.0,-26000000.0,-17000000.0,0.0,0.0,0.0,-12400000.0,-45600000.0
,netCashProvidedByOperatingActivites,3382000000.0,2361000000.0,2428000000.0,1893000000.0,2007000000.0,1888000000.0,2112000000.0,1341000000.0,1322000000.0,1705000000.0,722000000.0,640000000.0,837000000.0,-231000000.0,878000000.0,399000000.0,2069000000.0,1867000000.0,1280000000.0,1377000000.0,1364000000.0,1000000000.0,1133000000.0,415400000.0,316500000.0,318100000.0,368500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386000000.0,-378000000.0,-307000000.0,-345000000.0,-376000000.0,-436000000.0,-423000000.0,-433000000.0,-512000000.0,-715000000.0,-599000000.0,-675000000.0,-157300000.0,-136900000.0,-149100000.0
,acquisitionsNet,-570000000.0,-5276000000.0,-774000000.0,-655000000.0,-813000000.0,-881000000.0,-554000000.0,-137000000.0,-292000000.0,-237000000.0,710000000.0,2000000.0,-59000000.0,3151000000.0,154000000.0,82000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,104000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53000000.0,97000000.0,57000000.0,0.0,318000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-9000000.0,-76000000.0,-8000000.0,6000000.0,4000000.0,4000000.0,-5000000.0,-6000000.0,3000000.0,-5000000.0,-1000000.0,7000000.0,0.0,1000000.0,-12000000.0,52000000.0,161000000.0,136000000.0,224000000.0,-237000000.0,44000000.0,-215000000.0,12000000.0,-54700000.0,-98300000.0,-61200000.0,-74300000.0
,netCashUsedForInvestingActivites,-814000000.0,-5671000000.0,-1089000000.0,-956000000.0,-1056000000.0,-1265000000.0,-1222000000.0,-446000000.0,-583000000.0,-457000000.0,535000000.0,-236000000.0,-348000000.0,2842000000.0,-136000000.0,153000000.0,-2556000000.0,-470000000.0,-273000000.0,-533000000.0,-530000000.0,-845000000.0,-587000000.0,-675300000.0,-13800000.0,-198100000.0,-223400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
