date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1395800000.0,1394200000.0,1546500000.0,2310400000.0,1316500000.0,1234000000.0,1144100000.0,912700000.0,805900000.0,715000000.0,699300000.0,622700000.0,458100000.0,860300000.0,1064300000.0,919000000.0,825600000.0,746300000.0,142300000.0,358800000.0,620200000.0
,depreciationAndAmortization,251900000.0,226800000.0,205100000.0,195700000.0,186600000.0,193000000.0,169500000.0,153900000.0,141300000.0,115800000.0,164700000.0,138500000.0,145000000.0,487500000.0,344500000.0,101600000.0,321600000.0,694800000.0,615400000.0,723500000.0,549500000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51300000.0,60900000.0,65700000.0,-219700000.0,-70300000.0,169600000.0,-453400000.0,37500000.0,312300000.0,408400000.0,54500000.0,75000000.0
,stockBasedCompensation,87600000.0,82600000.0,77400000.0,82700000.0,84400000.0,84500000.0,75300000.0,68500000.0,63800000.0,43400000.0,47600000.0,37200000.0,31500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2081300000.0,-29349200000.0,9527000000.0,-23252200000.0,-8577800000.0,288300000.0,-10465800000.0,-46404000000.0,-12406000000.0,-2777000000.0,-6038000000.0,-3862000000.0,21281000000.0,-11457000000.0,-15914000000.0,-12919000000.0,-7822000000.0,-15717000000.0,-1719000000.0,-3337000000.0,92000000.0
,accountsReceivables,16400000.0,-247600000.0,37800000.0,-114200000.0,98700000.0,-211500000.0,26900000.0,-131900000.0,70600000.0,-220400000.0,-9600000.0,-126900000.0,-39200000.0,-40000000.0,-320200000.0,-28300000.0,-46700000.0,-69700000.0,25200000.0,-25600000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276700000.0,1851800000.0,2138500000.0,1981200000.0,2049400000.0,2102200000.0,1869200000.0,0.0
,otherWorkingCapital,-89000000.0,-257735700000.0,-228386500000.0,-237913500000.0,-214661300000.0,-206083500000.0,-206371800000.0,-195906000000.0,-149502000000.0,-137096000000.0,-134319000000.0,-128281000000.0,-124419000000.0,-145700000000.0,-134243000000.0,-118329000000.0,-105410000000.0,-97588000000.0,-81871000000.0,-80152000000.0,-76815000000.0
,otherNonCashItems,-210400000.0,-433000000.0,-434700000.0,-486000000.0,-305300000.0,-239500000.0,-483700000.0,-1020600000.0,-481700000.0,579800000.0,311500000.0,-115000000.0,86100000.0,538500000.0,-1753800000.0,414200000.0,-1738500000.0,766000000.0,2747600000.0,-355800000.0,0.0
,netCashProvidedByOperatingActivites,3738600000.0,5493200000.0,5156500000.0,4188000000.0,3857800000.0,4377100000.0,3102900000.0,2221200000.0,3080900000.0,2713300000.0,2791700000.0,2243000000.0,2224800000.0,2960000000.0,2278500000.0,2384200000.0,2255900000.0,3713800000.0,5564000000.0,3944800000.0,2637300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-108800000.0,-132400000.0,-92300000.0,-164800000.0,-154900000.0,-136400000.0,-136000000.0,-59400000.0,-38900000.0,-56900000.0,-21500000.0,-26200000.0,-105000000.0,-213600000.0,-79600000.0,-260900000.0,-389400000.0,-283300000.0,-333300000.0,-379900000.0,-303000000.0
,acquisitionsNet,-228000000.0,-1240000000.0,-209000000.0,281000000.0,-74000000.0,-404000000.0,-282000000.0,-1354000000.0,-232000000.0,-400000000.0,-54000000.0,-108000000.0,17000000.0,-138000000.0,-622000000.0,172000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-15779800000.0,-14626200000.0,-14212500000.0,-13442400000.0,-13702300000.0,-10019100000.0,-9135700000.0,-8993500000.0,-8421100000.0,-6924400000.0,-7322900000.0,-8057400000.0,-6831000000.0,-13628300000.0,-2610100000.0,-11517000000.0,-15728300000.0,-73769400000.0,-66900800000.0,-55512200000.0,0.0
,salesMaturitiesOfInvestments,11863400000.0,9461600000.0,10030700000.0,10156800000.0,9633300000.0,8188900000.0,8756700000.0,9278300000.0,7951200000.0,6741500000.0,6845900000.0,8007900000.0,4551400000.0,9365800000.0,7137300000.0,6005000000.0,15851100000.0,72563800000.0,63377100000.0,52345800000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30300000.0,70600000.0,0.0,-8534600000.0,3903200000.0,-3952400000.0,-150000000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-5025800000.0,-7688500000.0,-5702500000.0,-4052800000.0,-5153900000.0,-3167600000.0,-1172700000.0,-1226300000.0,-1611400000.0,-202100000.0,27500000.0,1026800000.0,-2917200000.0,-4499200000.0,-3912900000.0,-1608000000.0,-3178700000.0,-2548300000.0,-4078100000.0,-3698400000.0,-1273300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-78400000.0,-32200000.0,-1300000.0,-72000000.0,-930700000.0,-52600000.0,-218600000.0,-218200000.0,-519400000.0,-12200000.0,-11100000.0,-468200000.0,-83300000.0,-115000000.0,-21000000.0,-72600000.0,-447200000.0,-85300000.0,-110000000.0,-7443100000.0,0.0
,commonStockIssued,42800000.0,37700000.0,64000000.0,162500000.0,37800000.0,76100000.0,77500000.0,125800000.0,28900000.0,25900000.0,20600000.0,1123000000.0,36400000.0,73600000.0,66200000.0,143900000.0,41200000.0,18300000.0,22000000.0,2019300000.0,0.0
