date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,474000000.0,1198000000.0,1235000000.0,743000000.0,477000000.0,521000000.0,593000000.0,541000000.0,521000000.0,0.0,393000000.0,277000000.0,17000000.0,213000000.0,686000000.0,893000000.0,861000000.0,757000000.0,661000000.0,601000000.0,709578000.0,749326000.0,672600000.0,607100000.0,530500000.0,417200000.0,413400000.0,387200000.0,340600000.0,226000000.0,153400000.0,128500000.0,77600000.0
,depreciationAndAmortization,108000000.0,114000000.0,120000000.0,121000000.0,121000000.0,118000000.0,123000000.0,122000000.0,133000000.0,0.0,122000000.0,124000000.0,122000000.0,114000000.0,93000000.0,82000000.0,126000000.0,129000000.0,99000000.0,61000000.0,97845000.0,90872000.0,90800000.0,88000000.0,86900000.0,97600000.0,93000000.0,89500000.0,54500000.0,51300000.0,27600000.0,29700000.0,19000000.0
,deferredIncomeTax,-89000000.0,12000000.0,24000000.0,79000000.0,-51000000.0,-71000000.0,130000000.0,-20000000.0,158000000.0,-0.0,79000000.0,-202000000.0,-112000000.0,-99000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3100000.0,25700000.0,-30600000.0
,stockBasedCompensation,24000000.0,39000000.0,48000000.0,39000000.0,34000000.0,38000000.0,38000000.0,35000000.0,37000000.0,0.0,37000000.0,32000000.0,32000000.0,51000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,68156000000.0,-1958000000.0,1134000000.0,1040000000.0,-1563000000.0,-2150000000.0,-4578000000.0,-834000000.0,-67615000000.0,63114000000.0,-7460000000.0,-576000000.0,4183000000.0,3050000000.0,-1494000000.0,-2915000000.0,-1609000000.0,306000000.0,457000000.0,-2716000000.0,-10533000000.0,-3290000000.0,1673000000.0,-2027000000.0,1104000000.0,869000000.0,-1278000000.0,-26940000000.0,0.0,0.0,0.0,0.0,9500000.0
,accountsReceivables,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,5550000000.0,-62606000000.0,-60648000000.0,-61782000000.0,-62822000000.0,-61259000000.0,-59109000000.0,-54531000000.0,-53697000000.0,13918000000.0,-49196000000.0,-41736000000.0,-41160000000.0,-45343000000.0,-48393000000.0,-46899000000.0,-43984000000.0,-42375000000.0,-42681000000.0,-43138000000.0,-40422000000.0,-29889000000.0,-26599000000.0,-28272000000.0,-26245000000.0,-27349000000.0,-28218000000.0,-26940000000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,1000000.0,-1000000.0,-3000000.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,113000000.0,486000000.0,0.0,144000000.0,186000000.0,-12000000.0,-96000000.0,-41000000.0,419000000.0,593000000.0,24640000.0,-62615000.0,189500000.0,-30500000.0,-39400000.0,839800000.0,-621800000.0,303300000.0,-116100000.0,92100000.0,2600000.0,14100000.0,107000000.0
,netCashProvidedByOperatingActivites,928000000.0,1090000000.0,1616000000.0,1103000000.0,493000000.0,862000000.0,639000000.0,836000000.0,754000000.0,0.0,902000000.0,1286000000.0,91000000.0,862000000.0,1014000000.0,975000000.0,846000000.0,1028000000.0,1321000000.0,1228000000.0,1001030000.0,795253000.0,1036600000.0,689900000.0,605500000.0,1320500000.0,-148400000.0,704000000.0,397900000.0,333000000.0,137500000.0,205500000.0,182500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-79000000.0,-86000000.0,-90000000.0,-69000000.0,-95000000.0,-119000000.0,-70000000.0,-102000000.0,0.0,-75000000.0,-121000000.0,-92000000.0,-74000000.0,-166000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,721000000.0,0.0,7000000.0,0.0,3000000.0,43000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5804000000.0,-3346000000.0,-3032000000.0,-3112000000.0,-2045000000.0,-4590000000.0,-2372000000.0,-2225000000.0,-4032000000.0,-0.0,-4453000000.0,-2410000000.0,-9011000000.0,-4496000000.0,-3519000000.0,-2410000000.0,-1647000000.0,-867000000.0,-12046000000.0,-6237000000.0,-4188934000.0,-798682000.0,-1200800000.0,-127400000.0,-1042100000.0,-643800000.0,-557300000.0,-3348000000.0,-5325800000.0,-2426300000.0,-758600000.0,-1017800000.0,-1044700000.0
