Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,289000000.0,638000000.0,1132000000.0,465000000.0,497000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,1437000000.0,1422000000.0,1137000000.0,1165000000.0,1205000000.0
Inventories,2374000000.0,2018000000.0,1478000000.0,1526000000.0,1563000000.0
Total current assets,14839000000.0,14514000000.0,10846000000.0,11510000000.0,11900000000.0
Property Plant & Equipment Net,1915000000.0,1742000000.0,1451000000.0,1450000000.0,1454000000.0
Goodwill and Intangible Assets,12441000000,12283000000,8994000000,9626000000,10028000000
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,7570000000.0,6421000000.0,6460000000.0,6558000000.0,6588000000.0
Total assets,19408000000.0,19080000000.0,15635000000.0,15172000000.0,15849000000.0
Payables,2233000000.0,2021000000.0,1640000000.0,1533000000.0,1579000000.0
Short-term debt,379000000.0,989000000.0,12000000.0,8000000.0,8000000.0
Total current liabilities,4002000000.0,4362000000.0,2808000000.0,2803000000.0,2832000000.0
Long-term debt,3820000000.0,2843000000.0,3815000000.0,3837000000.0,3840000000.0
Total debt,3820000000.0,2843000000.0,3815000000.0,3837000000.0,3840000000.0
Deferred revenue,99000000.0,99000000.0,82000000.0,89000000.0,84000000.0
Tax Liabilities,705000000.0,434000000.0,735000000.0,826000000.0,993000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,7570000000.0,6421000000.0,6460000000.0,6558000000.0,6588000000.0
Total liabilities,11572000000.0,10783000000.0,9268000000.0,9361000000.0,9420000000.0
Other comprehensive income,-1825000000.0,-1605000000.0,-1947000000.0,-1729000000.0,-1314000000.0
Retained earnings (deficit),6219000000.0,5990000000.0,5127000000.0,4492000000.0,3926000000.0
Total shareholders equity,7836000000.0,8297000000.0,6367000000.0,5812000000.0,6429000000.0
Investments,,,,,
Net Debt,3910000000,3194000000,2695000000,3380000000,3351000000
Other Assets,712000000,742000000,1250000000,762000000,923000000
Other Liabilities,2454000000,2614000000,1362000000,1379000000,1041000000
