date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,otherInvestingActivites,458000.0,46597000.0,12102000.0,35923000.0,-1434000.0,7152000.0,-14201000.0,-16547000.0,1724000.0,-1947000.0,4428000.0,-7444000.0,5625000.0,2986000.0,298271000.0,-6376000.0,-11472000.0,3542000.0,3813000.0,5983000.0,-14733000.0,0.0,0.0,-11600000.0,69000.0,-200000.0,10900000.0
,netCashUsedForInvestingActivites,28465000.0,-349918000.0,-168154000.0,-545706000.0,-137662000.0,-222534000.0,50323000.0,-28977000.0,-232356000.0,-94177000.0,-89025000.0,-80097000.0,-88533000.0,-355878000.0,74240000.0,-421480000.0,-105755000.0,74013000.0,-106349000.0,-145586000.0,6189000.0,-195178000.0,-749067000.0,-939501000.0,-307752000.0,-133700000.0,-8900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-602561000.0,-1447115000.0,-912495000.0,-1272760000.0,-1831765000.0,-222133000.0,-711136000.0,-409715000.0,-919863000.0,-480684000.0,-497228000.0,-711952000.0,-1356231000.0,-464835000.0,-1265915000.0,-1096566000.0,-869676000.0,-545400000.0,-492681000.0,-712355000.0,-591375000.0,-1138327000.0,-1108175000.0,-445280000.0,-294819000.0,-20800000.0,-223800000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227374000.0,0.0,274826000.0,0.0,255534000.0,10445000.0,16603000.0,45445000.0,63777000.0,20547000.0,20675000.0,2500000.0,1049000.0,290705000.0,496303000.0,520220000.0,0.0,0.0
,commonStockRepurchased,-2693000.0,-7769000.0,0.0,0.0,0.0,0.0,0.0,0.0,-11011000.0,-25000000.0,0.0,0.0,-5198000.0,-98821000.0,0.0,0.0,0.0,-1030000.0,-12557000.0,-35412000.0,-55514000.0,-27500000.0,-25058000.0,-4680000.0,0.0,-1600000.0,0.0
,dividendsPaid,-60532000.0,-102575000.0,-94017000.0,-77826000.0,-60041000.0,-59987000.0,-89830000.0,-149454000.0,-179905000.0,-178488000.0,-168495000.0,-173267000.0,-208533000.0,-211483000.0,-197035000.0,-191899000.0,-189397000.0,-182331000.0,-178089000.0,-174058000.0,-172153000.0,-164735000.0,-139819000.0,-74455000.0,-32433000.0,-21700000.0,-1800000.0
,otherFinancingActivites,-30542000.0,127178000.0,93882000.0,127732000.0,-46295000.0,-2025000.0,-8230000.0,-8184000.0,-4711000.0,-4993000.0,0.0,0.0,0.0,74165000.0,-82751000.0,401974000.0,-54838000.0,-122834000.0,44643000.0,68154000.0,-88672000.0,83632000.0,417583000.0,-1812000.0,-520512000.0,83600000.0,155600000.0
,netCashUsedProvidedByFinancingActivities,-102751000.0,275845000.0,-17337000.0,346135000.0,32089000.0,60607000.0,-401733000.0,-6255000.0,25399000.0,-159243000.0,-403219000.0,54849000.0,-190551000.0,19395000.0,-269341000.0,226678000.0,-198790000.0,-217582000.0,-125456000.0,-120641000.0,-182210000.0,-45598000.0,543411000.0,639256000.0,464769000.0,99900000.0,9000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,11136000.0,-8388000.0,-18418000.0,-3431000.0,-5466000.0,7528000.0,-192157000.0,163461000.0,37749000.0,-1355000.0,-269208000.0,269438000.0,-3095000.0,-76507000.0,40826000.0,48127000.0,-66105000.0,77208000.0,-11668000.0,-344000.0,4508000.0,2862000.0,3105000.0,-202103000.0,203840000.0,0.0,0.0
,cashAtEndOfPeriod,52302000.0,41166000.0,49554000.0,28180000.0,31611000.0,37077000.0,29549000.0,221706000.0,58245000.0,20496000.0,21851000.0,291059000.0,21621000.0,24716000.0,101223000.0,60397000.0,12270000.0,78375000.0,1167000.0,12835000.0,13179000.0,8671000.0,5809000.0,2704000.0,204807000.0,0.0,0.0
,cashAtBeginningOfPeriod,41166000.0,49554000.0,67972000.0,31611000.0,37077000.0,29549000.0,221706000.0,58245000.0,20496000.0,21851000.0,291059000.0,21621000.0,24716000.0,101223000.0,60397000.0,12270000.0,78375000.0,1167000.0,12835000.0,13179000.0,8671000.0,5809000.0,2704000.0,204807000.0,967000.0,6400000.0,0.0
,operatingCashFlow,85422000.0,131842000.0,167073000.0,196140000.0,100107000.0,169455000.0,159253000.0,198693000.0,244706000.0,252065000.0,223036000.0,294686000.0,275989000.0,259976000.0,235927000.0,242929000.0,238440000.0,220777000.0,220137000.0,265883000.0,180529000.0,243638000.0,208761000.0,98142000.0,46823000.0,28400000.0,6400000.0
,capitalExpenditure,0.0,-400240000.0,-180020000.0,-665340000.0,-128949000.0,-164552000.0,95948000.0,50167000.0,-199576000.0,-91729000.0,-92499000.0,-77767000.0,-91734000.0,-325538000.0,-217804000.0,-451335000.0,-200033000.0,-113926000.0,-253023000.0,-279686000.0,-268243000.0,-191507000.0,-692766000.0,-928974000.0,-318145000.0,-133500000.0,-19800000.0
,freeCashFlow,85422000.0,131842000.0,167073000.0,196140000.0,100107000.0,169455000.0,159253000.0,198693000.0,244706000.0,160336000.0,130537000.0,216919000.0,184255000.0,-65562000.0,18123000.0,-208406000.0,38407000.0,106851000.0,-32886000.0,-13803000.0,-87714000.0,52131000.0,-484005000.0,-830832000.0,-271322000.0,-105100000.0,-13400000.0
