Date,2018-12-31,2017-12-31
Cash and cash equivalents,135758000.0,851466.0
Short-term investments,0.0,0.0
Cash and short-term investments,135758000.0,851466.0
Receivables,140284000.0,0.0
Inventories,0.0,0.0
Total current assets,292359000.0,993742.0
Property Plant & Equipment Net,3073204000.0,0.0
Goodwill and Intangible Assets,38356000.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,104569.0
Total non-current assets,3141164000.0,652943720.0
Total assets,3433523000.0,653937462.0
Payables,196357000.0,0.0
Short-term debt,0.0,0.0
Total current liabilities,197361000.0,1804828.0
Long-term debt,388635000.0,0.0
Total debt,388635000.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,359823.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,528207000.0,0.0
Total liabilities,725568000.0,648937458.0
Other comprehensive income,2672432000,3466184
Retained earnings (deficit),35507000.0,1532195.0
Total shareholders equity,2707955000.0,5000004.0
Investments,0.0,0.0
Net Debt,252877000.0,-851466.0
Other Assets,0.0,0.0
Other Liabilities,0.0,647132630.0
