date,,2020-06-27_FY,2019-06-29_FY,2018-06-30_FY,2017-07-01_FY,2016-07-02_FY,2015-06-27_FY,2014-06-28_FY,2013-06-29_FY,2012-06-30_FY,2011-07-02_FY,2010-07-03_FY,2009-06-27_FY,2008-06-28_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,28700000.0,5400000.0,-46000000.0,160200000.0,-99200000.0,-88100000.0,-17800000.0,57000000.0,-55600000.0,71600000.0,-61800000.0,-909500000.0,-40300000.0,-26300000.0,-151200000.0,-261300000.0,-115500000.0,-933800000.0,-8738300000.0,-56121900000.0,-904700000.0,-171100000.0,-81100000.0,-18900000.0,2800000.0,700000.0,2200000.0,-800000.0,1100000.0
,depreciationAndAmortization,107800000.0,112200000.0,83400000.0,57700000.0,70600000.0,140000000.0,131500000.0,144600000.0,157800000.0,153200000.0,136700000.0,144400000.0,144500000.0,161900000.0,133200000.0,62000000.0,57700000.0,130100000.0,1770200000.0,5595000000.0,950700000.0,30700000.0,10100000.0,4700000.0,2100000.0,1200000.0,900000.0,900000.0,900000.0
,deferredIncomeTax,11900000.0,-1900000.0,0.0,1500000.0,600000.0,19800000.0,-33100000.0,-119500000.0,0.0,-35600000.0,-4500000.0,1300000.0,-1200000.0,-9500000.0,-2100000.0,300000.0,0.0,61100000.0,340800000.0,-598300000.0,-78900000.0,5100000.0,-800000.0,-1600000.0,-1000000.0,-2200000.0,200000.0,-400000.0,200000.0
,stockBasedCompensation,44600000.0,38200000.0,30500000.0,33200000.0,44000000.0,66900000.0,64100000.0,56500000.0,49100000.0,41400000.0,43000000.0,50000000.0,49000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,48000000.0,41400000.0,-846800000.0,452900000.0,-19300000.0,2600000.0,320000000.0,25900000.0,-228900000.0,161000000.0,-74000000.0,-186000000.0,-328800000.0,-69800000.0,34200000.0,-167300000.0,423900000.0,-283000000.0,-813000000.0,862100000.0,1010900000.0,195600000.0,10800000.0,-5000000.0,-3600000.0,-1700000.0,-1500000.0,500000.0,-400000.0
,accountsReceivables,-5100000.0,-15200000.0,-54300000.0,24500000.0,23400000.0,-12500000.0,-9600000.0,39200000.0,17200000.0,-52800000.0,-61000000.0,110000000.0,-23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,3700000.0,-15400000.0,-4500000.0,-1600000.0,-2600000.0,-6000000.0,-3200000.0,27200000.0,-7700000.0,-38600000.0,22000000.0,15000000.0,30000000.0,7800000.0,-13800000.0,8800000.0,-34200000.0,21100000.0,194300000.0,190300000.0,-94700000.0,-12100000.0,2400000.0,-5200000.0,-4100000.0,-1200000.0,-800000.0,-200000.0,100000.0
,accountsPayables,-9200000.0,8700000.0,13200000.0,-14800000.0,-2100000.0,-10100000.0,25900000.0,-16100000.0,-29200000.0,9700000.0,20000000.0,-12000000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,680800000.0,632800000.0,591400000.0,1438200000.0,985300000.0,1004600000.0,1002000000.0,682000000.0,656100000.0,885000000.0,724000000.0,798000000.0,984000000.0,1312800000.0,1382600000.0,1348400000.0,1515700000.0,1091800000.0,1374800000.0,2187800000.0,1325700000.0,314800000.0,119200000.0,108400000.0,113400000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,41100000.0,62000000.0,38600000.0,-122900000.0,97000000.0,105500000.0,95300000.0,77800000.0,22900000.0,64000000.0,42400000.0,829500000.0,75800000.0,-15600000.0,65600000.0,34500000.0,0.0,0.0,148300000.0,0.0,0.0,0.0,-100000.0,36200000.0,7500000.0,4300000.0,0.0,-100000.0,200000.0
,netCashProvidedByOperatingActivites,135600000.0,138800000.0,66000000.0,94300000.0,64300000.0,82300000.0,176600000.0,187800000.0,119100000.0,205300000.0,119200000.0,107400000.0,197200000.0,61300000.0,-81200000.0,-140900000.0,-135200000.0,-220000000.0,85700000.0,53200000.0,281100000.0,66900000.0,50000000.0,21500000.0,7800000.0,3200000.0,1800000.0,100000.0,2100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-31900000.0,-45000000.0,0.0,-38600000.0,-35500000.0,-101500000.0,-99800000.0,-65100000.0,-72200000.0,-116700000.0,-41000000.0,-54000000.0,-51000000.0,-75700000.0,-67200000.0,-35800000.0,-66400000.0,-47200000.0,-132500000.0,-732500000.0,-280000000.0,-46600000.0,-35400000.0,-57900000.0,-17600000.0,-11200000.0,-1100000.0,-700000.0,-400000.0
,acquisitionsNet,-2500000.0,-47000000.0,-510000000.0,0.0,-900000.0,0.0,-216000000.0,-83200000.0,-13000000.0,1000000.0,-207000000.0,-12000000.0,-59000000.0,-69000000.0,-480000000.0,-70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-44400000.0,-11200000.0,-382900000.0,-92000000.0,-44500000.0,-4800000.0,-155200000.0,-466000000.0,-444800000.0,-355000000.0,-427000000.0,-543000000.0,-753000000.0,-777000000.0,-541400000.0,-1397800000.0,-3970800000.0,-2594300000.0,-4018200000.0,-1594000000.0,-2395900000.0,-204800000.0,-187200000.0,-98000000.0,-74300000.0,-10600000.0,-11700000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,167200000.0,643000000.0,470400000.0,395700000.0,574800000.0,480900000.0,287700000.0,418200000.0,285000000.0,623000000.0,745000000.0,930000000.0,911800000.0,557800000.0,1787100000.0,3779200000.0,2679600000.0,3836500000.0,0.0,1757300000.0,176400000.0,184500000.0,107300000.0,17700000.0,17100000.0,0.0,0.0,0.0
