date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-61911000.0,-63417000.0,-72226000.0,-29217000.0,112168000.0,-34765000.0,19634000.0,54962000.0,58604000.0,83842000.0,29574000.0,21584000.0,36573000.0,46882000.0,15930000.0,5102000.0,1873000.0,3111000.0,99000.0,8557000.0,6195000.0,-49767000.0,-1920000.0,-23065000.0,-3845000.0,-3732000.0,24467000.0,12400000.0,9300000.0,-1100000.0,-10700000.0,4000000.0
,depreciationAndAmortization,70841000.0,69574000.0,72627000.0,69143000.0,64286000.0,40496000.0,35664000.0,28310000.0,20681000.0,19202000.0,17980000.0,16358000.0,15016000.0,14353000.0,12549000.0,12026000.0,11295000.0,11216000.0,10563000.0,11365000.0,10554000.0,11391000.0,13200000.0,12450000.0,0.0,0.0,0.0,-6500000.0,-11900000.0,-9500000.0,-9100000.0,-7100000.0
,deferredIncomeTax,-4778000.0,-20895000.0,1825000.0,-40445000.0,-42013000.0,-18519000.0,12839000.0,35289000.0,245000.0,8688000.0,2310000.0,11231000.0,13000.0,-4700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1761000.0,2220000.0,8358000.0,5213000.0,3992000.0,0.0,0.0,0.0,1652000.0,1099000.0,1005000.0,1021000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-5288000.0,-13027000.0,-13844000.0,-6456000.0,-79877000.0,-122848000.0,43679000.0,52282000.0,-63293000.0,76970000.0,9321000.0,8791000.0,331000.0,88290000.0,3888000.0,8980000.0,36505000.0,3310000.0,-2880000.0,6841000.0,-21093000.0,-56475000.0,-3798000.0,12485000.0,-4757000.0,1764000.0,-257516000.0,-64700000.0,302900000.0,25400000.0,78200000.0,-18100000.0
,accountsReceivables,-4702000.0,8800000.0,-2167000.0,-6321000.0,-6000.0,5571000.0,-7637000.0,2268000.0,7935000.0,-13451000.0,-17340000.0,22118000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12300000.0,1500000.0,25900000.0,16400000.0,-23900000.0
,inventory,3634000.0,5158000.0,-6819000.0,-2175000.0,1539000.0,-2194000.0,-1333000.0,-1845000.0,-8861000.0,60000.0,-9277000.0,11880000.0,-7758000.0,-11044000.0,-7287000.0,-8888000.0,-2266000.0,473000.0,658000.0,-123000.0,-2172000.0,3934000.0,1514000.0,-1892000.0,-1717000.0,-6091000.0,-13692000.0,2300000.0,-5900000.0,3300000.0,1100000.0,5600000.0
,accountsPayables,-6561000.0,-7987000.0,14208000.0,1374000.0,16632000.0,-3895000.0,-1044000.0,-6032000.0,980000.0,2175000.0,15556000.0,-6154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700000.0,-300000.0,1200000.0,-400000.0,-2500000.0
,otherWorkingCapital,22285000.0,27573000.0,40600000.0,54444000.0,60900000.0,140777000.0,263625000.0,219946000.0,167664000.0,230957000.0,153987000.0,144666000.0,135875000.0,135544000.0,47254000.0,43366000.0,34386000.0,-2119000.0,-5429000.0,-2549000.0,-9390000.0,11703000.0,68178000.0,71976000.0,59491000.0,64248000.0,62484000.0,320000000.0,384700000.0,81800000.0,56400000.0,-21800000.0
,otherNonCashItems,4081000.0,2794000.0,2098000.0,434000.0,1835000.0,5769000.0,332000.0,-61436000.0,173000.0,945000.0,-10000.0,-4372000.0,4958000.0,1397000.0,329000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10094000.0,5303000.0,2167000.0,1112000.0,1265000.0,13100000.0,24400000.0,19000000.0,18900000.0,14800000.0
,netCashProvidedByOperatingActivites,-2513000.0,2099000.0,17622000.0,815000.0,-23884000.0,31449000.0,66577000.0,53881000.0,99251000.0,89688000.0,44201000.0,57517000.0,31855000.0,46637000.0,17411000.0,10936000.0,1597000.0,13199000.0,26797000.0,743000.0,7432000.0,-3146000.0,-4241000.0,-20484000.0,13313000.0,-344000.0,6686000.0,-18600000.0,24400000.0,35400000.0,26000000.0,-5700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-30471000.0,-36081000.0,-37050000.0,-35425000.0,-212543000.0,-439807000.0,-219842000.0,-166582000.0,-50219000.0,0.0,0.0,0.0,-32556000.0,-14808000.0,-14701000.0,-15315000.0,-9600000.0,-7177000.0,-10029000.0,-7446000.0,-7736000.0,-7645000.0,0.0,0.0,0.0,0.0,0.0,-10500000.0,-5300000.0,-3900000.0,-16300000.0,-14900000.0
,acquisitionsNet,0.0,0.0,0.0,24000000.0,0.0,0.0,0.0,-9000000.0,-50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-25000000.0,-104000000.0,-209990000.0,-10032000.0,-10014000.0,-30009000.0,-10051000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3068000.0,-86900000.0,-57200000.0,-114900000.0,-243300000.0,-177700000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,64500000.0,274490000.0,0.0,20037000.0,10012000.0,30057000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427000.0,283000.0,2266000.0,1586000.0,0.0,56900000.0,87100000.0,1300000.0,256500000.0,97100000.0
