Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,19371000.0,21170000.0,36392000.0,40031000.0,68840000.0,2793000.0,2409000.0
Short-term investments,2496000.0,20971000.0,4925000.0,25232000.0,14755000.0,2359000.0,5062000.0
Cash and short-term investments,21867000.0,42141000.0,41317000.0,65263000.0,83595000.0,5152000.0,7471000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,23236000.0,43480000.0,42755000.0,66608000.0,84601000.0,5330000.0,7703000.0
Property Plant & Equipment Net,263000.0,259000.0,372000.0,224000.0,83000.0,62000.0,79000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,267000.0,0.0
Total non-current assets,285000.0,499000.0,765000.0,930000.0,197000.0,329000.0,79000.0
Total assets,23521000.0,43979000.0,43520000.0,67538000.0,84798000.0,5659000.0,7782000.0
Payables,441000.0,291000.0,556000.0,1020000.0,917000.0,399000.0,469000.0
Short-term debt,0.0,0.0,0.0,537000.0,0.0,3727000.0,0.0
Total current liabilities,3078000.0,9240000.0,5079000.0,4133000.0,2338000.0,9768000.0,1204000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,537000.0,0.0,3727000.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,2948000.0,2948000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,0.0,0.0,2948000.0
Total liabilities,3078000.0,9240000.0,5079000.0,4133000.0,2338000.0,9768000.0,4152000.0
Other comprehensive income,230889000,224476000,198201000,194651000,192324000,0.0,1000.0
Retained earnings (deficit),-210470000.0,-189741000.0,-159777000.0,-131251000.0,-109874000.0,-100514000.0,-86657000.0
Total shareholders equity,20443000.0,34739000.0,38441000.0,63405000.0,82460000.0,-100514000.0,-86656000.0
Investments,2496000.0,20971000.0,4925000.0,25232000.0,14755000.0,2359000.0,5062000.0
Net Debt,-19371000.0,-21170000.0,-36392000.0,-39494000.0,-68840000.0,-1425000.0,-7471000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,178000.0,232000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,5642000.0,735000.0
