date,,2020-06-28_FY,2019-06-30_FY,2018-06-24_FY,2017-06-25_FY,2016-06-26_FY,2015-06-28_FY,2014-06-29_FY,2013-06-30_FY,2012-06-24_FY,2011-06-26_FY,2010-06-27_FY,2009-06-28_FY,2008-06-29_FY,2007-06-24_FY,2006-06-25_FY,2005-06-26_FY,2004-06-27_FY,2003-06-30_FY,2003-06-29_FY,2002-06-30_FY,2001-06-24_FY,2000-06-25_FY,1999-06-27_FY,1998-06-28_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-191700000.0,-375100000.0,-280000000.0,-98118000.0,-21536000.0,-64692000.0,124200000.0,86925000.0,44400000.0,146500000.0,152300000.0,30300000.0,33400000.0,57300000.0,76700000.0,91100000.0,58000000.0,34901000.0,34900000.0,-101723000.0,27800000.0,30500000.0,12700000.0,6300000.0,3500000.0,300000.0,0.0,-400000.0,600000.0
,depreciationAndAmortization,123900000.0,143600000.0,153900000.0,150508000.0,159145000.0,173323000.0,163000000.0,153301000.0,142700000.0,108600000.0,90400000.0,96600000.0,99300000.0,84700000.0,74400000.0,69700000.0,55600000.0,44905000.0,42100000.0,40161000.0,26600000.0,10900000.0,5500000.0,4400000.0,3500000.0,1800000.0,1500000.0,1000000.0,1000000.0
,deferredIncomeTax,-900000.0,-400000.0,-40000000.0,74918000.0,-15839000.0,-21346000.0,0.0,0.0,-6400000.0,-16300000.0,-11000000.0,-10800000.0,800000.0,-9800000.0,2200000.0,11200000.0,20400000.0,5709000.0,5700000.0,-31200000.0,13500000.0,-11600000.0,3500000.0,400000.0,-200000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,53300000.0,78000000.0,43203000.0,47725000.0,58728000.0,64299000.0,61686000.0,53899000.0,46393000.0,38240000.0,24067000.0,21112000.0,15985000.0,11720000.0,13108000.0,0.0,393000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,157000000.0,502803000.0,-246810000.0,-45101000.0,-119756000.0,-413736000.0,158845000.0,293255000.0,-301500000.0,81500000.0,734400000.0,92500000.0,28500000.0,40600000.0,93700000.0,55500000.0,8837000.0,-37000.0,29249000.0,-92349000.0,-21700000.0,205600000.0,32700000.0,6600000.0,2400000.0,8600000.0,-4300000.0,-1600000.0,-800000.0
,accountsReceivables,14900000.0,22300000.0,-4764000.0,16955000.0,21800000.0,37853000.0,-32651000.0,-40430000.0,-9365000.0,-963000.0,-15293000.0,6209000.0,-31046000.0,11188000.0,-35119000.0,12221000.0,-3967000.0,0.0,-9300000.0,0.0,-22500000.0,2100000.0,-5700000.0,-3800000.0,0.0,0.0,0.0,0.0,0.0
,inventory,9900000.0,-43300000.0,10998000.0,17918000.0,-23269000.0,3528000.0,-87012000.0,-8406000.0,26904000.0,-63450000.0,-33129000.0,6776000.0,-1569000.0,1193000.0,5607000.0,652000.0,-1107000.0,292000.0,300000.0,-2764000.0,-5900000.0,-5300000.0,-1500000.0,1400000.0,-700000.0,-1500000.0,-1000000.0,0.0,-200000.0
,accountsPayables,-16300000.0,6400000.0,14296000.0,-4818000.0,-12090000.0,-44796000.0,66297000.0,41800000.0,-10105000.0,18442000.0,15717000.0,1348000.0,2410000.0,-2186000.0,827000.0,-1893000.0,10186000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1301600000.0,1144600000.0,641797000.0,888607000.0,933708000.0,1053464000.0,1467200000.0,1308355000.0,1015100000.0,1316600000.0,1235100000.0,500700000.0,408200000.0,379700000.0,339100000.0,245400000.0,189900000.0,181063000.0,181100000.0,151851000.0,244200000.0,265900000.0,60300000.0,27600000.0,21000000.0,18600000.0,10000000.0,14300000.0,15900000.0
,otherNonCashItems,56600000.0,18300000.0,298500000.0,45488000.0,98357000.0,140003000.0,58500000.0,0.0,57900000.0,45700000.0,16700000.0,30000000.0,-5000000.0,-6900000.0,19100000.0,31800000.0,7800000.0,0.0,11600000.0,0.0,29700000.0,26000000.0,5400000.0,1500000.0,100000.0,-100000.0,0.0,-100000.0,-100000.0
,netCashProvidedByOperatingActivites,-29000000.0,202300000.0,173500000.0,215900000.0,203316000.0,181254000.0,319300000.0,285234000.0,242300000.0,251400000.0,250600000.0,177900000.0,102800000.0,110900000.0,151500000.0,175600000.0,152400000.0,89649000.0,89600000.0,39130000.0,74800000.0,63000000.0,19900000.0,12100000.0,5900000.0,-1600000.0,-600000.0,-300000.0,700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-237100000.0,-153000000.0,-185688000.0,-86928000.0,-120018000.0,-206160000.0,-178557000.0,-98326000.0,-95015000.0,-237085000.0,-168624000.0,-55283000.0,-55741000.0,-82604000.0,-77260000.0,-141820000.0,-77280000.0,-77643000.0,-80900000.0,-41635000.0,-107300000.0,-78800000.0,-41000000.0,-15700000.0,-8000000.0,-14700000.0,-3500000.0,-1800000.0,-2000000.0
,acquisitionsNet,0.0,219000000.0,-429162000.0,0.0,-12513000.0,0.0,0.0,0.0,-454605000.0,-13000000.0,-66000000.0,-64000000.0,-7000000.0,-123000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-833000000.0,-517200000.0,-200688000.0,-304422000.0,-370376000.0,-899479000.0,-725519000.0,-724467000.0,-357438000.0,-382520000.0,-660823000.0,-217059000.0,-413735000.0,-167608000.0,-212170000.0,-181754000.0,-128683000.0,-118934000.0,0.0,-132568000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2200000.0,-13500000.0,-9900000.0
,salesMaturitiesOfInvestments,0.0,223800000.0,401152000.0,153096000.0,354598000.0,639597000.0,582178000.0,442185000.0,463888000.0,342077000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88174000.0,0.0,66965000.0,0.0,0.0,0.0,0.0,1800000.0,2100000.0,5500000.0,11200000.0,5000000.0
,otherInvestingActivites,-249800000.0,0.0,-9501000.0,93004000.0,140406000.0,449905000.0,79633000.0,0.0,-99986000.0,-262791000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3530000.0,0.0,-10369000.0,0.0,0.0,0.0,0.0,-300000.0,-400000.0,-600000.0,-200000.0,-100000.0
