date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,695000000.0,849000000.0,782000000.0,585730000.0,605928000.0,768996000.0,801729000.0,797036000.0,689881000.0,658423000.0,510865000.0,430466000.0,475355000.0,420120000.0,383399000.0,346324000.0,286923000.0,226971000.0,211567000.0,174530000.0,192903000.0,180700000.0,238500000.0,231800000.0,208500000.0,186700000.0,127900000.0
,depreciationAndAmortization,182000000.0,229000000.0,257000000.0,264064000.0,248857000.0,227967000.0,208326000.0,180613000.0,159049000.0,149200000.0,149678000.0,147531000.0,139570000.0,131999000.0,118568000.0,108782000.0,98256000.0,90253000.0,93488000.0,103209000.0,106893000.0,98200000.0,78900000.0,79700000.0,74300000.0,70900000.0,66700000.0
,deferredIncomeTax,-5000000.0,4000000.0,7000000.0,-5048000.0,-5884000.0,4076000.0,-13732000.0,-9319000.0,12343000.0,1666000.0,-5553000.0,21683000.0,5182000.0,-18632000.0,9858000.0,23663000.0,-4450000.0,5382000.0,-6480000.0,-6853000.0,-21077000.0,-5300000.0,-7900000.0,2200000.0,100000.0,-5500000.0,-31800000.0
,stockBasedCompensation,46000000.0,40000000.0,47000000.0,32661000.0,35735000.0,46861000.0,49032000.0,55590000.0,55500000.0,54020000.0,49796000.0,40407000.0,45945000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-170000000.0,-179000000.0,356672000.0,308036000.0,131184000.0,-445725000.0,-142662000.0,27858000.0,513662000.0,-61793000.0,14052000.0,-27659000.0,407961000.0,-181349000.0,-115141000.0,178625000.0,165506000.0,28092000.0,59881000.0,103122000.0,135078000.0,58700000.0,-107200000.0,-55000000.0,85500000.0,114100000.0,-49800000.0
,accountsReceivables,-121000000.0,-42000000.0,-79000000.0,-103126000.0,-45600000.0,-3085000.0,-122580000.0,-126465000.0,-45953000.0,-85083000.0,-127790000.0,2794000.0,-5592000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-158000000.0,-106000000.0,-129000000.0,-4915000.0,-4403000.0,-37737000.0,-92443000.0,-23636000.0,-14872000.0,-219680000.0,-80545000.0,175286000.0,-92518000.0,-97234000.0,-33839000.0,-84031000.0,-30728000.0,83530000.0,-97297000.0,66446000.0,54468000.0,-135800000.0,-14600000.0,74800000.0,-7400000.0,-82700000.0,-70100000.0
,accountsPayables,80000000.0,32000000.0,-51000000.0,72332000.0,72882000.0,23130000.0,32019000.0,71118000.0,-54314000.0,86395000.0,36219000.0,-16736000.0,-6960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,13000000.0,1877000000.0,2056000000.0,1699328000.0,1391292000.0,1260108000.0,1705833000.0,1848495000.0,1820637000.0,1306975000.0,1368768000.0,1354716000.0,1382375000.0,974414000.0,1155763000.0,1270904000.0,1092279000.0,926773000.0,898681000.0,838800000.0,735678000.0,600600000.0,541900000.0,649100000.0,704100000.0,618600000.0,504500000.0
,otherNonCashItems,0.0,0.0,8000000.0,-400000.0,-10281000.0,-5872000.0,-1421000.0,-3361000.0,9970000.0,7059000.0,3663000.0,-35198000.0,19956000.0,54180000.0,41374000.0,7733000.0,3034000.0,1938000.0,4009000.0,3970000.0,2322000.0,0.0,1300000.0,2400000.0,2300000.0,200000.0,100000.0
,netCashProvidedByOperatingActivites,1123000000.0,1042000000.0,1057000000.0,1056557000.0,1002976000.0,989904000.0,959814000.0,986498000.0,816195000.0,746108000.0,596445000.0,732396000.0,530066000.0,468875000.0,436753000.0,432543000.0,406487000.0,394108000.0,303470000.0,510794000.0,277757000.0,29700000.0,334600000.0,426100000.0,271400000.0,126300000.0,191400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-239000000.0,-237283000.0,-284249000.0,-373868000.0,-387390000.0,-272145000.0,-249860000.0,-196942000.0,-120616000.0,-142414000.0,-182678000.0,-197423000.0,-136764000.0,-112297000.0,-128276000.0,-74064000.0,-133978000.0,-100451000.0,-94913000.0,-114100000.0,-130200000.0,-108300000.0,-62100000.0,-111900000.0,-120400000.0
,acquisitionsNet,20000000.0,17000000.0,86000000.0,0.0,0.0,-464000000.0,-31000000.0,-154000000.0,-65000000.0,-359000000.0,-62000000.0,-123000000.0,-34000000.0,-9000000.0,-34000000.0,-25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6487000.0,-17079000.0,-13187000.0,0.0,0.0,0.0,0.0,0.0,-5000000.0,-18500000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19848000.0,12765000.0,27843000.0,0.0,50000.0,6115000.0,15957000.0,1015000.0,31665000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-2000000.0,17000000.0,86000000.0,125954000.0,56247000.0,15323000.0,34045000.0,-68000.0,482000.0,13892000.0,13529000.0,1260000.0,-351000.0,-2606000.0,-562000.0,-40908000.0,-31782000.0,-12763000.0,-3895000.0,-12301000.0,-27636000.0,-21200000.0,-50400000.0,2100000.0,-138000000.0,400000.0,-200000.0
,netCashUsedForInvestingActivites,-179000000.0,-202000000.0,-166000000.0,-146083000.0,-262264000.0,-843358000.0,-384058000.0,-399427000.0,-305656000.0,-535068000.0,-169159000.0,-262563000.0,-202635000.0,-196957000.0,-139746000.0,-162985000.0,-142392000.0,-105281000.0,-105758000.0,-115677000.0,-94183000.0,-149400000.0,-176300000.0,-103100000.0,-191100000.0,-106600000.0,-118000000.0
