date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-35655000.0,-10425000.0,36633000.0,27199000.0,26155000.0,80052000.0,61051000.0,51537000.0,11030000.0,3092000.0,-7549000.0,-21200000.0,-27000000.0,-25100000.0,-19300000.0,-4100000.0,-1000000.0,1063933.0,-5333356.0,-3405789.0,-4192703.0,-8591870.0,-4960335.0,-3189452.0
,depreciationAndAmortization,3182000.0,4219000.0,1301000.0,1395000.0,1305000.0,1006000.0,821000.0,439000.0,307000.0,267000.0,314000.0,600000.0,700000.0,100000.0,0.0,0.0,0.0,103545.0,468159.0,557802.0,523715.0,321280.0,343305.0,198959.0
,deferredIncomeTax,-2192000.0,-349000.0,-6083000.0,8838000.0,12900000.0,53018000.0,12403000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,11706000.0,11590000.0,13255000.0,14717000.0,14892000.0,10900000.0,8137000.0,6459000.0,7437000.0,7141000.0,8755000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,23843000.0,-11456000.0,-41508000.0,-36682000.0,-57786000.0,31842000.0,64929000.0,55165000.0,23222000.0,6893000.0,700000.0,600000.0,-11000000.0,-34100000.0,44800000.0,1300000.0,7402191.0,547856.0,-3401127.0,-2612050.0,-768089.0,2420236.0,1743172.0,-719368.0
,accountsReceivables,-193000.0,-19000.0,3804000.0,-3532000.0,9778000.0,-9321000.0,-369000.0,-5529000.0,-3723000.0,-800000.0,-1941000.0,-1400000.0,500000.0,-1500000.0,-500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1328000.0,677000.0,-4251000.0,2354000.0,-8034000.0,2950000.0,-381000.0,874000.0,915000.0,110000.0,627000.0,-400000.0,0.0,0.0,-4500000.0,-500000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,67862000.0,44019000.0,55475000.0,96983000.0,133665000.0,191451000.0,159609000.0,94680000.0,39515000.0,16293000.0,9400000.0,8700000.0,8100000.0,19100000.0,53200000.0,8400000.0,7100000.0,-302191.0,-850047.0,2551080.0,5163130.0,5931219.0,3510983.0,1767811.0
,otherNonCashItems,0.0,-25151000.0,-35035000.0,-7120000.0,-278000.0,2106000.0,1500000.0,822000.0,54000.0,3073000.0,-101000.0,10000000.0,9800000.0,11400000.0,6000000.0,1100000.0,200000.0,-230425.0,831063.0,-3767975.0,-3793519.0,95128.0,0.0,0.0
,netCashProvidedByOperatingActivites,29395000.0,46832000.0,37468000.0,48508000.0,54911000.0,155111000.0,82630000.0,70124000.0,11234000.0,13692000.0,2128000.0,-15000000.0,-15600000.0,-9700000.0,-10000000.0,-2600000.0,-800000.0,-1051448.0,-3728415.0,-8336292.0,-7141246.0,-8101534.0,-4743284.0,-3709861.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-472000.0,-47000.0,-71000.0,-295000.0,-1070000.0,-2616000.0,-4894000.0,-6211000.0,-190000.0,-108000.0,-93000.0,-300000.0,-700000.0,-800000.0,-200000.0,0.0,0.0,-40543.0,-561001.0,-393850.0,-1568403.0,-353713.0,-178372.0,-513619.0
,acquisitionsNet,12000000.0,0.0,-239000000.0,0.0,-12000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-582000.0,-8112000.0,0.0,-111135000.0,-99121000.0,-14467000.0,-3225000.0,-3597000.0,-10004000.0,-8114000.0,-6935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753076.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,3244000.0,65605000.0,95289000.0,22744000.0,4764000.0,939000.0,2781000.0,7836000.0,7542000.0,7656000.0,0.0,0.0,0.0,0.0,0.0,0.0,151980.0,0.0,0.0,5841196.0,223556.0,0.0,0.0
,otherInvestingActivites,0.0,-2090000.0,-8000000.0,-18748000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70871.0,2575434.0,6585819.0,233081.0,2048851.0,910067.0,1555229.0
,netCashUsedForInvestingActivites,28382000.0,-7005000.0,-181779000.0,-37021000.0,-89265000.0,-12319000.0,-5831000.0,-7027000.0,-2358000.0,-680000.0,628000.0,8200000.0,13700000.0,-32900000.0,12100000.0,-12200000.0,0.0,182308.0,2014433.0,6191969.0,3752798.0,1922346.0,731695.0,1041610.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-179000000.0,-21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4329000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111616.0,5290390.0,5398153.0,6000760.0,389061.0
