Date,2018-09-30,2017-09-30,2016-09-30,2015-09-30
Cash and cash equivalents,7682589.0,11808312.0,3360131.0,3805931.0
Short-term investments,1265181.0,214999.0,89941.0,15707.0
Cash and short-term investments,8947770.0,12023311.0,3450072.0,3821638.0
Receivables,37607216.0,32406672.0,28721147.0,19421891.0
Inventories,17792187.0,10048568.0,6444088.0,5956543.0
Total current assets,64347173.0,54478551.0,38862534.0,29352729.0
Property, Plant & Equipment Net,6280412.0,5645724.0,5907985.0,6517566.0
Goodwill and Intangible Assets,938221.0,463171.0,468148.0,504119.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,299596.0,272557.0,247227.0,152657.0
Total non-current assets,12051390.0,6694518.0,6688422.0,7348901.0
Total assets,76398563.0,61173069.0,45550956.0,36701630.0
Payables,5364896.0,8628992.0,2803963.0,598928.0
Short-term debt,19270530.0,21335938.0,25690880.0,27384457.0
Total current liabilities,39130971.0,39806123.0,35972034.0,32036574.0
Long-term debt,0.0,0.0,0.0,0.0
Total debt,19270530.0,21335938.0,25690880.0,27384457.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,4263289.0,3074635.0,2066934.0,1036650.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0
Total liabilities,39130971.0,39806123.0,35972034.0,32036574.0
Other comprehensive income,-127456.0,681788.0,411239.0,811698.0
Retained earnings (deficit),17138593.0,10978891.0,5697984.0,1028441.0
Total shareholders equity,37041845.0,21216918.0,9489994.0,4640916.0
Investments,1265181.0,214999.0,89941.0,15707.0
Net Debt,10737112.0,,,
Other Assets,0.0,,,
Other Liabilities,14495545.0,9841193.0,7477191.0,4053189.0
