date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,15403000000.0,13839000000.0,11986000000.0,10558000000.0,7017000000.0,5813000000.0,5619000000.0,5625000000.0,5526000000.0,5142000000.0,4634000000.0,3822000000.0,2977000000.0,4654000000.0,4159000000.0,3300000000.0,2587000000.0,1825000000.0,1352000000.0,913000000.0,736000000.0,568000000.0,-166000000.0,460000000.0,355637000.0,285964000.0
,depreciationAndAmortization,2891000000.0,2720000000.0,2428000000.0,2245000000.0,2055000000.0,1693000000.0,1478000000.0,1375000000.0,1309000000.0,1124000000.0,1064000000.0,991000000.0,981000000.0,796000000.0,670000000.0,453000000.0,374000000.0,299000000.0,255000000.0,265000000.0,247000000.0,233000000.0,185000000.0,146000000.0,133166000.0,94458000.0
,deferredIncomeTax,-8000000.0,230000000.0,42000000.0,-965000000.0,81000000.0,-73000000.0,-117000000.0,1000000.0,308000000.0,59000000.0,45000000.0,-16000000.0,-166000000.0,-127000000.0,-267000000.0,167000000.0,125000000.0,91000000.0,154000000.0,40000000.0,73000000.0,35000000.0,-184000000.0,91000000.0,0.0,0.0
,stockBasedCompensation,679000000.0,697000000.0,638000000.0,597000000.0,485000000.0,406000000.0,364000000.0,331000000.0,421000000.0,401000000.0,326000000.0,334000000.0,305000000.0,0.0,404000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2895000000.0,-4631000000.0,-1138000000.0,1994000000.0,-4114000000.0,-4192000000.0,434000000.0,-1437000000.0,-2492000000.0,1735000000.0,-1344000000.0,808000000.0,-1823000000.0,-495000000.0,3551000000.0,-2916000000.0,-440000000.0,557000000.0,-660000000.0,-380000000.0,-841000000.0,-262000000.0,-685000000.0,-473882000.0,-336243000.0,-163120000.0
,accountsReceivables,-688000000.0,162000000.0,-1351000000.0,-1062000000.0,-1357000000.0,-591000000.0,-911000000.0,-317000000.0,-130000000.0,-267000000.0,-16000000.0,100000000.0,-219000000.0,-580000000.0,-411000000.0,-83000000.0,-30000000.0,-46000000.0,83000000.0,7000000.0,26000000.0,84000000.0,41000000.0,-84000000.0,-137431000.0,-25079000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,5500000000.0,1954000000.0,2357000000.0,2214000000.0,3343000000.0,3228000000.0,2126000000.0,968000000.0,300000000.0,0.0,0.0,0.0,-41000000.0,606000000.0,597000000.0,193000000.0,322000000.0,276000000.0,579000000.0,619000000.0,439000000.0,269000000.0,744000000.0,70000000.0,173807000.0,-56481000.0
,otherWorkingCapital,-1917000000.0,-19148000000.0,-14517000000.0,-13379000000.0,-15373000000.0,-11259000000.0,-7067000000.0,-7501000000.0,-6064000000.0,-3572000000.0,-5307000000.0,-3963000000.0,-4771000000.0,-2948000000.0,-2453000000.0,-6004000000.0,-3088000000.0,-2648000000.0,-3205000000.0,-2545000000.0,-2165000000.0,-1324000000.0,-1062000000.0,-377000000.0,96882000.0,433125000.0
,otherNonCashItems,-52000000.0,-106000000.0,-71000000.0,217000000.0,-82000000.0,-235000000.0,-298000000.0,-83000000.0,-231000000.0,-67000000.0,203000000.0,23000000.0,-122000000.0,505000000.0,0.0,0.0,0.0,0.0,-506000000.0,-287000000.0,-465000000.0,-353000000.0,-98000000.0,14000000.0,704000.0,75836000.0
,netCashProvidedByOperatingActivites,22174000000.0,18463000000.0,15713000000.0,13596000000.0,9795000000.0,9740000000.0,8051000000.0,6991000000.0,7155000000.0,6968000000.0,6273000000.0,5625000000.0,4238000000.0,5877000000.0,6526000000.0,4326000000.0,4135000000.0,3003000000.0,2423000000.0,1844000000.0,1521000000.0,1189000000.0,1071000000.0,683000000.0,562259000.0,434275000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2051000000.0,-2071000000.0,-2063000000.0,-2023000000.0,-1705000000.0,-1556000000.0,-1525000000.0,-1307000000.0,-1070000000.0,-1067000000.0,-878000000.0,-739000000.0,-791000000.0,-871000000.0,-728000000.0,-509000000.0,-350000000.0,-352000000.0,-419000000.0,-425000000.0,-245000000.0,-196000000.0,-210000000.0,-187000000.0,-165223000.0,-109230000.0
,acquisitionsNet,0.0,-8343000000.0,-5997000000.0,-2131000000.0,-1760000000.0,-16164000000.0,-1923000000.0,-362000000.0,-6280000000.0,-1459000000.0,-2304000000.0,-486000000.0,-3813000000.0,-262000000.0,-670000000.0,-2925000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-16577000000.0,-18131000000.0,-14010000000.0,-14588000000.0,-17547000000.0,-9939000000.0,-9928000000.0,-12176000000.0,-9903000000.0,-9895000000.0,-7855000000.0,-6466000000.0,-9251000000.0,-6379000000.0,-4851000000.0,-5876000000.0,-3190000000.0,-2583000000.0,-3246000000.0,-2088000000.0,-3022000000.0,-2208000000.0,-2799000000.0,-6706000000.0,-5008848000.0,-3289186000.0
,salesMaturitiesOfInvestments,13741000000.0,15627000000.0,9911000000.0,10269000000.0,11620000000.0,9408000000.0,10727000000.0,10565000000.0,8604000000.0,8200000000.0,5698000000.0,6715000000.0,8598000000.0,3365000000.0,4096000000.0,5821000000.0,4121000000.0,2780000000.0,2576000000.0,1467000000.0,2363000000.0,2064000000.0,3435000000.0,5889000000.0,4754929000.0,3321097000.0
,otherInvestingActivites,-506000000.0,219000000.0,-226000000.0,-126000000.0,37000000.0,-144000000.0,37000000.0,45000000.0,0.0,0.0,0.0,0.0,-653000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1504000.0,961000.0
