date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-67029000.0,107517000.0,88002000.0,95274000.0,65486000.0,65975000.0,38449000.0,50813000.0,60306000.0,82682000.0,38577000.0,36781000.0,64268000.0,37966000.0,10794000.0,24843000.0,17337000.0,11620000.0,7264000.0,9491000.0,7440000.0,5500000.0,6800000.0,7100000.0,4400000.0,2500000.0,1100000.0,100000.0,700000.0,400000.0,1000000.0,1700000.0
,depreciationAndAmortization,220882000.0,92365000.0,80770000.0,63637000.0,56663000.0,53083000.0,53098000.0,40929000.0,34693000.0,25669000.0,21039000.0,15354000.0,15524000.0,16745000.0,15784000.0,12705000.0,9633000.0,9327000.0,8792000.0,8704000.0,5000000.0,4600000.0,3900000.0,3200000.0,2500000.0,2000000.0,1800000.0,1800000.0,1600000.0,1500000.0,1300000.0,900000.0
,deferredIncomeTax,-42454000.0,-10462000.0,945000.0,-1184000.0,977000.0,-3781000.0,-4435000.0,1962000.0,577000.0,-2068000.0,-951000.0,-3851000.0,-292000.0,-3993000.0,-2944000.0,20000.0,-169000.0,1361000.0,794000.0,1518000.0,662000.0,300000.0,-600000.0,-100000.0,-100000.0,100000.0,100000.0,-200000.0,0.0,-100000.0,100000.0,100000.0
,stockBasedCompensation,68480000.0,21946000.0,15312000.0,11756000.0,9675000.0,11340000.0,12347000.0,11959000.0,11584000.0,9972000.0,8790000.0,4951000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,76117000.0,-45382000.0,-21271000.0,-48848000.0,-9162000.0,-110000.0,-4412000.0,365000.0,-15645000.0,-41376000.0,2169000.0,-7752000.0,-8469000.0,-6567000.0,-1374000.0,-18785000.0,3434000.0,2801000.0,-210000.0,-5891000.0,-198000.0,-800000.0,-3900000.0,-1500000.0,-3000000.0,900000.0,200000.0,-900000.0,-200000.0,-500000.0,-1800000.0,100000.0
,accountsReceivables,-91981000.0,-50764000.0,-21044000.0,-26247000.0,-20770000.0,-10742000.0,-28486000.0,6097000.0,-8931000.0,-7197000.0,-23447000.0,9355000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,112572000.0,-36392000.0,-38732000.0,-24992000.0,-8650000.0,-4207000.0,12794000.0,5273000.0,-8988000.0,-40403000.0,2657000.0,-7106000.0,-7170000.0,-5814000.0,-3082000.0,-11329000.0,-3373000.0,-3549000.0,1700000.0,-1745000.0,-4478000.0,1100000.0,-2500000.0,-2600000.0,-1300000.0,-400000.0,-300000.0,-100000.0,-200000.0,0.0,-1000000.0,-500000.0
,accountsPayables,45026000.0,15999000.0,17436000.0,6704000.0,5715000.0,61000.0,19813000.0,-9549000.0,2898000.0,2647000.0,6488000.0,-7269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,10500000.0,25775000.0,21069000.0,-4313000.0,14543000.0,14778000.0,-2251000.0,-5807000.0,-3448000.0,6299000.0,0.0,-33000.0,2318000.0,1149000.0,2034000.0,0.0,3885000.0,4849000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,22150000.0,12550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152000.0,742000.0,18934000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,-200000.0,0.0,100000.0,0.0,0.0,100000.0,200000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,297292000.0,178475000.0,161014000.0,118616000.0,122970000.0,129366000.0,95462000.0,107607000.0,88069000.0,73494000.0,72420000.0,48913000.0,45916000.0,44351000.0,40788000.0,18612000.0,30399000.0,25641000.0,16138000.0,15504000.0,12536000.0,9800000.0,6900000.0,8400000.0,3700000.0,5400000.0,2400000.0,800000.0,2400000.0,1500000.0,600000.0,2700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-136877000.0,-137122000.0,-153438000.0,-138517000.0,-58170000.0,-52313000.0,-29220000.0,-25273000.0,-42840000.0,-40859000.0,-13837000.0,-15557000.0,-17855000.0,-20184000.0,-15624000.0,-17656000.0,-12729000.0,-7017000.0,-8663000.0,-44425000.0,-8877000.0,-5400000.0,-20500000.0,-7400000.0,-6100000.0,-2400000.0,-1800000.0,-1900000.0,-1100000.0,-800000.0,-2500000.0,-3700000.0
,acquisitionsNet,-1037000000.0,-83000000.0,-81000000.0,-40000000.0,-77000000.0,0.0,-178000000.0,-126000000.0,-46000000.0,-14000000.0,-50000000.0,-2000000.0,-4000000.0,-9000000.0,-3000000.0,-30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1180000.0,-4814000.0,-4853000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,30236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0
