Date,2016-12,2015-12,2014-12,2013-12,2012-12
Depreciation & Amortization,68000000.0,105000000.0,98000000.0,64000000.0,46000000.0
Stock-based compensation,,,,,
Operating Cash Flow,-4000000.0,31000000.0,163000000.0,108000000.0,46000000.0
Capital Expenditure,-56000000.0,-249000000.0,-391000000.0,-323000000.0,-230000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,9000000,-4000000
Investing Cash flow,5000000.0,-155000000.0,-560000000.0,-314000000.0,-101000000.0
Issuance (repayment) of debt,-66000000.0,-110000000.0,-266000000.0,-10000000.0,-352000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,2000000.0,108000000.0,414000000.0,163000000.0,87000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,3000000.0,-17000000.0,16000000.0,-42000000.0,32000000.0
Free Cash Flow,-60000000.0,-218000000.0,-229000000.0,-214000000.0,-185000000.0
Net Cash/Marketcap,,,,,
