Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,6736000.0,6490000.0,7897000.0,489000.0,172000.0
Short-term investments,24298000.0,19994000.0,12971000.0,0.0,0.0
Cash and short-term investments,31034000.0,26484000.0,20868000.0,489000.0,172000.0
Receivables,5948000.0,4005000.0,4364000.0,2118000.0,387000.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,39543000.0,32927000.0,26138000.0,2930000.0,710000.0
Property Plant & Equipment Net,6446000.0,7272000.0,6234000.0,2469000.0,978000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,6386000.0,14883000.0,25597000.0,0.0,0.0
Tax assets,718000.0,126000.0,54000.0,0.0,0.0
Total non-current assets,14361000.0,24257000.0,31902000.0,2902000.0,1410000.0
Total assets,53904000.0,57184000.0,58040000.0,5832000.0,2120000.0
Payables,1313000.0,2089000.0,2756000.0,314000.0,165000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,2738000.0,3000000.0,3316000.0,686000.0,436000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,124000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,732000.0,132000.0,245000.0,0.0,0.0
Total liabilities,2752000.0,3006000.0,3561000.0,686000.0,436000.0
Other comprehensive income,114203000,111884000,109734000,0.0,0.0
Retained earnings (deficit),-63018000.0,-57664000.0,-55154000.0,-53160000.0,-10316000.0
Total shareholders equity,51152000.0,54178000.0,54479000.0,5146000.0,1684000.0
Investments,30684000.0,34877000.0,38568000.0,0.0,0.0
Net Debt,-6736000.0,-6490000.0,-7897000.0,-489000.0,-172000.0
Other Assets,0.0,0.0,0.0,323000.0,151000.0
Other Liabilities,0.0,0.0,0.0,372000.0,271000.0
