date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8071000000.0,11732000000.0,12611000000.0,7703000000.0,6712000000.0,17783000000.0,10210000000.0,9175000000.0,9505000000.0,9113000000.0,9794000000.0,8400000000.0,8195000000.0,11946000000.0,7175000000.0,6130000000.0,5767000000.0,5016000000.0,5224000000.0,4239000000.0,4395000000.0,4188000000.0,4406976744.18605
,depreciationAndAmortization,6464000000.0,5826000000.0,6892000000.0,6076000000.0,6043000000.0,5471000000.0,4682000000.0,4925000000.0,4920000000.0,5788000000.0,3419000000.0,2301000000.0,2670000000.0,2858000000.0,1987000000.0,1717000000.0,1339000000.0,1283000000.0,690000000.0,585000000.0,918000000.0,949000000.0,1008720930.23256
,deferredIncomeTax,1807000000.0,1793000000.0,1221000000.0,1296000000.0,1119000000.0,1106000000.0,1545000000.0,1443000000.0,1625000000.0,1528000000.0,1733000000.0,1468000000.0,1336000000.0,947000000.0,1282000000.0,1124000000.0,1126000000.0,1008000000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,738000000.0,758000000.0,759000000.0,683000000.0,671000000.0,773000000.0,744000000.0,730000000.0,746000000.0,790000000.0,655000000.0,642000000.0,567000000.0,570000000.0,522000000.0,415000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-291000000.0,2070000000.0,1375000000.0,404000000.0,879000000.0,779000000.0,865000000.0,68000000.0,399000000.0,1182000000.0,2564000000.0,1719000000.0,-68000000.0,830000000.0,166000000.0,872000000.0,132000000.0,457000000.0,-126000000.0,124000000.0,-202000000.0,-618000000.0,-670058139.534884
,accountsReceivables,137000000.0,-980000000.0,-569000000.0,-204000000.0,-229000000.0,-513000000.0,-367000000.0,-411000000.0,369000000.0,-732000000.0,26000000.0,-934000000.0,-431000000.0,-204000000.0,0.0,-490000000.0,-130000000.0,297000000.0,0.0,0.0,0.0,0.0,0.0
,inventory,-543000000.0,-382000000.0,-533000000.0,-247000000.0,-235000000.0,-482000000.0,-506000000.0,-653000000.0,-701000000.0,45000000.0,965000000.0,237000000.0,-571000000.0,-747000000.0,-117000000.0,175000000.0,23000000.0,-78000000.0,-490000000.0,-46000000.0,140000000.0,295000000.0,0.0
,accountsPayables,-324000000.0,553000000.0,309000000.0,58000000.0,-587000000.0,378000000.0,142000000.0,502000000.0,515000000.0,195000000.0,490000000.0,512000000.0,246000000.0,323000000.0,0.0,-54000000.0,239000000.0,238000000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1000000.0,1872000000.0,874000000.0,160000000.0,956000000.0,1642000000.0,1490000000.0,807000000.0,539000000.0,1295000000.0,802000000.0,1031000000.0,562000000.0,1365000000.0,166000000.0,1241000000.0,0.0,0.0,0.0,0.0,-178000000.0,-307000000.0,0.0
,otherNonCashItems,-1065000000.0,-124000000.0,294000000.0,-411000000.0,-537000000.0,593000000.0,139000000.0,-207000000.0,-161000000.0,-765000000.0,-798000000.0,-382000000.0,-824000000.0,-649000000.0,-392000000.0,-504000000.0,-358000000.0,-521000000.0,-224000000.0,-254000000.0,0.0,0.0,3938953488.37209
,netCashProvidedByOperatingActivites,13650000000.0,13625000000.0,14272000000.0,12621000000.0,11475000000.0,11897000000.0,13897000000.0,13174000000.0,14194000000.0,14309000000.0,14067000000.0,12191000000.0,9769000000.0,9210000000.0,8710000000.0,8080000000.0,6725000000.0,6652000000.0,5830000000.0,4431000000.0,4641000000.0,4335000000.0,4277616279.06977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1275000000.0,-1379000000.0,-1773000000.0,-1696000000.0,-1862000000.0,-2367000000.0,-2624000000.0,-3064000000.0,-2698000000.0,-2167000000.0,-1678000000.0,-1887000000.0,-2106000000.0,-2549000000.0,-1802000000.0,-1188000000.0,-1269000000.0,-1329000000.0,-1186000000.0,-815000000.0,-825000000.0,-862000000.0,-1129360465.11628
,acquisitionsNet,0.0,-4925000000.0,-14684000000.0,-784000000.0,-765000000.0,-16507000000.0,558000000.0,-175000000.0,-1993000000.0,-569000000.0,-26666000000.0,-925000000.0,-1079000000.0,-52000000.0,-4522000000.0,-8536000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2130000000.0,-530000000.0,-2702000000.0,-1048000000.0,-777000000.0,-859000000.0,-408000000.0,-443000000.0,-1819000000.0,-1937000000.0,-40708000000.0,-14341000000.0,-4156000000.0,-7543000000.0,-5561000000.0,-4823000000.0,-8062000000.0,-10923000000.0,-7383000000.0,0.0,0.0,-1104000000.0,0.0
,salesMaturitiesOfInvestments,1215000000.0,3713000000.0,639000000.0,879000000.0,869000000.0,428000000.0,2517000000.0,564000000.0,737000000.0,3409000000.0,53269000000.0,3762000000.0,7404000000.0,4253000000.0,5631000000.0,7432000000.0,7011000000.0,10511000000.0,7860000000.0,1553000000.0,2951000000.0,0.0,0.0
,otherInvestingActivites,-59000000.0,-57000000.0,-30000000.0,-41000000.0,-149000000.0,-81000000.0,-58000000.0,-22000000.0,-39000000.0,0.0,69000000.0,-81000000.0,-34000000.0,3891000000.0,-307000000.0,-185000000.0,-258000000.0,632000000.0,-2072000000.0,-3623000000.0,-1633000000.0,-218000000.0,8720930.232558
,netCashUsedForInvestingActivites,-13182000000.0,-1067000000.0,-5591000000.0,-2979000000.0,-2693000000.0,-19666000000.0,-8000000.0,-3352000000.0,-5675000000.0,-792000000.0,-15756000000.0,-14219000000.0,-10367000000.0,-6244000000.0,-6575000000.0,-7482000000.0,-3219000000.0,-1298000000.0,-3182000000.0,-2821000000.0,-131000000.0,-1897000000.0,-949854651.162791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
