date,,2020-12-27_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-25_FY,2010-12-26_FY,2009-12-27_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,100837000.0,139966000.0,125684000.0,4296000.0,29068000.0,63246000.0,33300000.0,65100000.0,133200000.0,-39700000.0,107700000.0,19900000.0,-57800000.0,208700000.0,-543443000.0,259800000.0,292600000.0,302700000.0,299700000.0,444700000.0,397536000.0,310200000.0,278900000.0,262300000.0,84500000.0,135900000.0,213300000.0,6100000.0,-44700000.0,47000000.0,64800000.0,266600000.0
,depreciationAndAmortization,62136000.0,60661000.0,59011000.0,61871000.0,61723000.0,61597000.0,79455000.0,85500000.0,103800000.0,116500000.0,121000000.0,133800000.0,144500000.0,190200000.0,169853000.0,143800000.0,146800000.0,147700000.0,153400000.0,194100000.0,227973000.0,197500000.0,188200000.0,173900000.0,147900000.0,139000000.0,154300000.0,128800000.0,107900000.0,72400000.0,126200000.0,99000000.0
,deferredIncomeTax,-16043000.0,4242000.0,4047000.0,105174000.0,-13128000.0,-10102000.0,-10621000.0,44100000.0,-1400000.0,60700000.0,61300000.0,44400000.0,-19000000.0,-11600000.0,-139904000.0,-29600000.0,3500000.0,53500000.0,88100000.0,-52900000.0,-28166000.0,-44600000.0,-12600000.0,-26600000.0,-6000000.0,-9200000.0,-33700000.0,-37900000.0,-18200000.0,8700000.0,-2800000.0,134600000.0
,stockBasedCompensation,14437000.0,12948000.0,12959000.0,14809000.0,12430000.0,10588000.0,8880000.0,8741000.0,4693000.0,8497000.0,7029000.0,11250000.0,15431000.0,13356000.0,0.0,34563000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,69951000.0,58494000.0,-113400000.0,-63399000.0,98494000.0,-248640000.0,-276213000.0,-62000000.0,650500000.0,-117500000.0,352700000.0,409100000.0,-97700000.0,-198349000.0,295849000.0,97000000.0,-348700000.0,15500000.0,128400000.0,-34396000.0,-208004000.0,47200000.0,-24100000.0,93200000.0,-120600000.0,-14900000.0,-11200000.0,25900000.0,16000000.0,29200000.0,23000000.0,78700000.0
,accountsReceivables,29710000.0,9062000.0,-37579000.0,12470000.0,9825000.0,5510000.0,-10166000.0,3148000.0,5130000.0,12603000.0,39830000.0,52817000.0,42093000.0,-62782000.0,0.0,-41265000.0,-3036000.0,-4252000.0,-40026000.0,23400000.0,0.0,-34900000.0,-600000.0,-22100000.0,-31200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,-811000.0,176000.0,6806000.0,-4955000.0,171000.0,8324000.0,2065000.0,9801000.0,-7592000.0,554000.0,-3702000.0,-5652000.0,8339000.0,3500000.0,-4576000.0,3600000.0,-200000.0,1700000.0,9000000.0,-12700000.0,-4000000.0,10800000.0,-10700000.0,5500000.0,4500000.0,-1600000.0
,accountsPayables,24516000.0,-13197000.0,20490000.0,0.0,-32276000.0,-22833000.0,-33911000.0,-83072000.0,19478000.0,-93581000.0,-20137000.0,-65919000.0,10779000.0,-18417000.0,0.0,-1021000.0,114000.0,-13722000.0,-8224000.0,7300000.0,0.0,-27900000.0,25800000.0,-17700000.0,-15200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,349087000.0,279136000.0,220642000.0,334042000.0,397441000.0,298947000.0,547587000.0,823800000.0,885800000.0,235300000.0,352800000.0,100000.0,-409000000.0,-311300000.0,-112951000.0,-408800000.0,-505800000.0,-157100000.0,-172600000.0,-301000000.0,-266604000.0,-58600000.0,-105800000.0,-81700000.0,-174900000.0,-54300000.0,-39400000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-11856000.0,-43543000.0,-1352000.0,45799000.0,58472000.0,22193000.0,-82700000.0,-183300000.0,18100000.0,-152300000.0,55200000.0,194600000.0,-199300000.0,874209000.0,38800000.0,-10800000.0,-40100000.0,-106400000.0,-355400000.0,0.0,46700000.0,44700000.0,48400000.0,128800000.0,-43900000.0,-100000.0,100000.0,100000.0,100000.0,100000.0,200000.0
,netCashProvidedByOperatingActivites,297933000.0,189898000.0,157117000.0,86712000.0,103876000.0,179075000.0,80491000.0,34900000.0,79300000.0,73900000.0,153300000.0,256800000.0,247600000.0,110700000.0,422328000.0,294300000.0,444000000.0,466300000.0,273300000.0,471200000.0,589857000.0,601100000.0,451500000.0,452200000.0,426000000.0,295200000.0,181600000.0,175300000.0,156000000.0,201100000.0,214100000.0,251600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-34000000.0,-45441000.0,-77487000.0,0.0,-30095000.0,-26965000.0,-35350000.0,-16942000.0,-34888000.0,-44887000.0,-33565000.0,-51100000.0,-167000000.0,-380300000.0,-332305000.0,-221300000.0,-153800000.0,-120900000.0,-160689000.0,-90400000.0,-381578000.0,-73400000.0,-81600000.0,-152700000.0,-211300000.0,-200700000.0,-186200000.0,-75700000.0,-47100000.0,-39700000.0,-100800000.0,-229600000.0
,acquisitionsNet,-33000000.0,0.0,0.0,0.0,-40000000.0,0.0,0.0,0.0,456000000.0,0.0,0.0,45000000.0,-5737000.0,-34091000.0,-36000000.0,-438000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-632364000.0,-572337000.0,-470493000.0,-466522000.0,-15684000.0,-69293000.0,-777945000.0,-860848000.0,-439700000.0,-279721000.0,-29974000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39400000.0,-88400000.0,-65100000.0,0.0,0.0,0.0,0.0
