date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,658025000000.0,0.0,0.0,546000000.0,795000000.0,484000000.0,-942000000.0,1291000000.0,0.0,0.0,1193000000.0,610000000.0,407000000.0,1171000000.0,0.0,1747316000000.0,0.0,1581060000000.0,1946856464344.0,1113009201150.0,986093550000.0,1447791617872.0,190364277060.0
,depreciationAndAmortization,3667635000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3112991000000.0,3287343000000.0,3663037000000.0,0.0,0.0,0.0,0.0,0.0,3796915775696.0,4011826553850.0,3472819207500.0,2828652318491.0,3092596940534.0
,deferredIncomeTax,271664000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17922000000.0,-20522000000.0,-115337000000.0,0.0,0.0,0.0,0.0,0.0,148991696272.0,202365309300.0,517067002500.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-413892000000.0,2992000000.0,-9669911000000.0,9668593000000.0,248000000.0,1157000000.0,39000000.0,-488000000.0,-1810000000.0,-641955000000.0,-387625000000.0,-802172000000.0,4381595000000.0,410494000000.0,13867000000.0,3911900000000.0,-2695168000000.0,0.0,-999051007964.0,-1613666232600.0,-1651074585000.0,-43941109804.0,-602820210690.0
,accountsReceivables,66462000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101763000000.0,-620909000000.0,-161287000000.0,0.0,0.0,0.0,0.0,527954000000.0,0.0,0.0,0.0,0.0,0.0
,inventory,162328000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6900000000.0,-287367000000.0,-142512000000.0,0.0,0.0,0.0,0.0,0.0,-275800711650.0,-178712221200.0,-104930467500.0,-44733861785.0,131727379373.0
,accountsPayables,-135760000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36639000000.0,1612516000000.0,-423619000000.0,0.0,0.0,0.0,0.0,154646000000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-7064000000.0,1866000000.0,-1126000000.0,9668785000000.0,192000000.0,-56000000.0,-1213000000.0,-1252000000.0,-764000000.0,1046000000.0,643001000000.0,1030626000000.0,1832798000000.0,-2548797000000.0,-2959291000000.0,-2973158000000.0,-6885058000000.0,-4189890000000.0,98339264498.0,0.0,51833122500.0,48810871973.0,0.0
,otherNonCashItems,-164736000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628120900.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,4739827000000.0,3745173000000.0,4010464000000.0,3877749000000.0,4770750000000.0,4229965000000.0,1916413000000.0,4111073000000.0,5721398000000.0,2150309000000.0,3021581000000.0,3338008000000.0,2888557000000.0,1138739000000.0,1943729000000.0,2218891000000.0,1853459000000.0,2173871000000.0,4826571765856.0,3630749023350.0,2651074582500.0,2917553790646.0,2642185660305.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3213390000000.0,-3269574000000.0,-2260879000000.0,-2442223000000.0,-2764346000000.0,-3115728000000.0,-2852869000000.0,-3088185000000.0,-4278232000000.0,-3208337000000.0,-3239396000000.0,-2774426000000.0,-3362469000000.0,-329474719799.61,-3555131719887.0,-2840411712776.0,-2870000000000.0,-3366250000000.0,-3232147092614.0,-4412614991100.0,-4582806562500.0,-3071687425809.0,-3619858984465.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-24330000000.0,0.0,0.0,6000000.0,-5779000000.0,208752000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1294414000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-312881000000.0,-361565836176.0,-352168200600.0,-111251580000.0,0.0,0.0
,salesMaturitiesOfInvestments,1408466000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304626334416.0,792378451350.0,525916560000.0,0.0,0.0
,otherInvestingActivites,97945000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-828469750608.0,-169513798050.0,-1465233877500.0,-391053227199.0,-486486485820.0
,netCashUsedForInvestingActivites,-3761470000000.0,-3887472000000.0,-2704130000000.0,-3483245000000.0,-3484958000000.0,-2401868000000.0,-3170958000000.0,-3782583000000.0,-3844381000000.0,-2647997000000.0,-3435990000000.0,-2870430000000.0,-3531362000000.0,-3451308996080.82,-2920518043113.0,-2496252624020.0,-3495000000000.0,-1552500000000.0,-4064650057930.0,-3917214201450.0,-5486725650000.0,-3344733858122.0,-4055934189508.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2075138000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1534873000000.0,-1431343000000.0,0.0,0.0,0.0,0.0,0.0,-1150639000000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558097393514.0,3055229138.0
