date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2085000000.0,1807000000.0,-3131000000.0,896000000.0,1682000000.0,798000000.0,176000000.0,-38000000.0,662000000.0,1680000000.0,-887000000.0,-2749000000.0,2949000000.0,2745000000.0,2274000000.0,2115000000.0,-91000000.0,1000000000.0,507000000.0,974000000.0,862000000.0,1015000000.0,1332000000.0,-99000000.0
,depreciationAndAmortization,451000000.0,467000000.0,399000000.0,398000000.0,373000000.0,276000000.0,189000000.0,467000000.0,668000000.0,596000000.0,470000000.0,361000000.0,794000000.0,606000000.0,561000000.0,274000000.0,219000000.0,104000000.0,72000000.0,63000000.0,58000000.0,103000000.0,85000000.0,81000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619000000.0,657000000.0,168000000.0,529000000.0,-327000000.0,202000000.0,-114000000.0,398000000.0,166000000.0,-67000000.0,340000000.0,-449000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1195000000.0,154000000.0,583000000.0,193000000.0,293000000.0,-527000000.0,-1527000000.0,-319000000.0,615000000.0,646000000.0,-343000000.0,-937000000.0,2897000000.0,2382000000.0,1021000000.0,1128000000.0,4694000000.0,1611000000.0,1406000000.0,-313000000.0,330000000.0,450000000.0,1008000000.0,758000000.0
,accountsReceivables,-81000000.0,-323000000.0,-935000000.0,241000000.0,329000000.0,-144000000.0,-970000000.0,-608000000.0,0.0,0.0,0.0,0.0,615000000.0,1037000000.0,-682000000.0,-395000000.0,-47000000.0,-282000000.0,-402000000.0,126000000.0,213000000.0,553000000.0,145000000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282000000.0,-287000000.0,-267000000.0,-11000000.0,576000000.0,1702000000.0,2737000000.0,1184000000.0,454000000.0,266000000.0,1021000000.0,968000000.0
,otherWorkingCapital,508000000.0,-16000000.0,-130000000.0,-401000000.0,363000000.0,328000000.0,-745000000.0,-386000000.0,0.0,0.0,0.0,-933000000.0,3273000000.0,4974000000.0,7411000000.0,5726000000.0,8054000000.0,1775000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-1469000000.0,-990000000.0,-975000000.0,-1212000000.0,-1216000000.0,-1161000000.0,-1048000000.0,-661000000.0,-3117000000.0,-2862000000.0,-2575000000.0,854000000.0,444000000.0,4857000000.0,12580000000.0,3169000000.0,-599000000.0,-268000000.0,432000000.0,1228000000.0,-525000000.0,-594000000.0,-720000000.0,703000000.0
,netCashProvidedByOperatingActivites,3489000000.0,2843000000.0,2186000000.0,2066000000.0,2756000000.0,1886000000.0,1237000000.0,2681000000.0,2274000000.0,3309000000.0,2974000000.0,4192000000.0,5991000000.0,5638000000.0,3732000000.0,2634000000.0,3896000000.0,2649000000.0,2303000000.0,2350000000.0,891000000.0,907000000.0,2045000000.0,994000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282000000.0,-275000000.0,-195000000.0,-211000000.0,-180000000.0,-89000000.0,-189000000.0,-209000000.0,-115000000.0,-120000000.0,-108000000.0,-109000000.0,-69000000.0
,acquisitionsNet,-1901000000.0,1115000000.0,-1423000000.0,-175000000.0,0.0,963000000.0,815000000.0,58000000.0,278000000.0,241000000.0,-7000000.0,-94000000.0,0.0,-112000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-21197000000.0,-28357000000.0,-32019000000.0,-22847000000.0,-29622000000.0,-25401000000.0,-38016000000.0,-45569000000.0,-38561000000.0,-51045000000.0,-54653000000.0,-35569000000.0,-44339000000.0,-44075000000.0,-34984000000.0,-27950000000.0,-28918000000.0,-22085000000.0,-16871000000.0,-15104000000.0,-13172000000.0,-32724000000.0,-47642000000.0,-33424000000.0
,salesMaturitiesOfInvestments,21611000000.0,25953000000.0,32604000000.0,24056000000.0,30517000000.0,26064000000.0,41180000000.0,44694000000.0,38910000000.0,49500000000.0,54487000000.0,27537000000.0,36220000000.0,44039000000.0,30327000000.0,25787000000.0,21051000000.0,15650000000.0,12610000000.0,13986000000.0,15623000000.0,33088000000.0,45504000000.0,32458000000.0
,otherInvestingActivites,13000000.0,-3000000.0,21000000.0,-131000000.0,1000000.0,-18000000.0,6000000.0,-81000000.0,-157000000.0,-555000000.0,-3778000000.0,-366000000.0,2218000000.0,-6412000000.0,0.0,0.0,0.0,0.0,-1105000000.0,-846000000.0,-52000000.0,-359000000.0,0.0,0.0
,netCashUsedForInvestingActivites,-2148000000.0,-1962000000.0,-1442000000.0,949000000.0,485000000.0,1696000000.0,3745000000.0,-2557000000.0,-1182000000.0,-434000000.0,-3123000000.0,-8827000000.0,-6176000000.0,-7410000000.0,-4860000000.0,-2401000000.0,-8387000000.0,-6624000000.0,-5536000000.0,-2079000000.0,2279000000.0,411000000.0,-2247000000.0,-1035000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
