date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,44965000.0,42142000.0,19596000.0,18603000.0,15822000.0,5629000.0,10188000.0,6506000.0,5078000.0,7851000.0,6812000.0,6391000.0,5904000.0,1934000.0,9608000.0,18898000.0,12897000.0,4055000.0,16490000.0
,depreciationAndAmortization,5812000.0,5457000.0,3588000.0,2981000.0,3155000.0,3135000.0,2767000.0,2748000.0,2820000.0,2310000.0,1767000.0,1806000.0,3160000.0,3516000.0,2534000.0,2185000.0,1950000.0,1915000.0,4119000.0
,deferredIncomeTax,665000.0,4538000.0,6700000.0,-1843000.0,-1578000.0,-3388000.0,83000.0,278000.0,96000.0,1245000.0,-15000.0,673000.0,-1950000.0,-1621000.0,-9000.0,343000.0,556000.0,-734000.0,-28000.0
,stockBasedCompensation,8233000.0,8798000.0,9195000.0,6825000.0,2908000.0,2550000.0,2062000.0,1640000.0,1576000.0,3282000.0,6476000.0,6683000.0,0.0,0.0,5089000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-178972000.0,-186275000.0,-1552210000.0,-413619000.0,-7293000.0,-2777000.0,106000.0,1318000.0,3363000.0,82000.0,-5168000.0,2911000.0,2211000.0,923000.0,-2202000.0,4280000.0,-3479000.0,1085000.0,-1285000.0
,accountsReceivables,1987000.0,-850000.0,-1875000.0,-1281000.0,-1339000.0,-860000.0,-611000.0,367000.0,0.0,0.0,0.0,0.0,0.0,0.0,1594000.0,-569000.0,-1381000.0,977000.0,648000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-4887000.0,3903000.0,558000.0,468000.0,205000.0,39000.0,71000.0,-41000.0,-46000.0,-223000.0,13000.0,-72000.0,0.0,0.0,53000.0,-57000.0,-376000.0,-375000.0,-718000.0
,otherWorkingCapital,-5647871000.0,-5468899000.0,-5282624000.0,-3730414000.0,-3316795000.0,-2565000.0,-2735000.0,-1966000.0,-748000.0,0.0,0.0,0.0,0.0,0.0,-439000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-4867000.0,-9957000.0,7636000.0,9749000.0,10990000.0,5973000.0,5866000.0,5332000.0,7123000.0,-708000.0,-350000.0,156000.0,6923000.0,7862000.0,0.0,530000.0,0.0,789000.0,-23324000.0
,netCashProvidedByOperatingActivites,19821000.0,39923000.0,45095000.0,38530000.0,39177000.0,20502000.0,26007000.0,29923000.0,37357000.0,28789000.0,12729000.0,20156000.0,16248000.0,12556000.0,15137000.0,19634000.0,14603000.0,9370000.0,21158000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5960000.0,-6137000.0,-8268000.0,-4035000.0,-2193000.0,-2052000.0,-3560000.0,-1042000.0,-1797000.0,-1661000.0,-1258000.0,-2328000.0,0.0,0.0,-2862000.0,-9877000.0,-8079000.0,-3714000.0,-4426000.0
,acquisitionsNet,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-487898000.0,-181147000.0,-311767000.0,-172817000.0,-12233000.0,-62543000.0,-167965000.0,-502566000.0,-548844000.0,-608074000.0,-489643000.0,-77364000.0,-233459000.0,-105144000.0,-115968000.0,-218196000.0,-688463000.0,-416792000.0,-628018000.0
,salesMaturitiesOfInvestments,383526000.0,209667000.0,427107000.0,151632000.0,85555000.0,46665000.0,57293000.0,33952000.0,462652000.0,542211000.0,229806000.0,140781000.0,202669000.0,277643000.0,451909000.0,204961000.0,448817000.0,553774000.0,403747000.0
,otherInvestingActivites,4060000.0,-5186000.0,1311000.0,-9346000.0,-3144000.0,-80545000.0,-9287000.0,-37027000.0,-582000.0,502000.0,-2927000.0,-67572000.0,-161547000.0,-157739000.0,-4253000.0,31000.0,2395000.0,1954000.0,-1021000.0
,netCashUsedForInvestingActivites,84970000.0,-148867000.0,-1447000.0,-453548000.0,-421632000.0,-525392000.0,-245690000.0,-284362000.0,-117874000.0,-13258000.0,-232646000.0,42865000.0,-193774000.0,13401000.0,183084000.0,-75509000.0,-243432000.0,122521000.0,-218584000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3508146000.0,-3141114000.0,-2520334000.0,-2103103000.0,-1657599000.0,-1600094000.0,-800088000.0,-218774000.0,-80000.0,-16502000.0,0.0,-8000000.0,-10488000.0,-32617000.0,-582000.0,-2547000.0,-11515000.0,-36331000.0,-9529000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,708150000.0,1495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197110000.0,0.0,345000.0,277000.0
,commonStockRepurchased,-70865000.0,-142697000.0,-143972000.0,-126002000.0,-22286000.0,0.0,-4135000.0,-4319000.0,-8464000.0,-4462000.0,-8753000.0,-13962000.0,0.0,0.0,-18941000.0,0.0,0.0,0.0,-2530000.0
,dividendsPaid,-24121000.0,-34747000.0,-20561000.0,-8286000.0,-7164000.0,0.0,0.0,0.0,-3457000.0,-3092000.0,-3693000.0,-3485000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-318000.0,-1201000.0,-400000.0,805000.0,-1137000.0,42000.0,-4915000.0,83000.0,180000.0,-269000.0,-84000.0,-133000.0,-3290000.0,-3036000.0,-3187000.0,403000.0,11000.0,-1499000.0,-1491000.0
,netCashUsedProvidedByFinancingActivities,37241000.0,19015000.0,6979000.0,294055000.0,241519000.0,709992000.0,227683000.0,225889000.0,13521000.0,25627000.0,189814000.0,16781000.0,145908000.0,-92895000.0,-107807000.0,156252000.0,-57340000.0,96736000.0,134555000.0
