date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,859100000.0,790900000.0,751900000.0,578600000.0,499478000.0,516361000.0,494150000.0,448636000.0,420536000.0,357929000.0,265356000.0,184357000.0,279705000.0,232622000.0,199038000.0,166814000.0,130989000.0,84120000.0,75542000.0,70112000.0,80730000.0,65500000.0,53000000.0,40800000.0,32500000.0,27400000.0
,depreciationAndAmortization,162400000.0,148700000.0,138200000.0,127400000.0,104052000.0,86598000.0,72672000.0,64191000.0,54052000.0,44706000.0,40755000.0,40020000.0,39201000.0,37399000.0,33597000.0,29073000.0,23710000.0,20511000.0,17012000.0,14967000.0,11977000.0,12000000.0,11200000.0,9500000.0,7500000.0,5400000.0
,deferredIncomeTax,2900000.0,15000000.0,33800000.0,-30000000.0,25571000.0,8290000.0,1760000.0,8129000.0,15442000.0,15747000.0,1602000.0,6099000.0,-2419000.0,-911000.0,-3705000.0,-3165000.0,-1520000.0,3503000.0,1106000.0,2532000.0,2453000.0,-400000.0,400000.0,700000.0,300000.0,-100000.0
,stockBasedCompensation,5700000.0,5700000.0,5100000.0,5200000.0,4100000.0,5841000.0,7039000.0,5400000.0,4800000.0,4050000.0,4030000.0,3850000.0,3247000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,65600000.0,33700000.0,294100000.0,139574000.0,153516000.0,83698000.0,39283000.0,86147000.0,34162000.0,124807000.0,60658000.0,35445000.0,84430000.0,79100000.0,106410000.0,90587000.0,73628000.0,43833000.0,48742000.0,43835000.0,63145000.0,51200000.0,35900000.0,28100000.0,12400000.0,-17100000.0
,accountsReceivables,-29700000.0,-30400000.0,-120300000.0,-103700000.0,-40490000.0,-20608000.0,-63418000.0,-51593000.0,-43291000.0,-77678000.0,-64622000.0,21362000.0,-16107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,36000000.0,-84400000.0,-193300000.0,-76300000.0,-80853000.0,-47830000.0,-87622000.0,-68685000.0,-69231000.0,-88783000.0,-48964000.0,60425000.0,-59655000.0,-48595000.0,-94436000.0,-54228000.0,-74449000.0,-15622000.0,-71738000.0,-2605000.0,-36471000.0,-12900000.0,-14300000.0,-22900000.0,-16300000.0,-9300000.0
,accountsPayables,14200000.0,-800000.0,46100000.0,36300000.0,-17233000.0,20617000.0,12501000.0,13234000.0,4240000.0,13305000.0,6984000.0,-14172000.0,8596000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,7400000.0,1912500000.0,1878800000.0,1584700000.0,1445126000.0,1291610000.0,1207912000.0,1168629000.0,1082482000.0,1048320000.0,923513000.0,862855000.0,827410000.0,742980000.0,663880000.0,557470000.0,466883000.0,393255000.0,349422000.0,300680000.0,256845000.0,193700000.0,142500000.0,106600000.0,78500000.0,66100000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367146000.0,8658000.0,9409000.0,7565000.0,7257000.0,4001000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,200000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,1101800000.0,842700000.0,674200000.0,585200000.0,513999000.0,546940000.0,499392000.0,416120000.0,396292000.0,268489000.0,240488000.0,306070000.0,259898000.0,227894000.0,97875000.0,121912000.0,57437000.0,90623000.0,17819000.0,91727000.0,38253000.0,56000000.0,43300000.0,14700000.0,12500000.0,14900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-168100000.0,-246400000.0,-176300000.0,-119900000.0,-189451000.0,-155168000.0,-189474000.0,-206540000.0,-138406000.0,-120043000.0,-73597000.0,-52538000.0,-95306000.0,-55759000.0,-77581000.0,-65910000.0,-52687000.0,-50246000.0,-42683000.0,-45342000.0,-36729000.0,-39200000.0,-37200000.0,-28700000.0,-26200000.0,-16700000.0
,acquisitionsNet,0.0,0.0,-4000000.0,-59000000.0,0.0,-24000000.0,-6000000.0,0.0,0.0,0.0,0.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-581000.0,-28941000.0,0.0,0.0,-633000.0,0.0,-3200000.0,6535000.0,-21770000.0,-17635000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412000.0,12421000.0,0.0,27067000.0,8103000.0,0.0,0.0,0.0,215000.0,100000.0,0.0,300000.0,300000.0,4300000.0
,otherInvestingActivites,800000.0,100000.0,-3400000.0,-8100000.0,-5147000.0,-11907000.0,-2000.0,-145000.0,-133000.0,212000.0,-10329000.0,-101000.0,-72000.0,-265000.0,-231000.0,-164000.0,-252000.0,-206000.0,-182000.0,-966000.0,-479000.0,200000.0,-500000.0,-400000.0,-3600000.0,-100000.0
,netCashUsedForInvestingActivites,-281700000.0,-239700000.0,-173900000.0,-179300000.0,-188093000.0,-180627000.0,-188781000.0,-201792000.0,-107204000.0,-112223000.0,-80048000.0,-81749000.0,-86583000.0,-37674000.0,-74199000.0,-33552000.0,-43537000.0,-39733000.0,-47007000.0,-60648000.0,-30360000.0,-24700000.0,-28600000.0,-21600000.0,-26500000.0,-10700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
