date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,revenue,150530557000.0,122045320000000.0,101694516000000.0,92052600000.0,61496620000.0,44287509000.0,42350640000.0,41763002000.0,40938615000.0,50559371000.0,55023860000.0,47087064000.0,49364542000.0
,costOfRevenue,83033401000.0,68058432000000.0,56724121000000.0,49598373000.0,42717176000.0,37662371000.0,38067888000.0,37830121000.0,37553727000.0,47253807000.0,50797354000.0,42463724000.0,45048917000.0
,grossProfit,67497156000.0,53986888000000.0,44970395000000.0,42454227000.0,18779444000.0,6625138000.0,4282752000.0,3932881000.0,3384888000.0,3305564000.0,4226506000.0,4623340000.0,4315625000.0
,grossProfitRatio,0.448395045797911,0.442351152834046,0.442210620285562,0.461195305727378,0.305373596142357,0.149593827912064,0.101126027847513,0.0941714151679039,0.0826820350419769,0.0653798481788866,0.0768122410895928,0.0981870519682433,0.0874235802694169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,57724202000.0,0.0,41009107000000.0,0.0,0.0,0.0,0.0,8847474000.0,9216292000.0,12056007000.0,12484485000.0,14803062000.0,11939001000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,14959000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,15162306000.0,61621510000000.0,12975981000000.0,44229258000.0,22328299000.0,11437756000.0,8577357000.0,38735993000.0,39201230000.0,54388083000.0,56659529000.0,46063775000.0,46559089000.0
,operatingExpenses,72886508000.0,61621510000000.0,53985088000000.0,44229258000.0,22328299000.0,11437756000.0,8592316000.0,47583467000.0,48417522000.0,66444090000.0,69144014000.0,60866837000.0,58498090000.0
,costAndExpenses,155919909000.0,129679942000000.0,110709209000000.0,93827631000.0,65045475000.0,49100127000.0,46660204000.0,85413588000.0,85971249000.0,113697897000.0,119941368000.0,103330561000.0,103547007000.0
,interestExpense,8648600000.0,6742143000000.0,6062923000000.0,5988411000.0,2638249000.0,623460000.0,0.0,181205000.0,387460000.0,327113000.0,88993000.0,114006000.0,-39360000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,14521047000.0,13096587000000.0,12975981000000.0,11004883000.0,3571974000.0,998789000.0,516892000.0,847881000.0,1361798000.0,1882959000.0,1709040000.0,1397094000.0,1510172000.0
,EBITDA,482957000.0,-1229221000000.0,-2914380000000.0,8463792000.0,-1509929000.0,-4249799000.0,-3947536000.0,-4939342000.0,-6549621000.0,-13717102000.0,-10959230000.0,-11785237000.0,-8221812000.0
,EBITDARatio,0.00320836519591168,-0.0100718405261259,-0.0286581825120245,0.0919451704786177,-0.0245530404760457,-0.095959314397204,-0.0932107755632501,-0.118270760325132,-0.159986384492978,-0.271306816692795,-0.199172322697826,-0.250286087066291,-0.166552988580346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-14038090000.0,-14325808000000.0,-15890361000000.0,-2541091000.0,-5081903000.0,-5248588000.0,-4464428000.0,-5787223000.0,-7911419000.0,-15600061000.0,-12668270000.0,-13182331000.0,-9731984000.0
,operatingIncomeRatio,-0.093257410852469,-0.117381051563468,-0.156255829960388,-0.0276047716197044,-0.0826371107875522,-0.118511700443572,-0.105415833149157,-0.138572964654217,-0.193250773139248,-0.308549348843758,-0.23023230285916,-0.279956529037359,-0.197145230274799
,totalOtherIncomeExpensesNet,209235000.0,128987000000.0,63613000000.0,60450000.0,0.0,176020000.0,-154864000.0,33242000.0,-432512000.0,284658000.0,1451884000.0,597442000.0,-598436000.0
,incomeBeforeTax,-14038090000.0,-14325808000000.0,-15890361000000.0,-2541091000.0,-5030016000.0,-5207243000.0,-4454705000.0,-5799480000.0,-9586212000.0,-15600061000.0,-12668270000.0,-13351202000.0,-9395074000.0
,incomeBeforeTaxRatio,-0.093257410852469,-0.117381051563468,-0.156255829960388,-0.0276047716197044,-0.0817933733593814,-0.117578141502607,-0.105186249841797,-0.138866454092548,-0.234160632937875,-0.308549348843758,-0.23023230285916,-0.283542885578935,-0.190320291029946
,incomeTaxExpense,-61511000.0,0.0,7660536000000.0,26051000.0,51887000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-14099601000.0,-12716323000000.0,-8229825000000.0,-2567142000.0,-5081903000.0,-5207243000.0,-4454705000.0,-5799480000.0,-9586212000.0,-15600061000.0,-12668270000.0,-13351202000.0,-9395074000.0
,netIncomeRatio,-0.0936660388495075,-0.104193450433003,-0.080926930219128,-0.0278877728602994,-0.0826371107875522,-0.117578141502607,-0.105186249841797,-0.138866454092548,-0.234160632937875,-0.308549348843758,-0.23023230285916,-0.283542885578935,-0.190320291029946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-260414.107086789,-0.8254,-152001643.795135,-47414.1070867887,-836.039243595426,-0.03123,-23.78173,-0.05253,-0.16652,-0.270980453648341,-0.4638,-0.49935,-0.3826
,EPSDiluted,-641.7777455312,-0.8254,-831722.573491276,-359.925450341097,-22.5834903064739,-0.03123,-23.78173,-0.05253,-0.16652,-0.270980453648341,-0.4638,-0.49935,-0.3826
,weightedAverageShsOut,54143.0,15406184000000.0,54143.0,54143.0,6078546.0,166726031000.0,187316263.0,110401741000.0,57568953000.0,57568953000.0,27314196000.0,26737083000.0,24555878000.0
,weightedAverageShsOutDil,21969601.0,15406184000000.0,9894916.0,7132427.0,225027351.0,166726031000.0,187316263.0,110401741000.0,57568953000.0,57568953000.0,27314196000.0,26737083000.0,24555878000.0
