Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,13620656.0,15026068.0,45161403.0,5335913.0,3590745.0
Short-term investments,20168981.0,21287064.0,0.0,0.0,0.0
Cash and short-term investments,33789637.0,36313132.0,45161403.0,5335913.0,3590745.0
Receivables,7013220.0,8418132.0,5154996.0,3731998.0,3512871.0
Inventories,1351104.0,741557.0,146815.0,119733.0,0.0
Total current assets,43085215.0,46082607.0,50812764.0,9379146.0,7284560.0
Property Plant & Equipment Net,1400591.0,1036860.0,807086.0,1026784.0,1352664.0
Goodwill and Intangible Assets,4559252.0,4752780.0,1536675.0,4732943.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,317777.0,130741.0,219034.0,0.0,0.0
Total non-current assets,9821897.0,10215301.0,5250739.0,5881268.0,1448498.0
Total assets,52907112.0,56297908.0,56063503.0,15260414.0,8733058.0
Payables,4136943.0,3969083.0,3949005.0,2873471.0,2413579.0
Short-term debt,0.0,1333333.0,1388563.0,1625030.0,273197.0
Total current liabilities,7510820.0,9730098.0,9239693.0,7576320.0,3871870.0
Long-term debt,0.0,1333333.0,1333333.0,2721865.0,346873.0
Total debt,0.0,2666666.0,2721896.0,4346895.0,620070.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,732000.0,710000.0,1532000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,37577.0,1341304.0,1339499.0,3990010.0,1806970.0
Total liabilities,7759780.0,10072929.0,11031101.0,11566330.0,5678840.0
Other comprehensive income,90151539,88650666,88582470,0.0,0.0
Retained earnings (deficit),-44994061.0,-42409741.0,-43550996.0,-46475746.0,-44389408.0
Total shareholders equity,45147332.0,46224979.0,45032402.0,-39412822.0,-37670138.0
Investments,20168981.0,21287064.0,0.0,0.0,0.0
Net Debt,-13620656.0,-12359402.0,-42439507.0,-989018.0,-2970675.0
Other Assets,0.0,0.0,0.0,191502.0,180944.0
Other Liabilities,211383.0,0.0,451909.0,3077819.0,1185094.0
