Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,369000000.0,352000000.0,312000000.0,362000000.0,359000000.0
Stock-based compensation,156000000.0,150000000.0,128000000.0,204000000.0,217000000.0
Operating Cash Flow,1785000000.0,1849000000.0,1704000000.0,1213000000.0,1125000000.0
Capital Expenditure,-356000000.0,-288000000.0,-206000000.0,-296000000.0,-194000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,37000000,-9000000
Investing Cash flow,-756000000.0,-1254000000.0,-210000000.0,-286000000.0,-411000000.0
Issuance (repayment) of debt,-2431000000.0,-3216000000.0,-1471000000.0,-1196000000.0,-1936000000.0
Issuance (buybacks) of shares,-1780000000.0,-1409000000.0,-1674000000.0,-2368000000.0,-2157000000.0
Dividend payments,,,,,
Financing Cash Flow,-1552000000.0,-267000000.0,-1319000000.0,-1407000000.0,-1121000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-523000000.0,328000000.0,175000000.0,-480000000.0,-407000000.0
Free Cash Flow,1429000000.0,1561000000.0,1498000000.0,917000000.0,931000000.0
Net Cash/Marketcap,,,,,
