Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,4264767.0,2375179.0,2241902.0,1297002.0,5792388.0,11256.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,4264767.0,2375179.0,2241902.0,1297002.0,5792388.0,11256.0
Receivables,2273189.0,2667042.0,9335381.0,1861002.0,4403001.0,2978666.0
Inventories,1003623.0,1196813.0,1167692.0,1410794.0,1219079.0,96028.0
Total current assets,7675186.0,6350564.0,7028031.0,4748248.0,11894700.0,3329518.0
Property, Plant & Equipment Net,8226009.0,8809348.0,9068359.0,14655502.0,15963629.0,15048871.0
Goodwill and Intangible Assets,3686111.0,6132778.0,8579444.0,11026111.0,21275681.0,0.0
Long-term investments,0.0,0.0,0.0,8296717.0,8296717.0,0.0
Tax assets,0.0,0.0,0.0,0.0,271298.0,0.0
Total non-current assets,11964007.0,14958080.0,25960474.0,33997695.0,45648633.0,17431732.0
Total assets,19639193.0,21308644.0,32988505.0,38745943.0,57543333.0,20761250.0
Payables,721361.0,1021469.0,1066514.0,638593.0,893376.0,445947.0
Short-term debt,4578759.0,6101678.0,3395199.0,3410449.0,11505674.0,7970450.0
Total current liabilities,5931980.0,7666905.0,4910717.0,4860807.0,14367141.0,8693976.0
Long-term debt,6296994.0,6706375.0,13288701.0,16830393.0,12365404.0,11810468.0
Total debt,10875753.0,12808053.0,16683900.0,20240842.0,23871078.0,19780918.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,2000.0,1000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,6296994.0,6706375.0,14109358.0,17710425.0,13109981.0,11810468.0
Total liabilities,12228974.0,14373280.0,19020075.0,22571232.0,27477122.0,20504444.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-32055410.0,-31997035.0,-24351118.0,-15222269.0,-766690.0,0.0
Total shareholders equity,7410219.0,6935364.0,13968430.0,16174711.0,30066211.0,256806.0
Investments,0.0,0.0,0.0,8296717.0,8296717.0,0.0
Net Debt,6610986.0,10432874.0,14441998.0,18943840.0,18078690.0,19769662.0
Other Assets,133607.0,111530.0,-5716944.0,179450.0,480232.0,243568.0
Other Liabilities,631860.0,543758.0,449004.0,811765.0,1968091.0,277579.0
