date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-494497000.0,-33656000.0,482672000.0,-128212000.0,-56828000.0,422225000.0,708719000.0,736639000.0,581045000.0,434186000.0,156312000.0,353545000.0,461738000.0,449261000.0,293858000.0,127606000.0,4359000.0,17873000.0,63517000.0,144254000.0,82300000.0,42800000.0,101200000.0,84200000.0,72500000.0,9800000.0,25000000.0
,depreciationAndAmortization,481885000.0,562803000.0,583802000.0,585543000.0,598587000.0,606992000.0,523549000.0,455623000.0,387549000.0,315468000.0,262658000.0,236437000.0,210766000.0,146042000.0,101583000.0,96300000.0,94435000.0,82693000.0,62569000.0,88787000.0,112386000.0,110700000.0,89800000.0,72500000.0,61100000.0,77100000.0,50100000.0
,deferredIncomeTax,-157555000.0,-44554000.0,-486758000.0,-24111000.0,60088000.0,131580000.0,27124000.0,29557000.0,196931000.0,187651000.0,105691000.0,158153000.0,129591000.0,88401000.0,7994000.0,54571000.0,8257000.0,41225000.0,24133000.0,21641000.0,21133000.0,600000.0,-1200000.0,7500000.0,-2700000.0,-1700000.0,3700000.0
,stockBasedCompensation,36329000.0,34292000.0,31687000.0,26183000.0,24383000.0,25195000.0,26703000.0,23271000.0,18078000.0,12101000.0,15855000.0,8348000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,39343000.0,-33534000.0,-152500000.0,-351684000.0,154787000.0,317939000.0,-36098000.0,291874000.0,-25520000.0,119418000.0,199140000.0,-160664000.0,109338000.0,108209000.0,-246173000.0,224333000.0,77070000.0,3061000.0,-104339000.0,23941000.0,97550000.0,29900000.0,-4000000.0,11000000.0,6400000.0,-30800000.0,-2900000.0
,accountsReceivables,300807000.0,70323000.0,-85202000.0,-97114000.0,72792000.0,249873000.0,-83594000.0,-4806000.0,-160154000.0,-2987000.0,-223916000.0,216688000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,7197000.0,1821000.0,-22427000.0,-10607000.0,1944000.0,-22488000.0,-17375000.0,-12289000.0,-22170000.0,-11005000.0,-3858000.0,-11625000.0,-3953000.0,-2980000.0,-4852000.0,-487000.0,1707000.0,251000.0,1042000.0,-2062000.0,-411000.0,200000.0,-5800000.0,-2700000.0,2400000.0,-300000.0,-3300000.0
,accountsPayables,-9414000.0,-9147000.0,-4461000.0,39412000.0,-10907000.0,-34150000.0,-21082000.0,-52076000.0,54906000.0,17362000.0,16760000.0,-28640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,744191000.0,704848000.0,738382000.0,890882000.0,1242566000.0,1087779000.0,769840000.0,805938000.0,514064000.0,539584000.0,420166000.0,221026000.0,381690000.0,272352000.0,164143000.0,410316000.0,185983000.0,108913000.0,105852000.0,210191000.0,186250000.0,88700000.0,58800000.0,62800000.0,51800000.0,45400000.0,76200000.0
,otherNonCashItems,1617000.0,-3516000.0,7777000.0,1598000.0,1319000.0,381000.0,2000.0,2490000.0,18283000.0,12207000.0,2738000.0,-6675000.0,19289000.0,8040000.0,9752000.0,0.0,6899000.0,1925000.0,-4638000.0,3377000.0,-3909000.0,0.0,-100000.0,-100000.0,0.0,-100000.0,-100000.0
,netCashProvidedByOperatingActivites,538881000.0,855751000.0,544531000.0,357217000.0,753597000.0,1418744000.0,1118527000.0,997185000.0,1000332000.0,977552000.0,462288000.0,897319000.0,610828000.0,561067000.0,296390000.0,212238000.0,135400000.0,96504000.0,201395000.0,278856000.0,201836000.0,158700000.0,113500000.0,165600000.0,124900000.0,88600000.0,79900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,3123000.0,-458402000.0,-466584000.0,-397567000.0,-257169000.0,-1133482000.0,-952892000.0,-809066000.0,-1097680000.0,-694264000.0,-329572000.0,-880753000.0,-705635000.0,-894214000.0,-528905000.0,-86805000.0,-88972000.0,-246301000.0,-312064000.0,-274670000.0,-131932000.0,-123000000.0,-266300000.0,-161200000.0,-110000000.0,-110800000.0,-102900000.0
,acquisitionsNet,15000000.0,-16000000.0,-48000000.0,-70000000.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,0.0,0.0,-12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-134641000.0,-97652000.0,-71049000.0,-69866000.0,-57276000.0,-45607000.0,0.0,0.0,0.0,0.0,-16000.0,-12500000.0,0.0,0.0,-148440000.0,-5000000.0,0.0,0.0,-5656000.0,0.0,0.0,-500000.0,0.0,-1400000.0,-1200000.0,0.0,0.0
,salesMaturitiesOfInvestments,94646000.0,98764000.0,68776000.0,69449000.0,58381000.0,0.0,49205000.0,232221000.0,0.0,3932000.0,12516000.0,541000.0,25507000.0,127819000.0,113715000.0,65539000.0,14033000.0,18215000.0,47146000.0,24439000.0,12569000.0,2800000.0,75000000.0,8600000.0,8000000.0,0.0,100000.0
,otherInvestingActivites,77849000.0,50817000.0,44381000.0,23412000.0,21845000.0,22501000.0,30770000.0,28026000.0,39894000.0,26795000.0,0.0,0.0,13926000.0,16257000.0,2970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2100000.0,-1100000.0,-1100000.0
,netCashUsedForInvestingActivites,-87885000.0,-422636000.0,-472362000.0,-444988000.0,-234219000.0,-1156588000.0,-872917000.0,-548819000.0,-1057786000.0,-667537000.0,-309205000.0,-884029000.0,-655335000.0,-698570000.0,-548882000.0,2726000.0,-66998000.0,-221366000.0,-266439000.0,-239337000.0,-101319000.0,-110700000.0,-175900000.0,-144600000.0,-101300000.0,-109000000.0,-97900000.0
