date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-242224000.0,-420212000.0,-361435000.0,233849000.0,38065000.0,29184000.0,26823000.0,26024000.0,11268000.0,68510000.0,46436000.0,5398000.0,-516651000.0,-8357000.0,47981000.0,78361000.0,75634000.0,71780000.0,-83052000.0,17268000.0,47254000.0,-60877000.0,7000000.0
,depreciationAndAmortization,50231000.0,45331000.0,44288000.0,15546000.0,9793000.0,8419000.0,7794000.0,8545000.0,10839000.0,11276000.0,12660000.0,16600000.0,20442000.0,18333000.0,17172000.0,17996000.0,16996000.0,15740000.0,16270000.0,46509000.0,43475000.0,21564000.0,13100000.0
,deferredIncomeTax,-76260000.0,5407000.0,-61798000.0,-263551000.0,14688000.0,18322000.0,19811000.0,22422000.0,13296000.0,-14801000.0,23053000.0,999000.0,-232600000.0,9628000.0,35975000.0,37386000.0,38703000.0,42547000.0,31591000.0,16242000.0,32993000.0,89374000.0,0.0
,stockBasedCompensation,11134000.0,15882000.0,15149000.0,9567000.0,6539000.0,5524000.0,5232000.0,4270000.0,5754000.0,7671000.0,5528000.0,6888000.0,9856000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,57539000.0,-167392000.0,179024000.0,123492000.0,41504000.0,-41779000.0,17629000.0,24871000.0,-13290000.0,158785000.0,-93820000.0,-37708000.0,-65929000.0,12690000.0,2089000.0,-5751000.0,65777000.0,-100507000.0,80208000.0,-28253000.0,19562000.0,-12238000.0,-1600000.0
,accountsReceivables,86662000.0,-30856000.0,1777000.0,-14127000.0,-4202000.0,-4027000.0,565000.0,-1678000.0,-2138000.0,208000.0,-3532000.0,4324000.0,10365000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-8800000.0,-27777000.0,1217000.0,8370000.0,-739000.0,700000.0,1633000.0,-952000.0,-535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1795000.0,214092000.0,381484000.0,202460000.0,78968000.0,37464000.0,79243000.0,61614000.0,36743000.0,50033000.0,-108752000.0,-14932000.0,22776000.0,88705000.0,76015000.0,73926000.0,79677000.0,13900000.0,114407000.0,34199000.0,62452000.0,42890000.0,0.0
,otherNonCashItems,586000.0,222000.0,5732000.0,2478000.0,3062000.0,4223000.0,4928000.0,4286000.0,5065000.0,366000.0,1531000.0,3185000.0,1893000.0,95947000.0,8971000.0,0.0,0.0,0.0,1179000.0,536000.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,85226000.0,132188000.0,102249000.0,29112000.0,72030000.0,64790000.0,65296000.0,63349000.0,69702000.0,85525000.0,90410000.0,73902000.0,130617000.0,93492000.0,101583000.0,136552000.0,131482000.0,130366000.0,104342000.0,85243000.0,69475000.0,40700000.0,23000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-29630000.0,-70476000.0,-29837000.0,-20530000.0,-7336000.0,-7043000.0,-8408000.0,-4325000.0,-3688000.0,-6897000.0,-3112000.0,-2467000.0,-8927000.0,-277589000.0,-43717000.0,-57762000.0,-108427000.0,-137150000.0,-245365000.0,-9820000.0,-9532000.0,-777425000.0,-11200000.0
,acquisitionsNet,0.0,0.0,0.0,-24000000.0,0.0,-84000000.0,0.0,0.0,-25000000.0,-9000000.0,0.0,0.0,0.0,-268000000.0,-30000000.0,-45000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1800000.0,-1250000.0,-9700000.0,0.0,-9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68000.0,-50000.0,-76000.0,-122000.0,-288000.0,-520000.0,-5721000.0,-9927000.0,-8000000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482000.0,32000.0,49000.0,419000.0,251000.0,2857000.0,29000.0,6041000.0,456000.0,0.0,132000.0,21000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-1566000.0,-800000.0,-266000.0,-857000.0,0.0,0.0,-120000.0,2480000.0,-592000.0,-491000.0,-211000.0,-1237000.0,-286000.0,-1061000.0,-2512000.0,-102421000.0,-656000.0,-152200000.0
,netCashUsedForInvestingActivites,-51659000.0,-90516000.0,141478000.0,17612000.0,193000.0,-91744000.0,-7055000.0,-4583000.0,-29359000.0,-14284000.0,-4262000.0,-2062000.0,31944000.0,-273876000.0,-45146000.0,-38618000.0,-107911000.0,-105078000.0,-275299000.0,-17891000.0,-64684000.0,-712323000.0,-153700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-249388000.0,-778700000.0,-81348000.0,-669750000.0,-513266000.0,-51250000.0,-53000000.0,-86023000.0,-68529000.0,-852527000.0,-123104000.0,-115295000.0,-188155000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0,278000.0,926000.0,1015000.0,672000.0,3291000.0,6764000.0,209050000.0,3079000.0,1715000.0,637721000.0,0.0
